"","Spp","Risk","Weight"
"1","Bl",2,0.000445462568877206
"2","Cw",2,-7.24162525033758e-18
"3","Fd",2,0.00231982843783776
"4","Lw",2,-1.98160970794059e-16
"5","Pl",2,0.0590182068286337
"6","Sx",2,0.948216502164653
"7","Bl",4,0.00028240144331982
"8","Cw",4,9.03977258324061e-05
"9","Fd",4,0.00678025713340101
"10","Lw",4,2.2292095126656e-16
"11","Pl",4,0.115456579963693
"12","Sx",4,0.887390363733756
"13","Bl",6,0.000787684430770971
"14","Cw",6,0.00141847345440683
"15","Fd",6,0.0144541487744393
"16","Lw",6,-1.28516755155478e-17
"17","Pl",6,0.192115432440685
"18","Sx",6,0.801224260899698
"19","Bl",8,0.00170194225917512
"20","Cw",8,0.00979263009146203
"21","Fd",8,0.0254334014721068
"22","Lw",8,-1.52566272582185e-16
"23","Pl",8,0.251162675191267
"24","Sx",8,0.721909350985989
"25","Bl",10,0.00326700474509233
"26","Cw",10,0.0278529171599147
"27","Fd",10,0.0376874515725321
"28","Lw",10,-1.37713628679924e-16
"29","Pl",10,0.279723856349511
"30","Sx",10,0.661468770172949
"31","Bl",12,0.00581094250533376
"32","Cw",12,0.050719898975612
"33","Fd",12,0.0490849205883058
"34","Lw",12,-8.76681911814154e-17
"35","Pl",12,0.290497133951063
"36","Sx",12,0.613887103979685
"37","Bl",14,0.00880531578196712
"38","Cw",14,0.0718501878313366
"39","Fd",14,0.0605444736888555
"40","Lw",14,-1.88103286127234e-17
"41","Pl",14,0.293215413215623
"42","Sx",14,0.575584609482217
"43","Bl",16,0.0116924524775271
"44","Cw",16,0.0909050866736517
"45","Fd",16,0.0722218536542858
"46","Lw",16,1.89347776193044e-18
"47","Pl",16,0.291464446244022
"48","Sx",16,0.543716160950514
"49","Bl",18,0.0139115434328733
"50","Cw",18,0.107835232972107
"51","Fd",18,0.0834162174757267
"52","Lw",18,-1.45616662074107e-17
"53","Pl",18,0.287731878751379
"54","Sx",18,0.517105127367914
"55","Bl",20,0.0158076766147035
"56","Cw",20,0.122307402242923
"57","Fd",20,0.0932486418354241
"58","Lw",20,-1.91975230142786e-17
"59","Pl",20,0.28368151101856
"60","Sx",20,0.494954768288389
"61","Bl",22,0.017662532985093
"62","Cw",22,0.134705717434663
"63","Fd",22,0.101869072397659
"64","Lw",22,-3.41830184610362e-18
"65","Pl",22,0.279612660565905
"66","Sx",22,0.476150016616679
"67","Bl",24,0.019467837400429
"68","Cw",24,0.145624911537709
"69","Fd",24,0.109627197740738
"70","Lw",24,-3.62538276392888e-19
"71","Pl",24,0.275467586447345
"72","Sx",24,0.45981246687378
"73","Bl",26,0.0212574944268935
"74","Cw",26,0.155322418262407
"75","Fd",26,0.116849345901983
"76","Lw",26,-1.39937250195082e-17
"77","Pl",26,0.271231662425512
"78","Sx",26,0.445339078983204
"79","Bl",28,0.0230629732671712
"80","Cw",28,0.163736182818391
"81","Fd",28,0.123901606884812
"82","Lw",28,1.96431090976988e-17
"83","Pl",28,0.266956908014179
"84","Sx",28,0.432342329015446
"85","Bl",30,0.0248117791137139
"86","Cw",30,0.170982043602358
"87","Fd",30,0.131081583563875
"88","Lw",30,-4.0568108859584e-18
"89","Pl",30,0.262610016535234
"90","Sx",30,0.420514577184819
"91","Bl",32,0.0265035647357993
"92","Cw",32,0.17704712380242
"93","Fd",32,0.138419806032805
"94","Lw",32,-4.72650612008074e-18
"95","Pl",32,0.258309908994452
"96","Sx",32,0.409719596434524
"97","Bl",34,0.0281431303516463
"98","Cw",34,0.182370522677744
"99","Fd",34,0.145387861899738
"100","Lw",34,7.26507774278791e-20
"101","Pl",34,0.254199491984158
"102","Sx",34,0.399898993086713
"103","Bl",36,0.0297460697796102
"104","Cw",36,0.187163183641435
"105","Fd",36,0.151665384128585
"106","Lw",36,4.44448024769771e-18
"107","Pl",36,0.250408820832416
"108","Sx",36,0.391016541617954
"109","Bl",38,0.0313331192538889
"110","Cw",38,0.191478305805578
"111","Fd",38,0.157212534856947
"112","Lw",38,-4.53467616987606e-19
"113","Pl",38,0.246932956382352
"114","Sx",38,0.382944137945127
"115","Bl",40,0.0328466241615252
"116","Cw",40,0.195250788831919
"117","Fd",40,0.162061857945478
"118","Lw",40,-6.3097990461036e-20
"119","Pl",40,0.243682434290077
"120","Sx",40,0.375504372218888
"121","Bl",42,0.0342334880014403
"122","Cw",42,0.198351763886523
"123","Fd",42,0.166147611239394
"124","Lw",42,6.1875256575821e-20
"125","Pl",42,0.240509228498877
"126","Sx",42,0.368458147494935
"127","Bl",44,0.0355805612234225
"128","Cw",44,0.20094231817182
"129","Fd",44,0.169637493676917
"130","Lw",44,1.39349745066556e-18
"131","Pl",44,0.237438540074587
"132","Sx",44,0.361788195583446
"133","Bl",46,0.0368504819363296
"134","Cw",46,0.203008447524154
"135","Fd",46,0.172533664868368
"136","Lw",46,3.98626522523375e-19
"137","Pl",46,0.234407284124585
"138","Sx",46,0.355385752300257
"139","Bl",48,0.0380537445372573
"140","Cw",48,0.204755425766708
"141","Fd",48,0.175044937124756
"142","Lw",48,-1.54235845130314e-24
"143","Pl",48,0.231512580116137
"144","Sx",48,0.349354358642716
"145","Bl",50,0.0391948341571293
"146","Cw",50,0.20633161782467
"147","Fd",50,0.177323735243324
"148","Lw",50,5.0143558255126e-19
"149","Pl",50,0.228819341095971
"150","Sx",50,0.343759317254284
