"","Spp","Risk","Weight"
"1","Ba",2,1.71678776818077e-16
"2","Bl",2,-3.68359976025409e-17
"3","Cw",2,6.4175933269424e-17
"4","Fd",2,0.276425159839897
"5","Hw",2,0.151021369004887
"6","Lw",2,0.00707442348167262
"7","Pl",2,0.107814849130626
"8","Py",2,1.71446945271281e-17
"9","Ss",2,5.34303715504745e-16
"10","Sx",2,0.46766419854292
"11","Ba",4,-1.08620331024632e-16
"12","Bl",4,-5.18120916964847e-17
"13","Cw",4,1.16261442212354e-17
"14","Fd",4,0.260385466335041
"15","Hw",4,0.202490105218232
"16","Lw",4,0.00646526266470612
"17","Pl",4,0.127872544103529
"18","Py",4,-9.8145418351022e-17
"19","Ss",4,2.45172755906134e-16
"20","Sx",4,0.412786621678497
"21","Ba",6,-9.50481751665439e-18
"22","Bl",6,-6.77381224444053e-17
"23","Cw",6,5.19835654978946e-18
"24","Fd",6,0.253369761090435
"25","Hw",6,0.227788407312949
"26","Lw",6,0.00556486274485951
"27","Pl",6,0.143973888956051
"28","Py",6,-2.05578254307934e-16
"29","Ss",6,1.28820588044834e-16
"30","Sx",6,0.379303079895707
"31","Ba",8,1.91118036392555e-18
"32","Bl",8,4.335885767754e-05
"33","Cw",8,1.4963549614461e-17
"34","Fd",8,0.248868204931489
"35","Hw",8,0.244633133247544
"36","Lw",8,0.00484626232716572
"37","Pl",8,0.15707248774553
"38","Py",8,-3.19904340905753e-16
"39","Ss",8,1.4008667876791e-16
"40","Sx",8,0.354536552890595
"41","Ba",10,-2.71997807483752e-17
"42","Bl",10,7.98656463053435e-05
"43","Cw",10,-4.02221090046622e-17
"44","Fd",10,0.245660576788858
"45","Hw",10,0.255763961761989
"46","Lw",10,0.00450614958867874
"47","Pl",10,0.167327162704175
"48","Py",10,4.83069272414352e-17
"49","Ss",10,8.79053553829087e-17
"50","Sx",10,0.336662283509995
"51","Ba",12,-4.21033844322195e-18
"52","Bl",12,0.000132834464410665
"53","Cw",12,-3.26183005437627e-17
"54","Fd",12,0.243980661196016
"55","Hw",12,0.262743562661953
"56","Lw",12,0.00433592967444958
"57","Pl",12,0.174972986800169
"58","Py",12,6.53209527327957e-17
"59","Ss",12,3.41177872729648e-17
"60","Sx",12,0.323834025203001
"61","Ba",14,2.1944306227901e-17
"62","Bl",14,0.000222401426310325
"63","Cw",14,-7.66409883193369e-17
"64","Fd",14,0.242759067435241
"65","Hw",14,0.267533067836007
"66","Lw",14,0.00423820434729943
"67","Pl",14,0.181000713654066
"68","Py",14,-3.84541851432559e-17
"69","Ss",14,-5.31070762544745e-17
"70","Sx",14,0.314246545301077
"71","Ba",16,3.06752466972987e-18
"72","Bl",16,0.000328241463647723
"73","Cw",16,2.2353643133486e-17
"74","Fd",16,0.242539058202785
"75","Hw",16,0.270755675717861
"76","Lw",16,0.00418541151988889
"77","Pl",16,0.185406988026591
"78","Py",16,-5.03978036803614e-18
"79","Ss",16,-1.73610554660663e-17
"80","Sx",16,0.306784625069228
"81","Ba",18,4.65039380827669e-18
"82","Bl",18,0.000440826250513356
"83","Cw",18,-4.06988115861927e-17
"84","Fd",18,0.243137047751446
"85","Hw",18,0.272896181874462
"86","Lw",18,0.0041777763268512
"87","Pl",18,0.18857915060904
"88","Py",18,6.95453110526654e-17
"89","Ss",18,4.56192898621305e-17
"90","Sx",18,0.300769017187687
"91","Ba",20,-1.12770716706418e-18
"92","Bl",20,0.000605228994251543
"93","Cw",20,-1.91430890818755e-17
"94","Fd",20,0.244194618020427
"95","Hw",20,0.274321805196802
"96","Lw",20,0.00418819886051835
"97","Pl",20,0.190932440573817
"98","Py",20,1.84819356361453e-17
"99","Ss",20,3.808257864035e-17
"100","Sx",20,0.295757708354185
"101","Ba",22,-3.6507700729882e-18
"102","Bl",22,0.000733485873168515
"103","Cw",22,-3.32593627236708e-18
"104","Fd",22,0.24538170543392
"105","Hw",22,0.275331266892373
"106","Lw",22,0.0042238961858115
"107","Pl",22,0.192757495882143
"108","Py",22,2.93730543864625e-17
"109","Ss",22,5.74517296323573e-18
"110","Sx",22,0.291572149732585
"111","Ba",24,2.35243263976522e-18
"112","Bl",24,0.000869990053555646
"113","Cw",24,1.34826143970883e-17
"114","Fd",24,0.246951694813635
"115","Hw",24,0.275900309356441
"116","Lw",24,0.00428148233737409
"117","Pl",24,0.194065362507982
"118","Py",24,1.63776185839864e-18
"119","Ss",24,1.3904299818395e-17
"120","Sx",24,0.287931160931012
"121","Ba",26,-1.49615009115897e-18
"122","Bl",26,0.0010518950489582
"123","Cw",26,-1.55163760191658e-17
"124","Fd",26,0.248520759610597
"125","Hw",26,0.276251638287607
"126","Lw",26,0.00436969952125562
"127","Pl",26,0.195056592591382
"128","Py",26,-8.71298797657159e-18
"129","Ss",26,-7.88387458146508e-18
"130","Sx",26,0.2847494149402
"131","Ba",28,-1.11234895449487e-18
"132","Bl",28,0.00125421260866671
"133","Cw",28,-1.41376871519722e-19
"134","Fd",28,0.249973242934689
"135","Hw",28,0.276478969630301
