"","Spp","Risk","Weight"
"1","Ba",2,-7.28069736843621e-17
"2","Bl",2,-3.99332889966859e-17
"3","Hw",2,0.115604649133187
"4","Pl",2,0.0191782946702393
"5","Sx",2,0.87521705619658
"6","Ba",4,-3.99687718547995e-17
"7","Bl",4,-2.64290476250522e-18
"8","Hw",4,0.269747236119294
"9","Pl",4,0.0604519297007354
"10","Sx",4,0.67980083417997
"11","Ba",6,-1.99932134825137e-18
"12","Bl",6,0.000107538059643031
"13","Hw",6,0.316303671299006
"14","Pl",6,0.119854023702584
"15","Sx",6,0.573734766938767
"16","Ba",8,-1.20719202588176e-17
"17","Bl",8,0.000270571525051735
"18","Hw",8,0.333885046309736
"19","Pl",8,0.163733294976978
"20","Sx",8,0.512111087188235
"21","Ba",10,-1.01043740616163e-17
"22","Bl",10,0.000529043169174186
"23","Hw",10,0.343671896024762
"24","Pl",10,0.191853543454585
"25","Sx",10,0.473945517351479
"26","Ba",12,-1.04369551138938e-17
"27","Bl",12,0.00112228531564418
"28","Hw",12,0.350038710631529
"29","Pl",12,0.210701042468296
"30","Sx",12,0.448137961584532
"31","Ba",14,-5.86964074631771e-18
"32","Bl",14,0.00253446095108411
"33","Hw",14,0.354433231374913
"34","Pl",14,0.223856896371997
"35","Sx",14,0.429175411302007
"36","Ba",16,-4.36411265941513e-18
"37","Bl",16,0.00440218111869861
"38","Hw",16,0.357603793069655
"39","Pl",16,0.233472934835572
"40","Sx",16,0.414521090976073
"41","Ba",18,-3.85657192057717e-19
"42","Bl",18,0.00704293992440998
"43","Hw",18,0.359885635372865
"44","Pl",18,0.240583490209078
"45","Sx",18,0.402487934493647
"46","Ba",20,-2.02013879430385e-18
"47","Bl",20,0.0104713529942279
"48","Hw",20,0.361507163098428
"49","Pl",20,0.245863726191774
"50","Sx",20,0.39215775771557
"51","Ba",22,-1.40922454369221e-18
"52","Bl",22,0.0144865457242314
"53","Hw",22,0.362646301350402
"54","Pl",22,0.249808496070938
"55","Sx",22,0.383058656854429
"56","Ba",24,1.56456552495608e-20
"57","Bl",24,0.0190279337838071
"58","Hw",24,0.363410300606388
"59","Pl",24,0.25272495190543
"60","Sx",24,0.374836813704375
"61","Ba",26,-2.74937467977685e-19
"62","Bl",26,0.0241696852942738
"63","Hw",26,0.363855414310338
"64","Pl",26,0.254789715762774
"65","Sx",26,0.367185184632614
"66","Ba",28,-4.44654524325123e-20
"67","Bl",28,0.0296102977439613
"68","Hw",28,0.364076766825247
"69","Pl",28,0.256238918078741
"70","Sx",28,0.360074017352051
"71","Ba",30,2.73908734407063e-19
"72","Bl",30,0.0350818902438655
"73","Hw",30,0.36415136663392
"74","Pl",30,0.257260233643337
"75","Sx",30,0.353506509478877
"76","Ba",32,-3.59605218592515e-20
"77","Bl",32,0.0403265775626154
"78","Hw",32,0.364145800990701
"79","Pl",32,0.258012094019949
"80","Sx",32,0.347515527426734
"81","Ba",34,1.81011515636978e-19
"82","Bl",34,0.0452334790231373
"83","Hw",34,0.364097609331263
"84","Pl",34,0.258588871561117
"85","Sx",34,0.342080040084483
"86","Ba",36,-6.709255325664e-20
"87","Bl",36,0.0497628580584087
"88","Hw",36,0.364028781015624
"89","Pl",36,0.259049539856656
"90","Sx",36,0.337158821069311
"91","Ba",38,1.7508806570784e-05
"92","Bl",38,0.0538768977619331
"93","Hw",38,0.363946528721054
"94","Pl",38,0.259439999566856
"95","Sx",38,0.332719065143586
"96","Ba",40,0.000248540338513111
"97","Bl",40,0.0575950955874604
"98","Hw",40,0.363733042238761
"99","Pl",40,0.259753914865099
"100","Sx",40,0.328669406970167
"101","Ba",42,0.000802291967686032
"102","Bl",42,0.0609592724542478
"103","Hw",42,0.363320415981287
"104","Pl",42,0.259985588405836
"105","Sx",42,0.324932431190943
"106","Ba",44,0.0019886894981838
"107","Bl",44,0.0639528179625507
"108","Hw",44,0.362520541866669
"109","Pl",44,0.260112650931868
"110","Sx",44,0.321425299740729
"111","Ba",46,0.0044224524855369
"112","Bl",46,0.0665538331279817
"113","Hw",46,0.360950942264122
"114","Pl",46,0.260064723965914
"115","Sx",46,0.318008048156445
"116","Ba",48,0.00851042349867772
"117","Bl",48,0.06875628759354
"118","Hw",48,0.358358106718886
"119","Pl",48,0.25979536749502
"120","Sx",48,0.314579814693876
"121","Ba",50,0.0141495692780137
"122","Bl",50,0.0705986616024972
"123","Hw",50,0.354805493176729
"124","Pl",50,0.259319563772017
"125","Sx",50,0.311126712170743
