Sum of Weight,Column Labels,,,,,,,,,,
Row Labels,Bl,Cw,Fd,Hw,Lw,Pl,Py,Ss,Sx,(blank),Grand Total
2,-1.86E-17,-4.94E-17,0.002334151,0.203351963,5.28E-17,0.213093456,-1.18E-16,2.24E-16,0.59122043,,1.01
4,-5.18E-17,9.98E-17,0.004482846,0.297784264,0.000226948,0.213011836,-4.69E-17,-4.57E-17,0.494494106,,1.01
6,2.4E-17,4.06E-17,0.008367949,0.334667572,0.000341248,0.223287773,-2.98E-17,9.28E-17,0.443335459,,1.010000001
8,-4.96E-17,-2.7E-17,0.012667242,0.349498601,0.000565836,0.23631432,-5.88E-17,-3.35E-17,0.410954001,,1.01
10,0.00000248,3.23E-17,0.017941179,0.356720938,0.000841223,0.244735059,5.9E-17,-1.06E-16,0.389759118,,1.009999997
12,0.0000817,2.16E-17,0.024158441,0.360012932,0.000942455,0.250433857,7.06E-18,2E-16,0.374370573,,1.009999958
14,0.000429096,2.17E-18,0.030857305,0.361279126,0.000936477,0.253885953,-2.38E-17,2.87E-17,0.362612042,,1.009999999
16,0.000844102,2.34E-17,0.038109662,0.361214452,0.000931994,0.255689362,-2.5E-17,-1.43E-17,0.353210428,,1.01
18,0.001390826,2.21E-17,0.045681499,0.360272418,0.000928507,0.256383248,1.59E-17,3.98E-17,0.345343502,,1.01
20,0.002097916,-1.2E-17,0.052382769,0.359200039,0.000908717,0.256648073,-5.54E-18,2.53E-17,0.338762486,,1.01
22,0.003072306,8.59E-19,0.05881732,0.357852262,0.000866199,0.25643696,8.53E-18,6.95E-17,0.332954953,,1.01
24,0.004130455,0.0000434,0.065513031,0.356065296,0.000830767,0.255736628,-4.12E-18,1.62E-17,0.32768039,,1.009999967
26,0.005375911,0.0000894,0.072749197,0.353796977,0.000800786,0.254514242,-5.46E-18,1.4E-17,0.322673528,,1.010000041
28,0.00655959,0.000128722,0.080931389,0.350822419,0.000777217,0.252652968,0.000318209,9.45E-18,0.317809486,,1.01
30,0.00776488,0.000147865,0.089650799,0.34704143,0.000762153,0.250018296,0.001715606,1.01E-17,0.312898969,,1.009999998
32,0.009128365,0.000164851,0.097388705,0.342560051,0.000754566,0.246583187,0.005554007,-1.31E-17,0.307866268,,1.01
34,0.010679914,0.00021291,0.10378604,0.338033971,0.000750709,0.242946718,0.010605619,1.77E-17,0.30298412,,1.010000001
36,0.012314859,0.000280335,0.108816033,0.333719857,0.000752991,0.239361612,0.016369547,2.06E-18,0.298384767,,1.010000001
38,0.014018448,0.000355279,0.113028205,0.32967522,0.000769666,0.235925059,0.022162532,4.31E-18,0.294065591,,1.01
40,0.01568747,0.00045398,0.116661032,0.325906291,0.000788138,0.232694647,0.027748542,2.38E-18,0.2900599,,1.01
42,0.017394558,0.000597167,0.119847064,0.322393439,0.000809327,0.229665265,0.032984131,-5.2E-19,0.286309047,,1.009999998
44,0.019132676,0.000742687,0.122548875,0.319128896,0.000830419,0.226805699,0.038030959,-2.55E-19,0.282779789,,1.01
46,0.020870592,0.00089485,0.124690198,0.316043571,0.000837669,0.224057071,0.04316502,3.7E-19,0.27944103,,1.010000001
48,0.022682245,0.001117851,0.126229783,0.313028534,0.000825841,0.221352181,0.048526051,0.0000185,0.276218989,,1.009999975
50,0.024526164,0.001382511,0.127261186,0.310079511,0.000801317,0.218696412,0.054062888,0.0000756,0.273114405,,1.009999994
(blank),,,,,,,,,,,
Grand Total,0.198184553,0.006611808,1.7649019,8.36015003,0.01858117,5.990929882,0.301243111,9.41E-05,8.609303377,,25.24999993
