"","Spp","Risk","Weight"
"1","Bl",2,2.91653688305401e-17
"2","Cw",2,1.99617043470955e-16
"3","Fd",2,0.188222770725675
"4","Hw",2,2.00000000000584e-05
"5","Lw",2,7.78810589406082e-18
"6","Pl",2,0.373918801815971
"7","Sx",2,0.447838427458357
"8","Bl",4,5.22918322921886e-17
"9","Cw",4,-1.42026177216671e-16
"10","Fd",4,0.234225399795167
"11","Hw",4,0.000994780904919164
"12","Lw",4,-4.15306345386586e-17
"13","Pl",4,0.3583846848508
"14","Sx",4,0.416395134449115
"15","Bl",6,1.74238509840118e-17
"16","Cw",6,-4.58234385831475e-17
"17","Fd",6,0.263105644491959
"18","Hw",6,0.0052509735390298
"19","Lw",6,0.000128733831105957
"20","Pl",6,0.350832552889027
"21","Sx",6,0.390682095248879
"22","Bl",8,1.81714937701042e-05
"23","Cw",8,4.7730214048561e-17
"24","Fd",8,0.279628655243371
"25","Hw",8,0.0144938765146525
"26","Lw",8,0.000288639033748856
"27","Pl",8,0.341678427048578
"28","Sx",8,0.37389223066588
"29","Bl",10,0.000177661194026495
"30","Cw",10,2.55110039774657e-17
"31","Fd",10,0.290231417209197
"32","Hw",10,0.0247297760854288
"33","Lw",10,0.000640381246213374
"34","Pl",10,0.331745244650445
"35","Sx",10,0.362475519614689
"36","Bl",12,0.000475457945083067
"37","Cw",12,0.000123639951151681
"38","Fd",12,0.297099091574211
"39","Hw",12,0.0346879775048479
"40","Lw",12,0.000860148621558159
"41","Pl",12,0.322606969994647
"42","Sx",12,0.354146714408502
"43","Bl",14,0.000711563812684448
"44","Cw",14,0.000448757304671834
"45","Fd",14,0.301373048608716
"46","Hw",14,0.0450071041139577
"47","Lw",14,0.000979877675811666
"48","Pl",14,0.314290345241245
"49","Sx",14,0.347189303242913
"50","Bl",16,0.00111078973120778
"51","Cw",16,0.00083668078017468
"52","Fd",16,0.303514757039006
"53","Hw",16,0.0569729326778812
"54","Lw",16,0.00120536523632827
"55","Pl",16,0.306222128386875
"56","Sx",16,0.340137346148527
"57","Bl",18,0.00154911772687352
"58","Cw",18,0.00143769497614333
"59","Fd",18,0.304053045306401
"60","Hw",18,0.0700013660213376
"61","Lw",18,0.00139746275303753
"62","Pl",18,0.298438729030609
"63","Sx",18,0.333122584185598
"64","Bl",20,0.0019706425421811
"65","Cw",20,0.00262989667991057
"66","Fd",20,0.303254976992093
"67","Hw",20,0.08314169281418
"68","Lw",20,0.00154105604902436
"69","Pl",20,0.291078378477807
"70","Sx",20,0.326383356444804
"71","Bl",22,0.00243515384256135
"72","Cw",22,0.00407480749391904
"73","Fd",22,0.301635069548069
"74","Hw",22,0.0959220868348557
"75","Lw",22,0.00159165332775152
"76","Pl",22,0.284279841052632
"77","Sx",22,0.320061387900211
"78","Bl",24,0.00292098591328679
"79","Cw",24,0.00596935683757186
"80","Fd",24,0.299682169686564
"81","Hw",24,0.10750194385476
"82","Lw",24,0.00154549057094135
"83","Pl",24,0.27809335261809
"84","Sx",24,0.314286700518786
"85","Bl",26,0.00343254618582635
"86","Cw",26,0.00818058058878235
"87","Fd",26,0.297678422576426
"88","Hw",26,0.117435172865152
"89","Lw",26,0.00151205538978249
"90","Pl",26,0.27259891092191
"91","Sx",26,0.309162311472121
"92","Bl",28,0.0040630383881474
"93","Cw",28,0.0105210072070386
"94","Fd",28,0.295710643112085
"95","Hw",28,0.125949802472578
"96","Lw",28,0.00148515542856614
"97","Pl",28,0.267702002600002
"98","Sx",28,0.304568350791583
"99","Bl",30,0.0047943586234909
"100","Cw",30,0.0126478215768343
"101","Fd",30,0.293925428518449
"102","Hw",30,0.13332394214316
"103","Lw",30,0.00147072118260784
"104","Pl",30,0.263373873844691
"105","Sx",30,0.300463854110767
"106","Bl",32,0.00562037616522511
"107","Cw",32,0.014604091159706
"108","Fd",32,0.292306456548145
"109","Hw",32,0.139725421551653
"110","Lw",32,0.00146535705934913
"111","Pl",32,0.25951548266808
"112","Sx",32,0.296762814847842
"113","Bl",34,0.00653452848081371
"114","Cw",34,0.0164824839700793
"115","Fd",34,0.290824427750122
"116","Hw",34,0.145263561149824
"117","Lw",34,0.001459587869533
"118","Pl",34,0.25604085312178
"119","Sx",34,0.293394557657848
"120","Bl",36,0.00755282893528151
"121","Cw",36,0.0182797638189772
"122","Fd",36,0.289454042966182
"123","Hw",36,0.150093961375212
"124","Lw",36,0.00145413033457422
"125","Pl",36,0.252878522881734
"126","Sx",36,0.290286749688039
"127","Bl",38,0.00864440918027331
"128","Cw",38,0.0200321133724498
"129","Fd",38,0.28817276568728
"130","Hw",38,0.154311524063438
"131","Lw",38,0.00145508010964041
"132","Pl",38,0.249979406528372
"133","Sx",38,0.287404701058547
"134","Bl",40,0.00976437138615802
"135","Cw",40,0.0217313639352417
"136","Fd",40,0.286972276811549
"137","Hw",40,0.158030098410174
"138","Lw",40,0.00145713509847603
"139","Pl",40,0.247313762114804
"140","Sx",40,0.284730992243598
"141","Bl",42,0.0109248879181739
"142","Cw",42,0.0234270004016546
"143","Fd",42,0.285836743771082
"144","Hw",42,0.161276035488954
"145","Lw",42,0.00146287734985169
"146","Pl",42,0.244842193747663
"147","Sx",42,0.282230261322621
"148","Bl",44,0.012113402370895
"149","Cw",44,0.0251174321908992
"150","Fd",44,0.28475846808487
"151","Hw",44,0.16411815163476
"152","Lw",44,0.00146991745353508
"153","Pl",44,0.242540257445228
"154","Sx",44,0.279882370819812
"155","Bl",46,0.0133053100045682
"156","Cw",46,0.0267726640478699
"157","Fd",46,0.283734845795015
"158","Hw",46,0.166631249160526
"159","Lw",46,0.00148462356197593
"160","Pl",46,0.240393552524542
"161","Sx",46,0.277677754905503
"162","Bl",48,0.0145312669895973
"163","Cw",48,0.0283862790761427
"164","Fd",48,0.282753091923867
"165","Hw",48,0.168875706522172
"166","Lw",48,0.00150173065216242
"167","Pl",48,0.238372777783911
"168","Sx",48,0.275579147052148
"169","Bl",50,0.0158086763696567
"170","Cw",50,0.0299195699813974
"171","Fd",50,0.281808961266955
"172","Hw",50,0.170925517730327
"173","Lw",50,0.00151807956113349
"174","Pl",50,0.236459151560811
"175","Sx",50,0.27356004352972
