"","Spp","Risk","Weight"
"1","Bl",2,0.000124612749708504
"2","Pl",2,0.495311976237578
"3","Sx",2,0.514563411012715
"4","Bl",4,0.000625155638817709
"5","Pl",4,0.501133032227442
"6","Sx",4,0.50824181213374
"7","Bl",6,0.00186841788578706
"8","Pl",6,0.50223788709689
"9","Sx",6,0.505893695017323
"10","Bl",8,0.00462011028714757
"11","Pl",8,0.501643037239527
"12","Sx",8,0.503736852473326
"13","Bl",10,0.00969405132425105
"14","Pl",10,0.499919233508709
"15","Sx",10,0.50038671516704
"16","Bl",12,0.0179329739124192
"17","Pl",12,0.496830742616327
"18","Sx",12,0.495236283471253
"19","Bl",14,0.0294406887925449
"20","Pl",14,0.492379309055733
"21","Sx",14,0.488180002151722
"22","Bl",16,0.0430429515503814
"23","Pl",16,0.487055449534613
"24","Sx",16,0.479901598915006
"25","Bl",18,0.0567713882429541
"26","Pl",18,0.481657204490547
"27","Sx",18,0.471571407266499
"28","Bl",20,0.069558236705058
"29","Pl",20,0.476618168631058
"30","Sx",20,0.463823594663883
"31","Bl",22,0.0810030230587884
"32","Pl",22,0.472102846963208
"33","Sx",22,0.456894129978003
"34","Bl",24,0.0909511702757924
"35","Pl",24,0.468176022024432
"36","Sx",24,0.450872807699776
"37","Bl",26,0.0996860827785803
"38","Pl",26,0.464726635197374
"39","Sx",26,0.445587282024045
"40","Bl",28,0.107420689179373
"41","Pl",28,0.461671167126436
"42","Sx",28,0.440908143694191
"43","Bl",30,0.114267863137718
"44","Pl",30,0.458965651100507
"45","Sx",30,0.436766485761775
"46","Bl",32,0.120427642271325
"47","Pl",32,0.45652789304336
"48","Sx",32,0.4330381790275
"49","Bl",34,0.12602046375912
"50","Pl",34,0.454306477054525
"51","Sx",34,0.429646289380348
"52","Bl",36,0.131111601131348
"53","Pl",36,0.452155823277277
"54","Sx",36,0.426431107207435
"55","Bl",38,0.135708058353408
"56","Pl",38,0.450021097911569
"57","Sx",38,0.423335608418391
"58","Bl",40,0.139784797811031
"59","Pl",40,0.448001234848226
"60","Sx",40,0.420463143584506
"61","Bl",42,0.143269209363918
"62","Pl",42,0.445690467484423
"63","Sx",42,0.417422059449757
"64","Bl",44,0.146352005451831
"65","Pl",44,0.44325091464795
"66","Sx",44,0.41433566529202
"67","Bl",46,0.148596893422046
"68","Pl",46,0.439851509263509
"69","Sx",46,0.410460391380787
"70","Bl",48,0.150235554201102
"71","Pl",48,0.435785935587858
"72","Sx",48,0.406042993044635
"73","Bl",50,0.152774975799414
"74","Pl",50,0.433780131128633
"75","Sx",50,0.403505766689566
