"","Spp","Risk","Weight"
"1","Bl",2,7.56911934474953e-05
"2","Pl",2,0.494255630077089
"3","Sx",2,0.515668678729465
"4","Bl",4,0.000345766758971299
"5","Pl",4,0.498650828726974
"6","Sx",4,0.511003404514055
"7","Bl",6,0.00140722265231446
"8","Pl",6,0.500486633665624
"9","Sx",6,0.508106143682061
"10","Bl",8,0.003950243701027
"11","Pl",8,0.500459863913025
"12","Sx",8,0.505589892385949
"13","Bl",10,0.0085897662377851
"14","Pl",10,0.499201350623125
"15","Sx",10,0.50220888313909
"16","Bl",12,0.0165947212209079
"17","Pl",12,0.496402349648365
"18","Sx",12,0.497002929130727
"19","Bl",14,0.028072724015142
"20","Pl",14,0.492104602105265
"21","Sx",14,0.489822673879593
"22","Bl",16,0.0413308722428586
"23","Pl",16,0.487025961408828
"24","Sx",16,0.481643166348313
"25","Bl",18,0.0549376867735919
"26","Pl",18,0.481761147959344
"27","Sx",18,0.473301165267064
"28","Bl",20,0.0677467239042859
"29","Pl",20,0.476781736428264
"30","Sx",20,0.46547153966745
"31","Bl",22,0.0792546048657085
"32","Pl",22,0.472297569541627
"33","Sx",22,0.458447825592664
"34","Bl",24,0.0893460646704209
"35","Pl",24,0.46836062868297
"36","Sx",24,0.452293306646609
"37","Bl",26,0.0981564425627977
"38","Pl",26,0.464921055259924
"39","Sx",26,0.446922502177279
"40","Bl",28,0.10586448552018
"41","Pl",28,0.461910485492903
"42","Sx",28,0.442225028986918
"43","Bl",30,0.112730644967795
"44","Pl",30,0.459227163817315
"45","Sx",30,0.43804219121489
"46","Bl",32,0.118904817206105
"47","Pl",32,0.456812906209671
"48","Sx",32,0.434282276584224
"49","Bl",34,0.124512272924476
"50","Pl",34,0.454597268622381
"51","Sx",34,0.430847052240182
"52","Bl",36,0.129610474426388
"53","Pl",36,0.452503163889422
"54","Sx",36,0.427645889447625
"55","Bl",38,0.134259366844692
"56","Pl",38,0.450363115238523
"57","Sx",38,0.424497676290536
"58","Bl",40,0.138399984979061
"59","Pl",40,0.448333129324606
"60","Sx",40,0.421569103837156
"61","Bl",42,0.141948107525411
"62","Pl",42,0.445966698445011
"63","Sx",42,0.418429682258319
"64","Bl",44,0.145097783408318
"65","Pl",44,0.443503018247234
"66","Sx",44,0.415278609079415
"67","Bl",46,0.14749185445472
"68","Pl",46,0.440249071447483
"69","Sx",46,0.411494324916396
"70","Bl",48,0.149079249798909
"71","Pl",48,0.436052227008221
"72","Sx",48,0.406933954527985
"73","Bl",50,0.15165206252517
"74","Pl",50,0.434051431006084
"75","Sx",50,0.404374066041427
