"","Spp","Risk","Weight"
"1","Bl",2,1.26523039144575e-19
"2","Pl",2,0.660574466790854
"3","Sx",2,0.349425533209148
"4","Bl",4,0.000770119611363418
"5","Pl",4,0.583867581237663
"6","Sx",4,0.425362299150974
"7","Bl",6,0.00280575644935892
"8","Pl",6,0.556663682715748
"9","Sx",6,0.450530560834893
"10","Bl",8,0.00975368215709344
"11","Pl",8,0.540695466028086
"12","Sx",8,0.459550851814821
"13","Bl",10,0.0231543327408097
"14","Pl",10,0.527430769139438
"15","Sx",10,0.459414898119752
"16","Bl",12,0.0427413397589221
"17","Pl",12,0.514336717368405
"18","Sx",12,0.452921942872672
"19","Bl",14,0.0647506846156953
"20","Pl",14,0.501784182575123
"21","Sx",14,0.443465132809182
"22","Bl",16,0.0844895922456829
"23","Pl",16,0.491080169517351
"24","Sx",16,0.434430238236966
"25","Bl",18,0.100641071297126
"26","Pl",18,0.482436006055035
"27","Sx",18,0.426922922647839
"28","Bl",20,0.113671995124766
"29","Pl",20,0.475476885929857
"30","Sx",20,0.420851118945377
"31","Bl",22,0.124335455535835
"32","Pl",22,0.469782343937067
"33","Sx",22,0.415882200527098
"34","Bl",24,0.13322167254506
"35","Pl",24,0.465036892276409
"36","Sx",24,0.411741435178531
"37","Bl",26,0.140740779245173
"38","Pl",26,0.461021510102006
"39","Sx",26,0.408237710652821
"40","Bl",28,0.147185727845269
"41","Pl",28,0.457579753952518
"42","Sx",28,0.405234518202213
"43","Bl",30,0.152771349965353
"44","Pl",30,0.454596898622961
"45","Sx",30,0.402631751411686
"46","Bl",32,0.157658769320427
"47","Pl",32,0.451986900209599
"48","Sx",32,0.400354330469974
"49","Bl",34,0.161971198163139
"50","Pl",34,0.449683960433103
"51","Sx",34,0.398344841403758
"52","Bl",36,0.165804468245549
"53","Pl",36,0.447636902853996
"54","Sx",36,0.396558628900455
"55","Bl",38,0.169234236214022
"56","Pl",38,0.445805325020057
"57","Sx",38,0.394960438765921
"58","Bl",40,0.172321027385647
"59","Pl",40,0.444156904969513
"60","Sx",40,0.39352206764484
"61","Bl",42,0.175101558351617
"62","Pl",42,0.442643527809327
"63","Sx",42,0.392201214692802
"64","Bl",44,0.177120480507079
"65","Pl",44,0.440358239517673
"66","Sx",44,0.390193706194618
"67","Bl",46,0.176483846573342
"68","Pl",46,0.43383891300336
"69","Sx",46,0.384428834908279
"70","Bl",48,0.177534592806267
"71","Pl",48,0.430784067738733
"72","Sx",48,0.381735524705364
"73","Bl",50,0.179477169290367
"74","Pl",50,0.429717920183203
"75","Sx",50,0.380804910526429
