"","Spp","Risk","Weight"
"1","Bl",2,0.0247610126480508
"2","Pl",2,0.0254112992522493
"3","Sx",2,0.959827688099698
"4","Bl",4,0.0822152343505493
"5","Pl",4,0.121833658689926
"6","Sx",4,0.805951106959524
"7","Bl",6,0.11875068750677
"8","Pl",6,0.213556331680095
"9","Sx",6,0.677692980813135
"10","Bl",8,0.141240281240745
"11","Pl",8,0.265123289772489
"12","Sx",8,0.603636428986766
"13","Bl",10,0.157734950100427
"14","Pl",10,0.295235234712505
"15","Sx",10,0.557029815187068
"16","Bl",12,0.169715419496446
"17","Pl",12,0.314928994321396
"18","Sx",12,0.525355586182158
"19","Bl",14,0.17843094562866
"20","Pl",14,0.328932914839898
"21","Sx",14,0.502636139531442
"22","Bl",16,0.184993761363342
"23","Pl",16,0.339425414687405
"24","Sx",16,0.485580823949253
"25","Bl",18,0.190098173601429
"26","Pl",18,0.347586247902132
"27","Sx",18,0.472315578496439
"28","Bl",20,0.194181703391897
"29","Pl",20,0.354114914473914
"30","Sx",20,0.461703382134188
"31","Bl",22,0.197522773220463
"32","Pl",22,0.359456550759918
"33","Sx",22,0.453020676019619
"34","Bl",24,0.200306998077601
"35","Pl",24,0.363907914331587
"36","Sx",24,0.445785087590812
"37","Bl",26,0.202662880649026
"38","Pl",26,0.367674452738385
"39","Sx",26,0.43966266661259
"40","Bl",28,0.204682208567389
"41","Pl",28,0.370902914229925
"42","Sx",28,0.434414877202686
"43","Bl",30,0.206432292763304
"44","Pl",30,0.37370091418926
"45","Sx",30,0.429866793047435
"46","Bl",32,0.20796361643473
"47","Pl",32,0.376149164153678
"48","Sx",32,0.425887219411591
"49","Bl",34,0.209314784380106
"50","Pl",34,0.378309384710518
"51","Sx",34,0.422375830909376
"52","Bl",36,0.210506532774539
"53","Pl",36,0.380212972089313
"54","Sx",36,0.41923986578534
"55","Bl",38,0.211245760517813
"56","Pl",38,0.381331425693722
"57","Sx",38,0.415915358468836
"58","Bl",40,0.210449309344278
"59","Pl",40,0.379724642671311
"60","Sx",40,0.410605379919751
"61","Bl",42,0.209296383105144
"62","Pl",42,0.377497952574078
"63","Sx",42,0.405115567294158
"64","Bl",44,0.209669641048516
"65","Pl",44,0.378014880850332
"66","Sx",44,0.402378714071687
"67","Bl",46,0.210381501861416
"68","Pl",46,0.3791502562097
"69","Sx",46,0.400468241928884
"70","Bl",48,0.211047294762036
"71","Pl",48,0.380214712715969
"72","Sx",48,0.398737992521996
"73","Bl",50,0.211659824230606
"74","Pl",50,0.381194012701736
"75","Sx",50,0.397146163067658
