"","Spp","Risk","Weight"
"1","Ba",2,2.62227409130708e-16
"2","Bl",2,1.6328908839264e-15
"3","Cw",2,8.39078618715948e-17
"4","Fd",2,0.711038631405228
"5","Hw",2,-5.11720617077151e-16
"6","Lw",2,0.0176970797893399
"7","Pl",2,0.281264288805434
"8","Py",2,-2.14403375543366e-16
"9","Ss",2,-1.39411459677786e-16
"10","Sx",2,-5.05013639210476e-17
"11","Ba",4,2.27981545355056e-17
"12","Bl",4,3.9217758164853e-16
"13","Cw",4,7.7311663675722e-17
"14","Fd",4,0.610712340517072
"15","Hw",4,-1.77149987528187e-17
"16","Lw",4,0.0197078398174542
"17","Pl",4,0.379579819665478
"18","Py",4,-1.0798029917323e-16
"19","Ss",4,6.97735924972216e-17
"20","Sx",4,-4.60465742287688e-17
"21","Ba",6,9.81537447446412e-19
"22","Bl",6,1.39660727017799e-16
"23","Cw",6,-1.02361455287304e-16
"24","Fd",6,0.570029686732859
"25","Hw",6,-7.3971275251071e-17
"26","Lw",6,0.0221382267735908
"27","Pl",6,0.417832086493552
"28","Py",6,-2.64060821522197e-16
"29","Ss",6,-1.81833318600744e-17
"30","Sx",6,-2.6609156011468e-17
"31","Ba",8,-1.19267435491622e-17
"32","Bl",8,4.86797080906759e-16
"33","Cw",8,3.09179492753384e-17
"34","Fd",8,0.544577541418649
"35","Hw",8,-3.5154880170724e-16
"36","Lw",8,0.0318004203058808
"37","Pl",8,0.433622038275472
"38","Py",8,-1.96560163197938e-16
"39","Ss",8,7.21038284021388e-19
"40","Sx",8,-1.67807570486055e-17
"41","Ba",10,1.93688784227423e-17
"42","Bl",10,1.21150474079759e-16
"43","Cw",10,1.84182396031349e-17
"44","Fd",10,0.526362556906606
"45","Hw",10,2.22826710887984e-16
"46","Lw",10,0.0424629868406849
"47","Pl",10,0.44117445625271
"48","Py",10,6.29182620044911e-17
"49","Ss",10,1.97411992643178e-17
"50","Sx",10,-9.8799467230223e-18
"51","Ba",12,-2.42230299799244e-17
"52","Bl",12,3.60890813758056e-17
"53","Cw",12,-7.96111929103919e-17
"54","Fd",12,0.510693179936529
"55","Hw",12,-1.37727232289134e-16
"56","Lw",12,0.0549463241350813
"57","Pl",12,0.443492651755878
"58","Py",12,-5.81183478925011e-17
"59","Ss",12,1.54877784159248e-18
"60","Sx",12,0.000867844172512443
"61","Ba",14,2.56289511782173e-19
"62","Bl",14,1.05265823365501e-16
"63","Cw",14,-2.52166328358228e-17
"64","Fd",14,0.496991385172552
"65","Hw",14,-4.10900799895798e-18
"66","Lw",14,0.0678499655873053
"67","Pl",14,0.443363376401823
"68","Py",14,1.57055543070911e-17
"69","Ss",14,7.21475041288809e-18
"70","Sx",14,0.00179527283831935
"71","Ba",16,-3.98300409468241e-18
"72","Bl",16,9.96679563468563e-17
"73","Cw",16,-5.20466824272591e-18
"74","Fd",16,0.484885805050434
"75","Hw",16,-3.26484188011509e-17
"76","Lw",16,0.0786393521780995
"77","Pl",16,0.440320038771841
"78","Py",16,-1.833137632378e-17
"79","Ss",16,2.15359780457248e-18
"80","Sx",16,0.00615480399962598
"81","Ba",18,8.51432823319648e-18
"82","Bl",18,5.8110730408609e-17
"83","Cw",18,-2.19511689885899e-17
"84","Fd",18,0.473354006289473
"85","Hw",18,1.21245742646489e-18
"86","Lw",18,0.0877172514272411
"87","Pl",18,0.433994180401194
"88","Py",18,-2.76277108934657e-17
"89","Ss",18,-1.60595850607987e-18
"90","Sx",18,0.0149345618820921
"91","Ba",20,4.09520931653538e-19
"92","Bl",20,5.71296438621722e-17
"93","Cw",20,-3.76943039868595e-17
"94","Fd",20,0.4627924105404
"95","Hw",20,1.09814449830612e-17
"96","Lw",20,0.0940489103527333
"97","Pl",20,0.425183902893265
"98","Py",20,-1.96481884482835e-17
"99","Ss",20,-9.09783769988249e-19
"100","Sx",20,0.0279747762136018
"101","Ba",22,8.49818514243859e-19
"102","Bl",22,2.40811563711278e-17
"103","Cw",22,-1.14417791583181e-17
"104","Fd",22,0.453079121968945
"105","Hw",22,-3.15572729699905e-17
"106","Lw",22,0.0975921957234109
"107","Pl",22,0.414152487935736
"108","Py",22,-1.07629667023709e-17
"109","Ss",22,2.47914211525e-06
"110","Sx",22,0.0451737152297934
"111","Ba",24,-8.54308896072942e-19
"112","Bl",24,-1.13147863845823e-17
"113","Cw",24,-8.25041176002989e-19
"114","Fd",24,0.443984096672594
"115","Hw",24,-1.35699245342985e-17
"116","Lw",24,0.0990992103527079
"117","Pl",24,0.402658129052599
"118","Py",24,-1.73541668295458e-17
"119","Ss",24,0.0019367217077412
"120","Sx",24,0.0623218422143581
"121","Ba",26,2.89522217931235e-19
"122","Bl",26,5.34031724773787e-18
"123","Cw",26,-9.37984619366667e-18
"124","Fd",26,0.432039352495238
"125","Hw",26,-9.85914326321429e-18
"126","Lw",26,0.0973727942553102
"127","Pl",26,0.38870144453054
"128","Py",26,-5.70611894787816e-18
"129","Ss",26,0.0160970533529037
"130","Sx",26,0.0757893553660084
"131","Ba",28,3.34524156231756e-05
"132","Bl",28,-1.36994616004361e-17
"133","Cw",28,0.000108960915769409
"134","Fd",28,0.418991237782504
"135","Hw",28,-2.93563131109692e-18
"136","Lw",28,0.0939202390382144
"137","Pl",28,0.374129023317382
"138","Py",28,-4.58996111482945e-18
"139","Ss",28,0.0366297382942642
"140","Sx",28,0.086187348236242
"141","Ba",30,0.000437306558337899
"142","Bl",30,1.63080450057187e-17
"143","Cw",30,0.00044023520378919
"144","Fd",30,0.407491844567346
"145","Hw",30,-1.87951557681654e-17
"146","Lw",30,0.0907484331833992
"147","Pl",30,0.361258134978369
"148","Py",30,-1.30588109047049e-18
"149","Ss",30,0.0542668564439956
"150","Sx",30,0.0953571890647631
"151","Ba",32,0.00212133919423859
"152","Bl",32,-1.16548087830588e-17
"153","Cw",32,0.000751671073145516
"154","Fd",32,0.397176222622944
"155","Hw",32,-2.25382152858156e-18
"156","Lw",32,0.0879558466302116
"157","Pl",32,0.349873393323209
"158","Py",32,-6.51196458778011e-18
"159","Ss",32,0.0689462333188714
"160","Sx",32,0.103175293837381
"161","Ba",34,0.00533558143862638
"162","Bl",34,1.27732098464232e-17
"163","Cw",34,0.000993906257703007
"164","Fd",34,0.387755159394024
"165","Hw",34,-1.05365868550839e-17
"166","Lw",34,0.085491000727007
"167","Pl",34,0.339687030458021
"168","Py",34,-1.36311013531552e-18
"169","Ss",34,0.0809576797851052
"170","Sx",34,0.109779641939514
"171","Ba",36,0.0108638971351291
"172","Bl",36,-6.75237959864106e-18
"173","Cw",36,0.00120726254788681
"174","Fd",36,0.378823296461369
"175","Hw",36,-5.22804833071101e-18
"176","Lw",36,0.0832623430983274
"177","Pl",36,0.330397343271367
"178","Py",36,0.000121459767941525
"179","Ss",36,0.0901297988503393
"180","Sx",36,0.115194598867641
"181","Ba",38,0.0181536002094596
"182","Bl",38,-5.72635078893012e-17
"183","Cw",38,0.00143184183542385
"184","Fd",38,0.37019590242486
"185","Hw",38,3.57193286489496e-19
"186","Lw",38,0.0811644322127487
"187","Pl",38,0.321843935069244
"188","Py",38,0.00063625296442246
"189","Ss",38,0.0969368038022984
"190","Sx",38,0.119637231481543
"191","Ba",40,0.0248936000603746
"192","Bl",40,3.96166027563042e-18
"193","Cw",40,0.00174686157929372
"194","Fd",40,0.362013433188829
"195","Hw",40,4.94026766816225e-18
"196","Lw",40,0.0790859765688938
"197","Pl",40,0.314037446340513
"198","Py",40,0.00187902455945403
"199","Ss",40,0.102745507069959
"200","Sx",40,0.123598150632683
"201","Ba",42,0.0308925973500459
"202","Bl",42,-9.95281272911298e-18
"203","Cw",42,0.00214263462280981
"204","Fd",42,0.354182191862978
"205","Hw",42,4.97935587722683e-05
"206","Lw",42,0.0769853486870952
"207","Pl",42,0.306873432498536
"208","Py",42,0.00390041565603483
"209","Ss",42,0.107787081538877
"210","Sx",42,0.127186504224851
"211","Ba",44,0.0362932728831277
"212","Bl",44,-1.50937226878523e-17
"213","Cw",44,0.0025643465067963
"214","Fd",44,0.346802231766837
"215","Hw",44,0.00010450349915329
"216","Lw",44,0.07495944770512
"217","Pl",44,0.30029849585214
"218","Py",44,0.00627670690376772
"219","Ss",44,0.112251061370717
"220","Sx",44,0.13044993351234
"221","Ba",46,0.0411745986382422
"222","Bl",46,-1.76220350279669e-17
"223","Cw",46,0.00295045922855929
"224","Fd",46,0.339749278393553
"225","Hw",46,0.000154456053414215
"226","Lw",46,0.0729909174431451
"227","Pl",46,0.294223068862223
"228","Py",46,0.00911124261567835
"229","Ss",46,0.116217243001466
