"","Spp","Risk","Weight"
"1","Ba",2,1.96308844042763e-16
"2","Bl",2,1.41075531610418e-15
"3","Cw",2,-7.73588479492925e-17
"4","Fd",2,0.759134124029382
"5","Lw",2,0.0136981621483848
"6","Pl",2,0.237167713822235
"7","Py",2,-7.35917826901634e-17
"8","Ss",2,8.18753328099569e-17
"9","Sx",2,2.17706768486381e-17
"10","Ba",4,-9.57538472158806e-17
"11","Bl",4,-6.40736162609441e-16
"12","Cw",4,2.51587852808682e-16
"13","Fd",4,0.633849264795937
"14","Lw",4,0.0166249519050388
"15","Pl",4,0.359525783299028
"16","Py",4,-4.66736701102397e-16
"17","Ss",4,7.39295698321915e-17
"18","Sx",4,-6.64497085359453e-18
"19","Ba",6,-4.71406114184306e-17
"20","Bl",6,5.78680751754695e-17
"21","Cw",6,4.36676177742536e-17
"22","Fd",6,0.583762258652883
"23","Lw",6,0.0228795257467474
"24","Pl",6,0.403358215600368
"25","Py",6,-5.67744107344496e-16
"26","Ss",6,1.84626818009586e-17
"27","Sx",6,1.23161656055391e-17
"28","Ba",8,2.91365870760289e-17
"29","Bl",8,3.12948409109701e-16
"30","Cw",8,-1.94567561772668e-16
"31","Fd",8,0.553470667279962
"32","Lw",8,0.0346806880639027
"33","Pl",8,0.421848644656136
"34","Py",8,-2.50749906775531e-16
"35","Ss",8,2.29860213328585e-17
"36","Sx",8,-3.51307896034084e-18
"37","Ba",10,-6.83494001144157e-17
"38","Bl",10,-2.17414632614391e-16
"39","Cw",10,1.33596356600712e-16
"40","Fd",10,0.532377366854708
"41","Lw",10,0.04658473534029
"42","Pl",10,0.431037897805003
"43","Py",10,7.25560994384428e-17
"44","Ss",10,1.03797531136247e-17
"45","Sx",10,-2.55068612978772e-19
"46","Ba",12,-2.16754372439577e-18
"47","Bl",12,-2.94239445802305e-16
"48","Cw",12,-1.81581686017977e-17
"49","Fd",12,0.515579637361001
"50","Lw",12,0.0585815455450466
"51","Pl",12,0.43495765458163
"52","Py",12,-1.24368291081335e-16
"53","Ss",12,1.3854227131386e-17
"54","Sx",12,0.00088116251232245
"55","Ba",14,-2.49082498301369e-17
"56","Bl",14,4.82328757329432e-17
"57","Cw",14,-4.40349353538539e-17
"58","Fd",14,0.500484934554157
"59","Lw",14,0.0714166705196535
"60","Pl",14,0.434958139629867
"61","Py",14,-2.98830416177578e-17
"62","Ss",14,-7.58300919749356e-19
"63","Sx",14,0.00314025529632223
"64","Ba",16,-1.71019822790779e-17
