"","Spp","Risk","Weight"
"1","Bl",2,0.000370032629788387
"2","Cw",2,4.8743607905299e-17
"3","Fd",2,0.443662795405175
"4","Lw",2,-1.57325738011319e-16
"5","Pl",2,0.443389868615095
"6","Sx",2,0.122577303349938
"7","Bl",4,0.00113694432856733
"8","Cw",4,0.000270261321320433
"9","Fd",4,0.45534460107951
"10","Lw",4,-8.89029621410194e-17
"11","Pl",4,0.42575346185802
"12","Sx",4,0.127494731412582
"13","Bl",6,0.00298518681397075
"14","Cw",6,0.00147327619585899
"15","Fd",6,0.455717922587889
"16","Lw",6,-1.51037260304419e-16
"17","Pl",6,0.418304313026572
"18","Sx",6,0.13151930137571
"19","Bl",8,0.00679367603959742
"20","Cw",8,0.00339337829660541
"21","Fd",8,0.452773548764856
"22","Lw",8,-5.50047886858291e-17
"23","Pl",8,0.410805426514365
"24","Sx",8,0.136233970384576
"25","Bl",10,0.0133694539759042
"26","Cw",10,0.0054182868883949
"27","Fd",10,0.447693091011305
"28","Lw",10,2.16192092960858e-18
"29","Pl",10,0.400946463578946
"30","Sx",10,0.14257270454545
"31","Bl",12,0.0215514864469053
"32","Cw",12,0.00722359000206538
"33","Fd",12,0.44194218898845
"34","Lw",12,-8.31757878439681e-17
"35","Pl",12,0.390260325991773
"36","Sx",12,0.149022408570806
"37","Bl",14,0.029842977273
"38","Cw",14,0.00905466774846562
"39","Fd",14,0.43625043216362
"40","Lw",14,1.12760151469411e-05
"41","Pl",14,0.379879828391759
"42","Sx",14,0.154960818408009
"43","Bl",16,0.0372155587709617
"44","Cw",16,0.0117409829612583
"45","Fd",16,0.430742994356618
"46","Lw",16,4.07201416041859e-05
"47","Pl",16,0.370168350616084
"48","Sx",16,0.160091393153474
"49","Bl",18,0.0434696877336956
"50","Cw",18,0.016317497019346
"51","Fd",18,0.424949894036452
"52","Lw",18,6.72519631657872e-05
"53","Pl",18,0.360888946289923
"54","Sx",18,0.164306722957418
"55","Bl",20,0.0486667430695866
"56","Cw",20,0.0230882727467262
"57","Fd",20,0.418588380807376
"58","Lw",20,9.48631530080606e-05
"59","Pl",20,0.351796098819359
"60","Sx",20,0.167765641403944
"61","Bl",22,0.052927056907719
"62","Cw",22,0.0314694072104287
"63","Fd",22,0.411856558957755
"64","Lw",22,0.000120365868705479
"65","Pl",22,0.343092424686933
"66","Sx",22,0.170534186368459
"67","Bl",24,0.0565515466563499
"68","Cw",24,0.0409877163744907
"69","Fd",24,0.404899298089693
"70","Lw",24,0.000134931552243074
"71","Pl",24,0.334830727456288
"72","Sx",24,0.172595779870936
"73","Bl",26,0.0598276242889667
"74","Cw",26,0.0507973747055634
"75","Fd",26,0.398059479988758
"76","Lw",26,0.000147943725498492
"77","Pl",26,0.327107847221224
"78","Sx",26,0.17405973006999
"79","Bl",28,0.0627896284422686
"80","Cw",28,0.0603703839033825
"81","Fd",28,0.391560221088237
"82","Lw",28,0.0001592612974483
"83","Pl",28,0.320017757962644
"84","Sx",28,0.175102747306019
"85","Bl",30,0.0655730454858874
"86","Cw",30,0.0694623098340448
"87","Fd",30,0.385449884128461
"88","Lw",30,0.0001732050557068
"89","Pl",30,0.313468655895704
"90","Sx",30,0.175872899600197
"91","Bl",32,0.0681394522027632
"92","Cw",32,0.0782581630442411
"93","Fd",32,0.379608766512297
"94","Lw",32,0.000187229844766628
"95","Pl",32,0.307326128297185
"96","Sx",32,0.176480260098747
"97","Bl",34,0.0704481153261699
"98","Cw",34,0.087024378821263
"99","Fd",34,0.37389506203423
"100","Lw",34,0.000199877750230806
"101","Pl",34,0.301474465266568
"102","Sx",34,0.176958100801538
"103","Bl",36,0.0724532049468954
"104","Cw",36,0.0958076122176615
"105","Fd",36,0.368296450767166
"106","Lw",36,0.000209225333834376
"107","Pl",36,0.295909859062502
"108","Sx",36,0.17732364767194
"109","Bl",38,0.0741646620325287
"110","Cw",38,0.104333937543284
"111","Fd",38,0.362931619795535
"112","Lw",38,0.000217433331619046
"113","Pl",38,0.290673764814798
"114","Sx",38,0.177678582482235
"115","Bl",40,0.0755729957079717
"116","Cw",40,0.112421699770948
"117","Fd",40,0.357873097017231
"118","Lw",40,0.000222668193195368
"119","Pl",40,0.285775982547583
"120","Sx",40,0.178133556763071
"121","Bl",42,0.0767368355824118
"122","Cw",42,0.119972929490992
"123","Fd",42,0.353151252579141
"124","Lw",42,0.000225283101968951
"125","Pl",42,0.281210104339332
"126","Sx",42,0.178695471406563
"127","Bl",44,0.0777068229134252
"128","Cw",44,0.126858805206579
"129","Fd",44,0.348797298243847
"130","Lw",44,0.000228988056563146
"131","Pl",44,0.27697260606355
"132","Sx",44,0.179366011089297
"133","Bl",46,0.0784901387101119
"134","Cw",46,0.133071501124689
"135","Fd",46,0.344749528899302
"136","Lw",46,0.000230682351240785
"137","Pl",46,0.273003196508462
"138","Sx",46,0.180124603813697
"139","Bl",48,0.0790941513123884
"140","Cw",48,0.138598562713825
"141","Fd",48,0.340879989398692
"142","Lw",48,0.000230721150657294
"143","Pl",48,0.269209392414665
"144","Sx",48,0.180857281923838
"145","Bl",50,0.0795811922748049
"146","Cw",50,0.143631717412503
"147","Fd",50,0.337270291529586
"148","Lw",50,0.000232686589657038
"149","Pl",50,0.265648045895212
"150","Sx",50,0.181637812733421
