MergedBGC,Source,SS_NoSpace,SSprob,SSCurrent,FuturePeriod,SiteNo
BWBSdk,BECv10,BWBSdk/101,0.033333333,ESSFwv/01,2025,84
BWBSdk,BECv10,BWBSdk/101,0.006666667,ESSFwv/03,2025,84
BWBSdk,BECv10,BWBSdk/101,0.033333333,ESSFwv/05,2025,84
BWBSdk,BECv10,BWBSdk/101,0.033333333,ESSFwv/07,2025,84
BWBSdk,BECv10,BWBSdk/102,0.010344828,ESSFwv/02,2025,84
BWBSdk,BECv10,BWBSdk/102,0.026666667,ESSFwv/03,2025,84
BWBSdk,BECv10,BWBSdk/Gb,0.022988506,ESSFwv/02,2025,84
CWHds1,BECv10,CWHds1/01,0.026666667,ESSFmc/01,2085,2
CWHds1,BECv10,CWHds1/01,0.033333333,ESSFmc/04,2085,2
CWHds1,BECv10,CWHds1/01,0.026666667,SBSmc2/03,2085,3
CWHds1,BECv10,CWHds1/01,0.024242424,SBSmc2/01,2085,3
CWHds1,BECv10,CWHds1/01,0.026666667,SBSmc2/03,2085,4
CWHds1,BECv10,CWHds1/01,0.024242424,SBSmc2/01,2085,4
CWHds1,BECv10,CWHds1/01,0.053333333,SBSmc2/03,2085,5
CWHds1,BECv10,CWHds1/01,0.048484848,SBSmc2/01,2085,5
CWHds1,BECv10,CWHds1/01,0.026666667,SBSmc2/03,2085,6
CWHds1,BECv10,CWHds1/01,0.024242424,SBSmc2/01,2085,6
CWHds1,BECv10,CWHds1/01,0.026666667,ESSFmc/01,2085,7
CWHds1,BECv10,CWHds1/01,0.033333333,ESSFmc/04,2085,7
CWHds1,BECv10,CWHds1/01,0.08,SBSmc2/03,2085,8
CWHds1,BECv10,CWHds1/01,0.072727273,SBSmc2/01,2085,8
CWHds1,BECv10,CWHds1/01,0.026666667,ESSFmc/01,2085,9
CWHds1,BECv10,CWHds1/01,0.033333333,ESSFmc/04,2085,9
CWHds1,BECv10,CWHds1/01,0.08,SBSmc2/03,2085,10
CWHds1,BECv10,CWHds1/01,0.072727273,SBSmc2/01,2085,10
CWHds1,BECv10,CWHds1/01,0.08,SBSmc2/03,2085,12
CWHds1,BECv10,CWHds1/01,0.072727273,SBSmc2/01,2085,12
CWHds1,BECv10,CWHds1/01,0.053333333,ESSFmc/01,2085,13
CWHds1,BECv10,CWHds1/01,0.066666667,ESSFmc/04,2085,13
CWHds1,BECv10,CWHds1/01,0.08,SBSmc2/03,2085,14
CWHds1,BECv10,CWHds1/01,0.072727273,SBSmc2/01,2085,14
CWHds1,BECv10,CWHds1/01,0.053333333,ESSFmc/01,2085,15
CWHds1,BECv10,CWHds1/01,0.066666667,ESSFmc/04,2085,15
CWHds1,BECv10,CWHds1/01,0.026666667,SBSmc2/03,2055,16
CWHds1,BECv10,CWHds1/01,0.024242424,SBSmc2/01,2055,16
CWHds1,BECv10,CWHds1/01,0.08,SBSmc2/03,2085,16
CWHds1,BECv10,CWHds1/01,0.072727273,SBSmc2/01,2085,16
CWHds1,BECv10,CWHds1/01,0.026666667,SBSmc2/03,2055,17
CWHds1,BECv10,CWHds1/01,0.024242424,SBSmc2/01,2055,17
CWHds1,BECv10,CWHds1/01,0.08,SBSmc2/03,2085,17
CWHds1,BECv10,CWHds1/01,0.072727273,SBSmc2/01,2085,17
CWHds1,BECv10,CWHds1/01,0.08,SBSmc2/03,2085,18
CWHds1,BECv10,CWHds1/01,0.072727273,SBSmc2/01,2085,18
CWHds1,BECv10,CWHds1/01,0.08,SBSmc2/03,2085,19
CWHds1,BECv10,CWHds1/01,0.072727273,SBSmc2/01,2085,19
CWHds1,BECv10,CWHds1/01,0.08,SBSmc2/03,2085,20
CWHds1,BECv10,CWHds1/01,0.072727273,SBSmc2/01,2085,20
CWHds1,BECv10,CWHds1/01,0.08,SBSmc2/03,2085,21
CWHds1,BECv10,CWHds1/01,0.072727273,SBSmc2/01,2085,21
CWHds1,BECv10,CWHds1/01,0.08,SBSmc2/03,2085,22
CWHds1,BECv10,CWHds1/01,0.072727273,SBSmc2/01,2085,22
CWHds1,BECv10,CWHds1/01,0.08,SBSmc2/03,2085,23
CWHds1,BECv10,CWHds1/01,0.072727273,SBSmc2/01,2085,23
CWHds1,BECv10,CWHds1/01,0.08,ESSFmc/01,2085,24
CWHds1,BECv10,CWHds1/01,0.1,ESSFmc/04,2085,24
CWHds1,BECv10,CWHds1/01,0.053333333,SBSmc2/03,2085,25
CWHds1,BECv10,CWHds1/01,0.048484848,SBSmc2/01,2085,25
CWHds1,BECv10,CWHds1/01,0.053333333,ESSFmc/01,2085,26
CWHds1,BECv10,CWHds1/01,0.066666667,ESSFmc/04,2085,26
CWHds1,BECv10,CWHds1/01,0.053333333,SBSmc2/03,2085,27
CWHds1,BECv10,CWHds1/01,0.048484848,SBSmc2/01,2085,27
CWHds1,BECv10,CWHds1/01,0.053333333,SBSmc2/03,2085,28
CWHds1,BECv10,CWHds1/01,0.048484848,SBSmc2/01,2085,28
CWHds1,BECv10,CWHds1/01,0.053333333,SBSmc2/03,2085,29
CWHds1,BECv10,CWHds1/01,0.048484848,SBSmc2/01,2085,29
CWHds1,BECv10,CWHds1/01,0.053333333,SBSmc2/03,2085,30
CWHds1,BECv10,CWHds1/01,0.048484848,SBSmc2/01,2085,30
CWHds1,BECv10,CWHds1/01,0.026666667,SBSmc2/03,2055,31
CWHds1,BECv10,CWHds1/01,0.024242424,SBSmc2/01,2055,31
CWHds1,BECv10,CWHds1/01,0.08,SBSmc2/03,2085,31
CWHds1,BECv10,CWHds1/01,0.072727273,SBSmc2/01,2085,31
CWHds1,BECv10,CWHds1/01,0.053333333,SBSmc2/03,2085,32
CWHds1,BECv10,CWHds1/01,0.048484848,SBSmc2/01,2085,32
CWHds1,BECv10,CWHds1/01,0.062745098,ICHmc1/01,2055,33
CWHds1,BECv10,CWHds1/01,0.001801802,ICHmc1/02,2055,33
CWHds1,BECv10,CWHds1/01,0.094117647,ICHmc1/01,2085,33
CWHds1,BECv10,CWHds1/01,0.002702703,ICHmc1/02,2085,33
CWHds1,BECv10,CWHds1/01,0.026666667,SBSmc2/03,2055,34
CWHds1,BECv10,CWHds1/01,0.024242424,SBSmc2/01,2055,34
CWHds1,BECv10,CWHds1/01,0.08,SBSmc2/03,2085,34
CWHds1,BECv10,CWHds1/01,0.072727273,SBSmc2/01,2085,34
CWHds1,BECv10,CWHds1/01,0.026666667,ESSFmc/01,2085,35
CWHds1,BECv10,CWHds1/01,0.033333333,ESSFmc/04,2085,35
CWHds1,BECv10,CWHds1/01,0.026666667,SBSmc2/03,2055,36
CWHds1,BECv10,CWHds1/01,0.024242424,SBSmc2/01,2055,36
CWHds1,BECv10,CWHds1/01,0.08,SBSmc2/03,2085,36
CWHds1,BECv10,CWHds1/01,0.072727273,SBSmc2/01,2085,36
CWHds1,BECv10,CWHds1/01,0.053333333,SBSmc2/03,2085,37
CWHds1,BECv10,CWHds1/01,0.048484848,SBSmc2/01,2085,37
CWHds1,BECv10,CWHds1/01,0.026666667,ESSFmc/01,2085,38
CWHds1,BECv10,CWHds1/01,0.033333333,ESSFmc/04,2085,38
CWHds1,BECv10,CWHds1/01,0.026666667,ESSFmc/01,2085,39
CWHds1,BECv10,CWHds1/01,0.033333333,ESSFmc/04,2085,39
CWHds1,BECv10,CWHds1/01,0.026666667,SBSmc2/03,2055,40
CWHds1,BECv10,CWHds1/01,0.024242424,SBSmc2/01,2055,40
CWHds1,BECv10,CWHds1/01,0.08,SBSmc2/03,2085,40
CWHds1,BECv10,CWHds1/01,0.072727273,SBSmc2/01,2085,40
CWHds1,BECv10,CWHds1/01,0.053333333,ESSFwv/01,2085,41
CWHds1,BECv10,CWHds1/01,0.013333333,ESSFwv/03,2085,41
CWHds1,BECv10,CWHds1/01,0.066666667,ESSFwv/04,2085,41
