BECvarfut_plantation,BECvar_seed,HTp_pred
BAFAun,BAFAun,0.9939
BAFAun,BAFAunp,0.9726
BAFAun,BGxh1,0.4883
BAFAun,BGxh2,0.5640
BAFAun,BGxh3,0.6304
BAFAun,BGxw1,0.6723
BAFAun,BGxw2,0.7287
BAFAun,BWBSdk,0.9068
BAFAun,BWBSmk,0.8482
BAFAun,BWBSmw,0.8732
BAFAun,BWBSvk,0.9674
BAFAun,BWBSwk1,0.9357
BAFAun,BWBSwk2,0.9160
BAFAun,BWBSwk3,0.9233
BAFAun,CDFmm,0.6017
BAFAun,CMAun,0.9869
BAFAun,CMAunp,0.9551
BAFAun,CMAwh,0.9056
BAFAun,CWHdm,0.7452
BAFAun,CWHds1,0.8171
BAFAun,CWHds2,0.8716
BAFAun,CWHmm1,0.8180
BAFAun,CWHmm2,0.8539
BAFAun,CWHms1,0.8919
BAFAun,CWHms2,0.8650
BAFAun,CWHun,0.8822
BAFAun,CWHvh1,0.7446
BAFAun,CWHvh2,0.8470
BAFAun,CWHvh3,0.8404
BAFAun,CWHvm1,0.8233
BAFAun,CWHvm2,0.8864
BAFAun,CWHwh1,0.8223
BAFAun,CWHwh2,0.8808
BAFAun,CWHwm,0.9547
BAFAun,CWHws1,0.8987
BAFAun,CWHws2,0.9470
BAFAun,CWHxm1,0.7006
BAFAun,CWHxm2,0.7838
BAFAun,ESSFdc1,0.9285
BAFAun,ESSFdc2,0.9115
BAFAun,ESSFdc3,0.9228
BAFAun,ESSFdcp,0.9549
BAFAun,ESSFdcw,0.9458
BAFAun,ESSFdk1,0.9320
BAFAun,ESSFdk2,0.9503
BAFAun,ESSFdkp,0.9655
BAFAun,ESSFdkw,0.9598
BAFAun,ESSFdv1,0.9192
BAFAun,ESSFdv2,0.9383
BAFAun,ESSFdvp,0.9440
BAFAun,ESSFdvw,0.9409
BAFAun,ESSFmc,0.9725
BAFAun,ESSFmcp,0.9946
BAFAun,ESSFmh,0.9044
BAFAun,ESSFmk,0.9693
BAFAun,ESSFmkp,0.9839
BAFAun,ESSFmm1,0.9766
BAFAun,ESSFmm2,0.9742
BAFAun,ESSFmmp,0.9848
BAFAun,ESSFmmw,0.9715
BAFAun,ESSFmv1,0.9342
BAFAun,ESSFmv2,0.9758
BAFAun,ESSFmv3,0.9683
BAFAun,ESSFmv4,0.9591
BAFAun,ESSFmvp,0.9854
BAFAun,ESSFmw,0.9349
BAFAun,ESSFmw1,0.9147
BAFAun,ESSFmw2,0.9174
BAFAun,ESSFmwp,0.9486
BAFAun,ESSFmww,0.9325
BAFAun,ESSFun,0.9929
BAFAun,ESSFunp,0.9988
BAFAun,ESSFvc,0.9547
BAFAun,ESSFvcp,0.9743
BAFAun,ESSFvcw,0.9694
BAFAun,ESSFwc2,0.9622
BAFAun,ESSFwc3,0.9877
BAFAun,ESSFwc4,0.9475
BAFAun,ESSFwcp,0.9847
BAFAun,ESSFwcw,0.9703
BAFAun,ESSFwh1,0.9329
BAFAun,ESSFwh2,0.9230
BAFAun,ESSFwh3,0.9226
BAFAun,ESSFwk1,0.9607
BAFAun,ESSFwk2,0.9805
BAFAun,ESSFwm,0.9611
BAFAun,ESSFwm1,0.9338
BAFAun,ESSFwm2,0.9421
BAFAun,ESSFwm3,0.9415
BAFAun,ESSFwm4,0.9218
BAFAun,ESSFwmp,0.9667
BAFAun,ESSFwmw,0.9591
BAFAun,ESSFwv,0.9813
BAFAun,ESSFwvp,0.9936
BAFAun,ESSFxc1,0.8978
BAFAun,ESSFxc2,0.9268
BAFAun,ESSFxc3,0.9258
BAFAun,ESSFxcp,0.9351
BAFAun,ESSFxcw,0.9326
BAFAun,ESSFxv1,0.9549
BAFAun,ESSFxv2,0.9465
BAFAun,ESSFxvp,0.9604
BAFAun,ESSFxvw,0.9422
BAFAun,ICHdk,0.8773
BAFAun,ICHdm,0.8735
BAFAun,ICHdw1,0.8073
BAFAun,ICHdw3,0.8601
BAFAun,ICHdw4,0.7980
BAFAun,ICHmc1,0.9396
BAFAun,ICHmc2,0.8967
BAFAun,ICHmk1,0.8592
BAFAun,ICHmk2,0.8739
BAFAun,ICHmk3,0.8951
BAFAun,ICHmk4,0.8989
BAFAun,ICHmm,0.9349
BAFAun,ICHmw1,0.9077
BAFAun,ICHmw2,0.8647
BAFAun,ICHmw3,0.8776
BAFAun,ICHmw4,0.8888
BAFAun,ICHmw5,0.8681
BAFAun,ICHvc,0.9532
BAFAun,ICHvk1,0.9278
BAFAun,ICHvk2,0.9486
BAFAun,ICHwc,0.9616
BAFAun,ICHwk1,0.9143
BAFAun,ICHwk2,0.9052
BAFAun,ICHwk3,0.9329
BAFAun,ICHwk4,0.9333
BAFAun,ICHxw,0.7438
BAFAun,IDFdc,0.8381
BAFAun,IDFdk1,0.8120
BAFAun,IDFdk2,0.8233
BAFAun,IDFdk3,0.8340
BAFAun,IDFdk4,0.8347
BAFAun,IDFdk5,0.8203
BAFAun,IDFdm1,0.7809
BAFAun,IDFdm2,0.7818
BAFAun,IDFdw,0.8573
BAFAun,IDFmw1,0.7825
BAFAun,IDFmw2,0.7935
BAFAun,IDFww,0.8190
BAFAun,IDFww1,0.7475
BAFAun,IDFxc,0.7345
BAFAun,IDFxh1,0.7212
BAFAun,IDFxh2,0.7464
BAFAun,IDFxh4,0.7029
BAFAun,IDFxk,0.7431
BAFAun,IDFxm,0.7934
BAFAun,IDFxw,0.7572
BAFAun,IMAun,0.9766
BAFAun,IMAunp,0.9458
BAFAun,MHmm1,0.9189
BAFAun,MHmm2,0.9697
BAFAun,MHmmp,0.9811
BAFAun,MHun,0.9757
BAFAun,MHunp,0.9917
BAFAun,MHwh,0.8948
BAFAun,MHwh1,0.9127
BAFAun,MHwhp,0.9240
BAFAun,MSdc1,0.8893
BAFAun,MSdc2,0.9249
BAFAun,MSdc3,0.9140
BAFAun,MSdk1,0.8799
BAFAun,MSdk2,0.8961
BAFAun,MSdm1,0.8725
BAFAun,MSdm2,0.8702
BAFAun,MSdm3,0.8737
BAFAun,MSdv,0.9193
BAFAun,MSmw1,0.8789
BAFAun,MSmw2,0.8727
BAFAun,MSun,0.9496
BAFAun,MSxk1,0.8680
BAFAun,MSxk2,0.8536
BAFAun,MSxk3,0.8878
BAFAun,MSxv,0.9198
BAFAun,PPdh2,0.7225
BAFAun,PPxh1,0.5947
BAFAun,PPxh2,0.6398
BAFAun,PPxh3,0.6921
BAFAun,SBPSdc,0.8749
BAFAun,SBPSmc,0.8865
BAFAun,SBPSmk,0.8833
BAFAun,SBPSxc,0.8686
BAFAun,SBSdh1,0.8837
BAFAun,SBSdh2,0.9440
BAFAun,SBSdk,0.8726
BAFAun,SBSdw1,0.8693
BAFAun,SBSdw2,0.8717
BAFAun,SBSdw3,0.8868
BAFAun,SBSmc1,0.9175
BAFAun,SBSmc2,0.9168
BAFAun,SBSmc3,0.9014
BAFAun,SBSmh,0.8392
BAFAun,SBSmk1,0.9255
BAFAun,SBSmk2,0.8968
BAFAun,SBSmm,0.9083
BAFAun,SBSmw,0.8904
BAFAun,SBSun,0.9631
BAFAun,SBSvk,0.9510
BAFAun,SBSwk1,0.9362
BAFAun,SBSwk2,0.9469
BAFAun,SBSwk3,0.9212
BAFAun,SWBmk,0.9608
BAFAun,SWBmks,0.9832
BAFAun,SWBun,0.9446
BAFAun,SWBuns,0.9641
BAFAun,SWBvk,0.9856
BAFAun,SWBvks,0.9837
BAFAunp,BAFAun,0.9401
BAFAunp,BAFAunp,0.9930
BAFAunp,BGxh1,0.5912
BAFAunp,BGxh2,0.6601
BAFAunp,BGxh3,0.7181
BAFAunp,BGxw1,0.7695
BAFAunp,BGxw2,0.8063
BAFAunp,BWBSdk,0.8886
BAFAunp,BWBSmk,0.8111
BAFAunp,BWBSmw,0.8739
BAFAunp,BWBSvk,0.9490
BAFAunp,BWBSwk1,0.9460
BAFAunp,BWBSwk2,0.8999
BAFAunp,BWBSwk3,0.8754
BAFAunp,CDFmm,0.7224
BAFAunp,CMAun,0.9430
BAFAunp,CMAunp,0.9752
BAFAunp,CMAwh,0.9334
BAFAunp,CWHdm,0.8477
BAFAunp,CWHds1,0.9143
BAFAunp,CWHds2,0.9494
BAFAunp,CWHmm1,0.9153
BAFAunp,CWHmm2,0.9462
BAFAunp,CWHms1,0.9696
BAFAunp,CWHms2,0.9360
BAFAunp,CWHun,0.9580
BAFAunp,CWHvh1,0.8350
BAFAunp,CWHvh2,0.9036
BAFAunp,CWHvh3,0.9045
BAFAunp,CWHvm1,0.9017
BAFAunp,CWHvm2,0.9432
BAFAunp,CWHwh1,0.8960
BAFAunp,CWHwh2,0.9354
BAFAunp,CWHwm,0.9639
BAFAunp,CWHws1,0.9525
BAFAunp,CWHws2,0.9838
BAFAunp,CWHxm1,0.8157
BAFAunp,CWHxm2,0.8897
BAFAunp,ESSFdc1,0.9845
BAFAunp,ESSFdc2,0.9798
BAFAunp,ESSFdc3,0.9714
BAFAunp,ESSFdcp,0.9893
BAFAunp,ESSFdcw,0.9893
BAFAunp,ESSFdk1,0.9782
BAFAunp,ESSFdk2,0.9743
BAFAunp,ESSFdkp,0.9707
BAFAunp,ESSFdkw,0.9753
BAFAunp,ESSFdv1,0.9831
BAFAunp,ESSFdv2,0.9913
BAFAunp,ESSFdvp,0.9824
BAFAunp,ESSFdvw,0.9883
BAFAunp,ESSFmc,0.9715
BAFAunp,ESSFmcp,0.9635
BAFAunp,ESSFmh,0.9724
BAFAunp,ESSFmk,0.9950
BAFAunp,ESSFmkp,0.9932
BAFAunp,ESSFmm1,0.9824
BAFAunp,ESSFmm2,0.9733
BAFAunp,ESSFmmp,0.9770
BAFAunp,ESSFmmw,0.9856
BAFAunp,ESSFmv1,0.9613
BAFAunp,ESSFmv2,0.9732
BAFAunp,ESSFmv3,0.9580
BAFAunp,ESSFmv4,0.9351
BAFAunp,ESSFmvp,0.9578
BAFAunp,ESSFmw,0.9952
BAFAunp,ESSFmw1,0.9886
BAFAunp,ESSFmw2,0.9867
BAFAunp,ESSFmwp,0.9913
