BECvarfut_plantation,BECvar_seed,HTp_pred
BAFAun,BAFAun,0.9948
BAFAun,BAFAunp,0.9764
BAFAun,BGxh1,0.5402
BAFAun,BGxh2,0.6113
BAFAun,BGxh3,0.6727
BAFAun,BGxw1,0.7107
BAFAun,BGxw2,0.7619
BAFAun,BWBSdk,0.9193
BAFAun,BWBSmk,0.8682
BAFAun,BWBSmw,0.8901
BAFAun,BWBSvk,0.9720
BAFAun,BWBSwk1,0.9445
BAFAun,BWBSwk2,0.9275
BAFAun,BWBSwk3,0.9338
BAFAun,CDFmm,0.0000
BAFAun,CMAun,0.9887
BAFAun,CMAunp,0.9612
BAFAun,CMAwh,0.0000
BAFAun,CWHdm,0.0000
BAFAun,CWHds1,0.8410
BAFAun,CWHds2,0.8888
BAFAun,CWHmm1,0.0000
BAFAun,CWHmm2,0.0000
BAFAun,CWHms1,0.9065
BAFAun,CWHms2,0.8832
BAFAun,CWHun,0.8977
BAFAun,CWHvh1,0.0000
BAFAun,CWHvh2,0.0000
BAFAun,CWHvh3,0.0000
BAFAun,CWHvm1,0.0000
BAFAun,CWHvm2,0.0000
BAFAun,CWHwh1,0.0000
BAFAun,CWHwh2,0.0000
BAFAun,CWHwm,0.0000
BAFAun,CWHws1,0.9126
BAFAun,CWHws2,0.9544
BAFAun,CWHxm1,0.0000
BAFAun,CWHxm2,0.0000
BAFAun,ESSFdc1,0.9382
BAFAun,ESSFdc2,0.9234
BAFAun,ESSFdc3,0.9332
BAFAun,ESSFdcp,0.9610
BAFAun,ESSFdcw,0.9532
BAFAun,ESSFdk1,0.9412
BAFAun,ESSFdk2,0.9571
BAFAun,ESSFdkp,0.9702
BAFAun,ESSFdkw,0.9653
BAFAun,ESSFdv1,0.9300
BAFAun,ESSFdv2,0.9466
BAFAun,ESSFdvp,0.9515
BAFAun,ESSFdvw,0.9488
BAFAun,ESSFmc,0.9763
BAFAun,ESSFmcp,0.9954
BAFAun,ESSFmh,0.9172
BAFAun,ESSFmk,0.9735
BAFAun,ESSFmkp,0.9861
BAFAun,ESSFmm1,0.9799
BAFAun,ESSFmm2,0.9778
BAFAun,ESSFmmp,0.9869
BAFAun,ESSFmmw,0.9754
BAFAun,ESSFmv1,0.9431
BAFAun,ESSFmv2,0.9792
BAFAun,ESSFmv3,0.9727
BAFAun,ESSFmv4,0.9648
BAFAun,ESSFmvp,0.9874
BAFAun,ESSFmw,0.9437
BAFAun,ESSFmw1,0.9261
BAFAun,ESSFmw2,0.9285
BAFAun,ESSFmwp,0.9555
BAFAun,ESSFmww,0.9416
BAFAun,ESSFun,0.9939
BAFAun,ESSFunp,0.9990
BAFAun,ESSFvc,0.9609
BAFAun,ESSFvcp,0.9779
BAFAun,ESSFvcw,0.9736
BAFAun,ESSFwc2,0.9674
BAFAun,ESSFwc3,0.9894
BAFAun,ESSFwc4,0.9547
BAFAun,ESSFwcp,0.9868
BAFAun,ESSFwcw,0.9744
BAFAun,ESSFwh1,0.9421
BAFAun,ESSFwh2,0.9334
BAFAun,ESSFwh3,0.9331
BAFAun,ESSFwk1,0.9662
BAFAun,ESSFwk2,0.9832
BAFAun,ESSFwm,0.9664
BAFAun,ESSFwm1,0.9427
BAFAun,ESSFwm2,0.9499
BAFAun,ESSFwm3,0.9494
BAFAun,ESSFwm4,0.9324
BAFAun,ESSFwmp,0.9713
BAFAun,ESSFwmw,0.9646
BAFAun,ESSFwv,0.9839
BAFAun,ESSFwvp,0.9945
BAFAun,ESSFxc1,0.9113
BAFAun,ESSFxc2,0.9366
BAFAun,ESSFxc3,0.9358
BAFAun,ESSFxcp,0.9438
BAFAun,ESSFxcw,0.9417
BAFAun,ESSFxv1,0.9610
BAFAun,ESSFxv2,0.9537
BAFAun,ESSFxvp,0.9658
BAFAun,ESSFxvw,0.9499
BAFAun,ICHdk,0.8937
BAFAun,ICHdm,0.8902
BAFAun,ICHdw1,0.8322
BAFAun,ICHdw3,0.8787
BAFAun,ICHdw4,0.8239
BAFAun,ICHmc1,0.9480
BAFAun,ICHmc2,0.9107
BAFAun,ICHmk1,0.8778
BAFAun,ICHmk2,0.8906
BAFAun,ICHmk3,0.9092
BAFAun,ICHmk4,0.9125
BAFAun,ICHmm,0.9438
BAFAun,ICHmw1,0.9201
BAFAun,ICHmw2,0.8827
BAFAun,ICHmw3,0.8940
BAFAun,ICHmw4,0.9037
BAFAun,ICHmw5,0.8856
BAFAun,ICHvc,0.9597
BAFAun,ICHvk1,0.9377
BAFAun,ICHvk2,0.9557
BAFAun,ICHwc,0.9670
BAFAun,ICHwk1,0.9260
BAFAun,ICHwk2,0.9181
BAFAun,ICHwk3,0.9422
BAFAun,ICHwk4,0.9425
BAFAun,ICHxw,0.7757
BAFAun,IDFdc,0.8590
BAFAun,IDFdk1,0.8359
BAFAun,IDFdk2,0.8460
BAFAun,IDFdk3,0.8555
BAFAun,IDFdk4,0.8560
BAFAun,IDFdk5,0.8435
BAFAun,IDFdm1,0.8085
BAFAun,IDFdm2,0.8093
BAFAun,IDFdw,0.8759
BAFAun,IDFmw1,0.8101
BAFAun,IDFmw2,0.8199
BAFAun,IDFww,0.8424
BAFAun,IDFww1,0.7786
BAFAun,IDFxc,0.7670
BAFAun,IDFxh1,0.7552
BAFAun,IDFxh2,0.7776
BAFAun,IDFxh4,0.7387
BAFAun,IDFxk,0.7747
BAFAun,IDFxm,0.8196
BAFAun,IDFxw,0.7874
BAFAun,IMAun,0.9798
BAFAun,IMAunp,0.9531
BAFAun,MHmm1,0.0000
BAFAun,MHmm2,0.9739
BAFAun,MHmmp,0.9838
BAFAun,MHun,0.9790
BAFAun,MHunp,0.9929
BAFAun,MHwh,0.0000
