BECvarfut_plantation,BECvar_seed,HTp_pred
BAFAun,BAFAun,0.0000
BAFAun,BAFAunp,0.0000
BAFAun,BGxh1,0.0000
BAFAun,BGxh2,0.0000
BAFAun,BGxh3,0.0000
BAFAun,BGxw1,0.0000
BAFAun,BGxw2,0.0000
BAFAun,BWBSdk,0.0000
BAFAun,BWBSmk,0.0000
BAFAun,BWBSmw,0.0000
BAFAun,BWBSvk,0.0000
BAFAun,BWBSwk1,0.0000
BAFAun,BWBSwk2,0.0000
BAFAun,BWBSwk3,0.0000
BAFAun,CDFmm,0.0000
BAFAun,CMAun,0.8882
BAFAun,CMAunp,0.6617
BAFAun,CMAwh,0.0000
BAFAun,CWHdm,0.0000
BAFAun,CWHds1,0.1630
BAFAun,CWHds2,0.2911
BAFAun,CWHmm1,0.0000
BAFAun,CWHmm2,0.0000
BAFAun,CWHms1,0.3581
BAFAun,CWHms2,0.2721
BAFAun,CWHun,0.3240
BAFAun,CWHvh1,0.0000
BAFAun,CWHvh2,0.0000
BAFAun,CWHvh3,0.0000
BAFAun,CWHvm1,0.0000
BAFAun,CWHvm2,0.0000
BAFAun,CWHwh1,0.0000
BAFAun,CWHwh2,0.0000
BAFAun,CWHwm,0.0000
BAFAun,CWHws1,0.3834
BAFAun,CWHws2,0.6133
BAFAun,CWHxm1,0.0000
BAFAun,CWHxm2,0.0000
BAFAun,ESSFdc1,0.0000
BAFAun,ESSFdc2,0.0000
BAFAun,ESSFdc3,0.0000
BAFAun,ESSFdcp,0.0000
BAFAun,ESSFdcw,0.0000
BAFAun,ESSFdk1,0.0000
BAFAun,ESSFdk2,0.0000
BAFAun,ESSFdkp,0.0000
BAFAun,ESSFdkw,0.0000
BAFAun,ESSFdv1,0.0000
BAFAun,ESSFdv2,0.0000
BAFAun,ESSFdvp,0.0000
BAFAun,ESSFdvw,0.0000
BAFAun,ESSFmc,0.0000
BAFAun,ESSFmcp,0.0000
BAFAun,ESSFmh,0.0000
BAFAun,ESSFmk,0.0000
BAFAun,ESSFmkp,0.0000
BAFAun,ESSFmm1,0.0000
BAFAun,ESSFmm2,0.0000
BAFAun,ESSFmmp,0.0000
BAFAun,ESSFmmw,0.0000
BAFAun,ESSFmv1,0.0000
BAFAun,ESSFmv2,0.0000
BAFAun,ESSFmv3,0.0000
BAFAun,ESSFmv4,0.0000
BAFAun,ESSFmvp,0.0000
BAFAun,ESSFmw,0.0000
BAFAun,ESSFmw1,0.0000
BAFAun,ESSFmw2,0.0000
BAFAun,ESSFmwp,0.0000
BAFAun,ESSFmww,0.0000
BAFAun,ESSFun,0.0000
BAFAun,ESSFunp,0.0000
BAFAun,ESSFvc,0.0000
BAFAun,ESSFvcp,0.0000
BAFAun,ESSFvcw,0.0000
BAFAun,ESSFwc2,0.0000
BAFAun,ESSFwc3,0.0000
BAFAun,ESSFwc4,0.0000
BAFAun,ESSFwcp,0.0000
BAFAun,ESSFwcw,0.0000
BAFAun,ESSFwh1,0.0000
BAFAun,ESSFwh2,0.0000
BAFAun,ESSFwh3,0.0000
BAFAun,ESSFwk1,0.0000
BAFAun,ESSFwk2,0.0000
BAFAun,ESSFwm,0.0000
BAFAun,ESSFwm1,0.0000
BAFAun,ESSFwm2,0.0000
BAFAun,ESSFwm3,0.0000
BAFAun,ESSFwm4,0.0000
BAFAun,ESSFwmp,0.0000
BAFAun,ESSFwmw,0.0000
BAFAun,ESSFwv,0.0000
BAFAun,ESSFwvp,0.0000
BAFAun,ESSFxc1,0.0000
BAFAun,ESSFxc2,0.0000
BAFAun,ESSFxc3,0.0000
BAFAun,ESSFxcp,0.0000
BAFAun,ESSFxcw,0.0000
BAFAun,ESSFxv1,0.0000
BAFAun,ESSFxv2,0.0000
BAFAun,ESSFxvp,0.0000
BAFAun,ESSFxvw,0.0000
BAFAun,ICHdk,0.0000
BAFAun,ICHdm,0.0000
BAFAun,ICHdw1,0.0000
BAFAun,ICHdw3,0.0000
BAFAun,ICHdw4,0.0000
BAFAun,ICHmc1,0.0000
BAFAun,ICHmc2,0.0000
BAFAun,ICHmk1,0.0000
BAFAun,ICHmk2,0.0000
BAFAun,ICHmk3,0.0000
BAFAun,ICHmk4,0.0000
BAFAun,ICHmm,0.0000
BAFAun,ICHmw1,0.0000
BAFAun,ICHmw2,0.0000
BAFAun,ICHmw3,0.0000
BAFAun,ICHmw4,0.0000
BAFAun,ICHmw5,0.0000
BAFAun,ICHvc,0.0000
BAFAun,ICHvk1,0.0000
BAFAun,ICHvk2,0.0000
BAFAun,ICHwc,0.0000
BAFAun,ICHwk1,0.0000
BAFAun,ICHwk2,0.0000
BAFAun,ICHwk3,0.0000
BAFAun,ICHwk4,0.0000
BAFAun,ICHxw,0.0000
BAFAun,IDFdc,0.0000
BAFAun,IDFdk1,0.0000
BAFAun,IDFdk2,0.0000
BAFAun,IDFdk3,0.0000
BAFAun,IDFdk4,0.0000
BAFAun,IDFdk5,0.0000
BAFAun,IDFdm1,0.0000
BAFAun,IDFdm2,0.0000
BAFAun,IDFdw,0.0000
BAFAun,IDFmw1,0.0000
BAFAun,IDFmw2,0.0000
BAFAun,IDFww,0.1664
BAFAun,IDFww1,0.0000
BAFAun,IDFxc,0.0000
BAFAun,IDFxh1,0.0000
BAFAun,IDFxh2,0.0000
BAFAun,IDFxh4,0.0000
BAFAun,IDFxk,0.0000
BAFAun,IDFxm,0.0000
BAFAun,IDFxw,0.0000
BAFAun,IMAun,0.0000
BAFAun,IMAunp,0.0000
BAFAun,MHmm1,0.0000
BAFAun,MHmm2,0.7584
BAFAun,MHmmp,0.8425
BAFAun,MHun,0.8012
BAFAun,MHunp,0.9281
BAFAun,MHwh,0.0000
BAFAun,MHwh1,0.0000
BAFAun,MHwhp,0.0000
BAFAun,MSdc1,0.3482
BAFAun,MSdc2,0.4959
BAFAun,MSdc3,0.4457
BAFAun,MSdk1,0.0000
BAFAun,MSdk2,0.0000
BAFAun,MSdm1,0.0000
BAFAun,MSdm2,0.0000
BAFAun,MSdm3,0.0000
BAFAun,MSdv,0.4694
BAFAun,MSmw1,0.3136
BAFAun,MSmw2,0.2941
BAFAun,MSun,0.6286
BAFAun,MSxk1,0.0000
BAFAun,MSxk2,0.0000
BAFAun,MSxk3,0.0000
BAFAun,MSxv,0.0000
BAFAun,PPdh2,0.0000
BAFAun,PPxh1,0.0000
BAFAun,PPxh2,0.0000
BAFAun,PPxh3,0.0000
BAFAun,SBPSdc,0.0000
BAFAun,SBPSmc,0.0000
BAFAun,SBPSmk,0.0000
BAFAun,SBPSxc,0.0000
BAFAun,SBSdh1,0.0000
BAFAun,SBSdh2,0.0000
BAFAun,SBSdk,0.0000
BAFAun,SBSdw1,0.0000
BAFAun,SBSdw2,0.0000
BAFAun,SBSdw3,0.0000
BAFAun,SBSmc1,0.0000
BAFAun,SBSmc2,0.0000
BAFAun,SBSmc3,0.0000
BAFAun,SBSmh,0.0000
BAFAun,SBSmk1,0.0000
BAFAun,SBSmk2,0.0000
BAFAun,SBSmm,0.0000
BAFAun,SBSmw,0.0000
BAFAun,SBSun,0.0000
BAFAun,SBSvk,0.0000
BAFAun,SBSwk1,0.0000
BAFAun,SBSwk2,0.0000
BAFAun,SBSwk3,0.0000
BAFAun,SWBmk,0.0000
BAFAun,SWBmks,0.0000
BAFAun,SWBun,0.0000
BAFAun,SWBuns,0.0000
BAFAun,SWBvk,0.0000
BAFAun,SWBvks,0.0000
BAFAunp,BAFAun,0.0000
BAFAunp,BAFAunp,0.0000
BAFAunp,BGxh1,0.0000
BAFAunp,BGxh2,0.0000
BAFAunp,BGxh3,0.0000
BAFAunp,BGxw1,0.0000
BAFAunp,BGxw2,0.0000
BAFAunp,BWBSdk,0.0000
BAFAunp,BWBSmk,0.0000
BAFAunp,BWBSmw,0.0000
BAFAunp,BWBSvk,0.0000
BAFAunp,BWBSwk1,0.0000
