BECvarfut_plantation,BECvar_seed,HTp_pred
BAFAun,BAFAun,0.9469
BAFAun,BAFAunp,0.7794
BAFAun,BGxh1,0.0016
BAFAun,BGxh2,0.0058
BAFAun,BGxh3,0.0158
BAFAun,BGxw1,0.0281
BAFAun,BGxw2,0.0581
BAFAun,BWBSdk,0.4149
BAFAun,BWBSmk,0.2274
BAFAun,BWBSmw,0.2956
BAFAun,BWBSvk,0.7428
BAFAun,BWBSwk1,0.5503
BAFAun,BWBSwk2,0.4543
BAFAun,BWBSwk3,0.4880
BAFAun,CDFmm,0.0000
BAFAun,CMAun,0.8882
BAFAun,CMAunp,0.6617
BAFAun,CMAwh,0.0000
BAFAun,CWHdm,0.0000
BAFAun,CWHds1,0.1630
BAFAun,CWHds2,0.2911
BAFAun,CWHmm1,0.0000
BAFAun,CWHmm2,0.0000
BAFAun,CWHms1,0.3581
BAFAun,CWHms2,0.2721
BAFAun,CWHun,0.3240
BAFAun,CWHvh1,0.0000
BAFAun,CWHvh2,0.0000
BAFAun,CWHvh3,0.0000
BAFAun,CWHvm1,0.0000
BAFAun,CWHvm2,0.0000
BAFAun,CWHwh1,0.0000
BAFAun,CWHwh2,0.0000
BAFAun,CWHwm,0.0000
BAFAun,CWHws1,0.3834
BAFAun,CWHws2,0.6133
BAFAun,CWHxm1,0.0000
BAFAun,CWHxm2,0.0000
BAFAun,ESSFdc1,0.5138
BAFAun,ESSFdc2,0.4351
BAFAun,ESSFdc3,0.4857
BAFAun,ESSFdcp,0.6606
BAFAun,ESSFdcw,0.6065
BAFAun,ESSFdk1,0.5311
BAFAun,ESSFdk2,0.6327
BAFAun,ESSFdkp,0.7298
BAFAun,ESSFdkw,0.6921
BAFAun,ESSFdv1,0.4690
BAFAun,ESSFdv2,0.5642
BAFAun,ESSFdvp,0.5957
BAFAun,ESSFdvw,0.5781
BAFAun,ESSFmc,0.7781
BAFAun,ESSFmcp,0.9527
BAFAun,ESSFmh,0.4056
BAFAun,ESSFmk,0.7556
BAFAun,ESSFmkp,0.8645
BAFAun,ESSFmm1,0.8086
BAFAun,ESSFmm2,0.7908
BAFAun,ESSFmmp,0.8713
BAFAun,ESSFmmw,0.7713
BAFAun,ESSFmv1,0.5422
BAFAun,ESSFmv2,0.8027
BAFAun,ESSFmv3,0.7487
BAFAun,ESSFmv4,0.6870
BAFAun,ESSFmvp,0.8759
BAFAun,ESSFmw,0.5461
BAFAun,ESSFmw1,0.4488
BAFAun,ESSFmw2,0.4610
BAFAun,ESSFmwp,0.6222
BAFAun,ESSFmww,0.5338
BAFAun,ESSFun,0.9378
BAFAun,ESSFunp,0.9891
BAFAun,ESSFvc,0.6595
BAFAun,ESSFvcp,0.7918
BAFAun,ESSFvcw,0.7565
BAFAun,ESSFwc2,0.7074
BAFAun,ESSFwc3,0.8946
BAFAun,ESSFwc4,0.6162
BAFAun,ESSFwcp,0.8708
BAFAun,ESSFwcw,0.7627
BAFAun,ESSFwh1,0.5361
BAFAun,ESSFwh2,0.4868
BAFAun,ESSFwh3,0.4851
BAFAun,ESSFwk1,0.6979
BAFAun,ESSFwk2,0.8378
BAFAun,ESSFwm,0.7002
BAFAun,ESSFwm1,0.5404
BAFAun,ESSFwm2,0.5852
BAFAun,ESSFwm3,0.5818
BAFAun,ESSFwm4,0.4814
BAFAun,ESSFwmp,0.7380
BAFAun,ESSFwmw,0.6871
BAFAun,ESSFwv,0.8440
BAFAun,ESSFwvp,0.9438
BAFAun,ESSFxc1,0.3796
BAFAun,ESSFxc2,0.5050
BAFAun,ESSFxc3,0.5002
BAFAun,ESSFxcp,0.5470
BAFAun,ESSFxcw,0.5343
BAFAun,ESSFxv1,0.6603
BAFAun,ESSFxv2,0.6101
BAFAun,ESSFxvp,0.6956
BAFAun,ESSFxvw,0.5855
BAFAun,ICHdk,0.3084
BAFAun,ICHdm,0.2967
BAFAun,ICHdw1,0.1462
BAFAun,ICHdw3,0.2582
BAFAun,ICHdw4,0.1317
BAFAun,ICHmc1,0.5715
BAFAun,ICHmc2,0.3756
BAFAun,ICHmk1,0.2558
BAFAun,ICHmk2,0.2977
BAFAun,ICHmk3,0.3695
BAFAun,ICHmk4,0.3839
BAFAun,ICHmm,0.5464
BAFAun,ICHmw1,0.4187
BAFAun,ICHmw2,0.2710
BAFAun,ICHmw3,0.3096
BAFAun,ICHmw4,0.3470
BAFAun,ICHmw5,0.2807
BAFAun,ICHvc,0.6500
BAFAun,ICHvk1,0.5103
BAFAun,ICHvk2,0.6225
BAFAun,ICHwc,0.7037
BAFAun,ICHwk1,0.4474
BAFAun,ICHwk2,0.4086
BAFAun,ICHwk3,0.5359
BAFAun,ICHwk4,0.5380
BAFAun,ICHxw,0.0700
BAFAun,IDFdc,0.2044
BAFAun,IDFdk1,0.1537
BAFAun,IDFdk2,0.1742
BAFAun,IDFdk3,0.1956
BAFAun,IDFdk4,0.1969
BAFAun,IDFdk5,0.1686
BAFAun,IDFdm1,0.1084
BAFAun,IDFdm2,0.1094
BAFAun,IDFdw,0.2506
BAFAun,IDFmw1,0.1104
BAFAun,IDFmw2,0.1252
BAFAun,IDFww,0.1664
BAFAun,IDFww1,0.0731
BAFAun,IDFxc,0.0625
BAFAun,IDFxh1,0.0530
BAFAun,IDFxh2,0.0721
BAFAun,IDFxh4,0.0421
BAFAun,IDFxk,0.0693
BAFAun,IDFxm,0.1249
BAFAun,IDFxw,0.0821
BAFAun,IMAun,0.8085
BAFAun,IMAunp,0.6061
BAFAun,MHmm1,0.0000
BAFAun,MHmm2,0.7584
BAFAun,MHmmp,0.8425
BAFAun,MHun,0.8012
BAFAun,MHunp,0.9281
BAFAun,MHwh,0.0000
BAFAun,MHwh1,0.0000
BAFAun,MHwhp,0.0000
BAFAun,MSdc1,0.3482
BAFAun,MSdc2,0.4959
BAFAun,MSdc3,0.4457
BAFAun,MSdk1,0.3167
BAFAun,MSdk2,0.3731
BAFAun,MSdm1,0.2937
BAFAun,MSdm2,0.2866
BAFAun,MSdm3,0.2973
BAFAun,MSdv,0.4694
BAFAun,MSmw1,0.3136
BAFAun,MSmw2,0.2941
BAFAun,MSun,0.6286
BAFAun,MSxk1,0.2803
BAFAun,MSxk2,0.2410
BAFAun,MSxk3,0.3430
BAFAun,MSxv,0.4717
BAFAun,PPdh2,0.0539
BAFAun,PPxh1,0.0094
BAFAun,PPxh2,0.0181
BAFAun,PPxh3,0.0366
BAFAun,SBPSdc,0.3006
BAFAun,SBPSmc,0.3384
BAFAun,SBPSmk,0.3276
BAFAun,SBPSxc,0.2816
BAFAun,SBSdh1,0.3293
BAFAun,SBSdh2,0.5958
BAFAun,SBSdk,0.2936
BAFAun,SBSdw1,0.2839
BAFAun,SBSdw2,0.2911
BAFAun,SBSdw3,0.3395
BAFAun,SBSmc1,0.4614
BAFAun,SBSmc2,0.4579
BAFAun,SBSmc3,0.3934
BAFAun,SBSmh,0.2069
BAFAun,SBSmk1,0.4988
BAFAun,SBSmk2,0.3754
BAFAun,SBSmm,0.4215
BAFAun,SBSmw,0.3523
BAFAun,SBSun,0.7136
BAFAun,SBSvk,0.6371
BAFAun,SBSwk1,0.5533
BAFAun,SBSwk2,0.6121
