BECvarfut_plantation,BECvar_seed,HTp_pred
BAFAun,BAFAun,0.9932
BAFAun,BAFAunp,0.9692
BAFAun,BGxh1,0.4455
BAFAun,BGxh2,0.5242
BAFAun,BGxh3,0.5943
BAFAun,BGxw1,0.6390
BAFAun,BGxw2,0.6998
BAFAun,BWBSdk,0.8956
BAFAun,BWBSmk,0.8305
BAFAun,BWBSmw,0.8582
BAFAun,BWBSvk,0.9633
BAFAun,BWBSwk1,0.9278
BAFAun,BWBSwk2,0.9058
BAFAun,BWBSwk3,0.9139
BAFAun,CDFmm,0.5638
BAFAun,CMAun,0.9852
BAFAun,CMAunp,0.9495
BAFAun,CMAwh,0.8942
BAFAun,CWHdm,0.7177
BAFAun,CWHds1,0.7962
BAFAun,CWHds2,0.8564
BAFAun,CWHmm1,0.7972
BAFAun,CWHmm2,0.8369
BAFAun,CWHms1,0.8790
BAFAun,CWHms2,0.8491
BAFAun,CWHun,0.8682
BAFAun,CWHvh1,0.7170
BAFAun,CWHvh2,0.8292
BAFAun,CWHvh3,0.8220
BAFAun,CWHvm1,0.8031
BAFAun,CWHvm2,0.8728
BAFAun,CWHwh1,0.8020
BAFAun,CWHwh2,0.8666
BAFAun,CWHwm,0.9491
BAFAun,CWHws1,0.8865
BAFAun,CWHws2,0.9404
BAFAun,CWHxm1,0.6694
BAFAun,CWHxm2,0.7598
BAFAun,ESSFdc1,0.9198
BAFAun,ESSFdc2,0.9008
BAFAun,ESSFdc3,0.9134
BAFAun,ESSFdcp,0.9493
BAFAun,ESSFdcw,0.9392
BAFAun,ESSFdk1,0.9236
BAFAun,ESSFdk2,0.9442
BAFAun,ESSFdkp,0.9612
BAFAun,ESSFdkw,0.9548
BAFAun,ESSFdv1,0.9094
BAFAun,ESSFdv2,0.9307
BAFAun,ESSFdvp,0.9371
BAFAun,ESSFdvw,0.9336
BAFAun,ESSFmc,0.9690
BAFAun,ESSFmcp,0.9939
BAFAun,ESSFmh,0.8929
BAFAun,ESSFmk,0.9654
BAFAun,ESSFmkp,0.9819
