BECvarfut_plantation,BECvar_seed,HTp_pred
BAFAun,BAFAun,0.9794
BAFAun,BAFAunp,0.9094
BAFAun,BGxh1,0.0859
BAFAun,BGxh2,0.1408
BAFAun,BGxh3,0.2061
BAFAun,BGxw1,0.2568
BAFAun,BGxw2,0.3385
BAFAun,BWBSdk,0.7155
BAFAun,BWBSmk,0.5690
BAFAun,BWBSmw,0.6288
BAFAun,BWBSvk,0.8928
BAFAun,BWBSwk1,0.7965
BAFAun,BWBSwk2,0.7405
BAFAun,BWBSwk3,0.7610
BAFAun,CDFmm,0.1757
BAFAun,CMAun,0.9559
BAFAun,CMAunp,0.8545
BAFAun,CMAwh,0.7121
BAFAun,CWHdm,0.3654
BAFAun,CWHds1,0.5008
BAFAun,CWHds2,0.6247
BAFAun,CWHmm1,0.5027
BAFAun,CWHmm2,0.5825
BAFAun,CWHms1,0.6760
BAFAun,CWHms2,0.6088
BAFAun,CWHun,0.6512
BAFAun,CWHvh1,0.3643
BAFAun,CWHvh2,0.5664
BAFAun,CWHvh3,0.5515
BAFAun,CWHvm1,0.5141
BAFAun,CWHvm2,0.6618
BAFAun,CWHwh1,0.5119
BAFAun,CWHwh2,0.6475
BAFAun,CWHwm,0.8533
BAFAun,CWHws1,0.6938
BAFAun,CWHws2,0.8299
BAFAun,CWHxm1,0.2957
BAFAun,CWHxm2,0.4344
BAFAun,ESSFdc1,0.7759
BAFAun,ESSFdc2,0.7284
BAFAun,ESSFdc3,0.7595
BAFAun,ESSFdcp,0.8539
BAFAun,ESSFdcw,0.8265
BAFAun,ESSFdk1,0.7857
BAFAun,ESSFdk2,0.8400
BAFAun,ESSFdkp,0.8869
BAFAun,ESSFdkw,0.8692
BAFAun,ESSFdv1,0.7496
BAFAun,ESSFdv2,0.8042
BAFAun,ESSFdvp,0.8210
BAFAun,ESSFdvw,0.8117
BAFAun,ESSFmc,0.9089
BAFAun,ESSFmcp,0.9817
BAFAun,ESSFmh,0.7090
BAFAun,ESSFmk,0.8988
BAFAun,ESSFmkp,0.9461
BAFAun,ESSFmm1,0.9222
BAFAun,ESSFmm2,0.9145
BAFAun,ESSFmmp,0.9488
BAFAun,ESSFmmw,0.9058
BAFAun,ESSFmv1,0.7922
BAFAun,ESSFmv2,0.9197
BAFAun,ESSFmv3,0.8957
BAFAun,ESSFmv4,0.8668
BAFAun,ESSFmvp,0.9508
BAFAun,ESSFmw,0.7942
BAFAun,ESSFmw1,0.7369
BAFAun,ESSFmw2,0.7446
BAFAun,ESSFmwp,0.8347
BAFAun,ESSFmww,0.7874
BAFAun,ESSFun,0.9758
BAFAun,ESSFunp,0.9958
BAFAun,ESSFvc,0.8533
BAFAun,ESSFvcp,0.9149
BAFAun,ESSFvcw,0.8991
BAFAun,ESSFwc2,0.8764
BAFAun,ESSFwc3,0.9585
BAFAun,ESSFwc4,0.8315
BAFAun,ESSFwcp,0.9486
BAFAun,ESSFwcw,0.9019
BAFAun,ESSFwh1,0.7885
BAFAun,ESSFwh2,0.7601
BAFAun,ESSFwh3,0.7590
BAFAun,ESSFwk1,0.8719
BAFAun,ESSFwk2,0.9348
BAFAun,ESSFwm,0.8731
BAFAun,ESSFwm1,0.7909
BAFAun,ESSFwm2,0.8153
BAFAun,ESSFwm3,0.8135
BAFAun,ESSFwm4,0.7569
BAFAun,ESSFwmp,0.8907
BAFAun,ESSFwmw,0.8668
BAFAun,ESSFwv,0.9374
BAFAun,ESSFwvp,0.9782
BAFAun,ESSFxc1,0.6916
BAFAun,ESSFxc2,0.7709
BAFAun,ESSFxc3,0.7682
BAFAun,ESSFxcp,0.7948
BAFAun,ESSFxcw,0.7877
BAFAun,ESSFxv1,0.8538
BAFAun,ESSFxv2,0.8285
BAFAun,ESSFxvp,0.8709
BAFAun,ESSFxvw,0.8157
BAFAun,ICHdk,0.6388
BAFAun,ICHdm,0.6294
BAFAun,ICHdw1,0.4806
BAFAun,ICHdw3,0.5969
BAFAun,ICHdw4,0.4618
BAFAun,ICHmc1,0.8080
BAFAun,ICHmc2,0.6886
BAFAun,ICHmk1,0.5949
BAFAun,ICHmk2,0.6303
BAFAun,ICHmk3,0.6843
BAFAun,ICHmk4,0.6944
BAFAun,ICHmm,0.7943
BAFAun,ICHmw1,0.7177
BAFAun,ICHmw2,0.6079
BAFAun,ICHmw3,0.6396
BAFAun,ICHmw4,0.6680
BAFAun,ICHmw5,0.6162
BAFAun,ICHvc,0.8486
BAFAun,ICHvk1,0.7738
BAFAun,ICHvk2,0.8347
BAFAun,ICHwc,0.8746
BAFAun,ICHwk1,0.7360
BAFAun,ICHwk2,0.7110
BAFAun,ICHwk3,0.7884
BAFAun,ICHwk4,0.7896
BAFAun,ICHxw,0.3630
BAFAun,IDFdc,0.5463
BAFAun,IDFdk1,0.4902
BAFAun,IDFdk2,0.5140
BAFAun,IDFdk3,0.5373
BAFAun,IDFdk4,0.5387
BAFAun,IDFdk5,0.5077
BAFAun,IDFdm1,0.4289
BAFAun,IDFdm2,0.4305
BAFAun,IDFdw,0.5905
BAFAun,IDFmw1,0.4319
BAFAun,IDFmw2,0.4531
BAFAun,IDFww,0.5049
BAFAun,IDFww1,0.3692
BAFAun,IDFxc,0.3478
BAFAun,IDFxh1,0.3267
BAFAun,IDFxh2,0.3675
BAFAun,IDFxh4,0.2991
BAFAun,IDFxk,0.3619
BAFAun,IDFxm,0.4529
BAFAun,IDFxw,0.3860
BAFAun,IMAun,0.9222
BAFAun,IMAunp,0.8264
BAFAun,MHmm1,0.7487
BAFAun,MHmm2,0.9000
BAFAun,MHmmp,0.9368
BAFAun,MHun,0.9191
BAFAun,MHunp,0.9720
BAFAun,MHwh,0.6836
BAFAun,MHwh1,0.7314
BAFAun,MHwhp,0.7629
BAFAun,MSdc1,0.6692
BAFAun,MSdc2,0.7656
BAFAun,MSdc3,0.7351
BAFAun,MSdk1,0.6453
BAFAun,MSdk2,0.6869
BAFAun,MSdm1,0.6271
BAFAun,MSdm2,0.6213
BAFAun,MSdm3,0.6300
BAFAun,MSdv,0.7498
BAFAun,MSmw1,0.6429
BAFAun,MSmw2,0.6274
BAFAun,MSun,0.8379
BAFAun,MSxk1,0.6161
BAFAun,MSxk2,0.5817
BAFAun,MSxk3,0.6654
BAFAun,MSxv,0.7513
BAFAun,PPdh2,0.3287
BAFAun,PPxh1,0.1688
BAFAun,PPxh2,0.2169
BAFAun,PPxh3,0.2837
BAFAun,SBPSdc,0.6328
BAFAun,SBPSmc,0.6620
BAFAun,SBPSmk,0.6538
BAFAun,SBPSxc,0.6174
BAFAun,SBSdh1,0.6550
BAFAun,SBSdh2,0.8210
BAFAun,SBSdk,0.6272
BAFAun,SBSdw1,0.6190
BAFAun,SBSdw2,0.6250
BAFAun,SBSdw3,0.6627
BAFAun,SBSmc1,0.7448
BAFAun,SBSmc2,0.7428
BAFAun,SBSmc3,0.7011
BAFAun,SBSmh,0.5486
BAFAun,SBSmk1,0.7673
BAFAun,SBSmk2,0.6887
BAFAun,SBSmm,0.7196
BAFAun,SBSmw,0.6721
BAFAun,SBSun,0.8794
BAFAun,SBSvk,0.8421
BAFAun,SBSwk1,0.7981
BAFAun,SBSwk2,0.8295
BAFAun,SBSwk3,0.7552
BAFAun,SWBmk,0.8721
BAFAun,SWBmks,0.9435
BAFAun,SWBun,0.8229
BAFAun,SWBuns,0.8824
BAFAun,SWBvk,0.9516
BAFAun,SWBvks,0.9453
BAFAunp,BAFAun,0.8380
BAFAunp,BAFAunp,0.9799
BAFAunp,BGxh1,0.2220
BAFAunp,BGxh2,0.3045
BAFAunp,BGxh3,0.3874
BAFAunp,BGxw1,0.4723
BAFAunp,BGxw2,0.5398
BAFAunp,BWBSdk,0.7132
BAFAunp,BWBSmk,0.5491
BAFAunp,BWBSmw,0.6798
BAFAunp,BWBSvk,0.8610
BAFAunp,BWBSwk1,0.8531
BAFAunp,BWBSwk2,0.7393
BAFAunp,BWBSwk3,0.6833
BAFAunp,CDFmm,0.3941
BAFAunp,CMAun,0.8454
BAFAunp,CMAunp,0.9306
BAFAunp,CMAwh,0.8210
BAFAunp,CWHdm,0.6230
BAFAunp,CWHds1,0.7736
BAFAunp,CWHds2,0.8619
BAFAunp,CWHmm1,0.7763
BAFAunp,CWHmm2,0.8536
BAFAunp,CWHms1,0.9153
BAFAunp,CWHms2,0.8275
BAFAunp,CWHun,0.8844
BAFAunp,CWHvh1,0.5968
BAFAunp,CWHvh2,0.7480
BAFAunp,CWHvh3,0.7502
BAFAunp,CWHvm1,0.7436
BAFAunp,CWHvm2,0.8460
BAFAunp,CWHwh1,0.7303
BAFAunp,CWHwh2,0.8261
BAFAunp,CWHwm,0.9001
BAFAunp,CWHws1,0.8699
BAFAunp,CWHws2,0.9542
BAFAunp,CWHxm1,0.5580
BAFAunp,CWHxm2,0.7157
BAFAunp,ESSFdc1,0.9563
BAFAunp,ESSFdc2,0.9432
BAFAunp,ESSFdc3,0.9204
BAFAunp,ESSFdcp,0.9698
BAFAunp,ESSFdcw,0.9696
BAFAunp,ESSFdk1,0.9390
BAFAunp,ESSFdk2,0.9282
BAFAunp,ESSFdkp,0.9184
BAFAunp,ESSFdkw,0.9309
BAFAunp,ESSFdv1,0.9525
BAFAunp,ESSFdv2,0.9754
BAFAunp,ESSFdvp,0.9504
BAFAunp,ESSFdvw,0.9670
BAFAunp,ESSFmc,0.9207
BAFAunp,ESSFmcp,0.8992
BAFAunp,ESSFmh,0.9231
BAFAunp,ESSFmk,0.9856
BAFAunp,ESSFmkp,0.9807
BAFAunp,ESSFmm1,0.9504
BAFAunp,ESSFmm2,0.9255
BAFAunp,ESSFmmp,0.9356
BAFAunp,ESSFmmw,0.9594
BAFAunp,ESSFmv1,0.8931
BAFAunp,ESSFmv2,0.9253
BAFAunp,ESSFmv3,0.8843
BAFAunp,ESSFmv4,0.8252
BAFAunp,ESSFmvp,0.8838
BAFAunp,ESSFmw,0.9863
BAFAunp,ESSFmw1,0.9677
BAFAunp,ESSFmw2,0.9624
BAFAunp,ESSFmwp,0.9752
BAFAunp,ESSFmww,0.9809
BAFAunp,ESSFun,0.9181
BAFAunp,ESSFunp,0.9023
BAFAunp,ESSFvc,0.9571
BAFAunp,ESSFvcp,0.9419
BAFAunp,ESSFvcw,0.9588
BAFAunp,ESSFwc2,0.9658
BAFAunp,ESSFwc3,0.9453
BAFAunp,ESSFwc4,0.9677
BAFAunp,ESSFwcp,0.9460
BAFAunp,ESSFwcw,0.9658
BAFAunp,ESSFwh1,0.9533
BAFAunp,ESSFwh2,0.9417
BAFAunp,ESSFwh3,0.9404
BAFAunp,ESSFwk1,0.9551
BAFAunp,ESSFwk2,0.9265
BAFAunp,ESSFwm,0.9505
BAFAunp,ESSFwm1,0.9347
BAFAunp,ESSFwm2,0.9638
BAFAunp,ESSFwm3,0.9542
BAFAunp,ESSFwm4,0.9425
BAFAunp,ESSFwmp,0.9422
BAFAunp,ESSFwmw,0.9573
BAFAunp,ESSFwv,0.9393
BAFAunp,ESSFwvp,0.9317
BAFAunp,ESSFxc1,0.9155
BAFAunp,ESSFxc2,0.9369
BAFAunp,ESSFxc3,0.9372
BAFAunp,ESSFxcp,0.9397
BAFAunp,ESSFxcw,0.9513
BAFAunp,ESSFxv1,0.9751
BAFAunp,ESSFxv2,0.9637
BAFAunp,ESSFxvp,0.9621
BAFAunp,ESSFxvw,0.9586
BAFAunp,ICHdk,0.8225
BAFAunp,ICHdm,0.8666
BAFAunp,ICHdw1,0.7476
BAFAunp,ICHdw3,0.8018
BAFAunp,ICHdw4,0.7047
BAFAunp,ICHmc1,0.8911
BAFAunp,ICHmc2,0.8340
BAFAunp,ICHmk1,0.8346
BAFAunp,ICHmk2,0.8412
BAFAunp,ICHmk3,0.8534
BAFAunp,ICHmk4,0.8792
BAFAunp,ICHmm,0.9141
BAFAunp,ICHmw1,0.8902
BAFAunp,ICHmw2,0.8478
BAFAunp,ICHmw3,0.8448
BAFAunp,ICHmw4,0.8937
BAFAunp,ICHmw5,0.8581
BAFAunp,ICHvc,0.9044
BAFAunp,ICHvk1,0.9239
BAFAunp,ICHvk2,0.9127
BAFAunp,ICHwc,0.9036
BAFAunp,ICHwk1,0.9116
BAFAunp,ICHwk2,0.8663
BAFAunp,ICHwk3,0.8974
BAFAunp,ICHwk4,0.9070
BAFAunp,ICHxw,0.6249
BAFAunp,IDFdc,0.8117
BAFAunp,IDFdk1,0.7348
BAFAunp,IDFdk2,0.7802
BAFAunp,IDFdk3,0.7366
BAFAunp,IDFdk4,0.7346
BAFAunp,IDFdk5,0.7199
BAFAunp,IDFdm1,0.6840
BAFAunp,IDFdm2,0.6689
BAFAunp,IDFdw,0.8135
BAFAunp,IDFmw1,0.6793
BAFAunp,IDFmw2,0.6835
BAFAunp,IDFww,0.7850
BAFAunp,IDFww1,0.6413
BAFAunp,IDFxc,0.6028
BAFAunp,IDFxh1,0.5762
BAFAunp,IDFxh2,0.6040
BAFAunp,IDFxh4,0.5383
BAFAunp,IDFxk,0.5799
BAFAunp,IDFxm,0.6553
BAFAunp,IDFxw,0.5965
BAFAunp,IMAun,0.9063
BAFAunp,IMAunp,0.9814
BAFAunp,MHmm1,0.8946
BAFAunp,MHmm2,0.9744
BAFAunp,MHmmp,0.9307
BAFAunp,MHun,0.8468
BAFAunp,MHunp,0.8167
BAFAunp,MHwh,0.8290
BAFAunp,MHwh1,0.8271
BAFAunp,MHwhp,0.8356
BAFAunp,MSdc1,0.9111
BAFAunp,MSdc2,0.9409
BAFAunp,MSdc3,0.9436
BAFAunp,MSdk1,0.8608
BAFAunp,MSdk2,0.8546
BAFAunp,MSdm1,0.8603
BAFAunp,MSdm2,0.8777
BAFAunp,MSdm3,0.8360
BAFAunp,MSdv,0.9453
