BECvarfut_plantation,BECvar_seed,HTp_pred
BAFAun,BAFAun,0.9848
BAFAun,BAFAunp,0.9325
BAFAun,BGxh1,0.1642
BAFAun,BGxh2,0.2362
BAFAun,BGxh3,0.3126
BAFAun,BGxw1,0.3676
BAFAun,BGxw2,0.4504
BAFAun,BWBSdk,0.7815
BAFAun,BWBSmk,0.6601
BAFAun,BWBSmw,0.7105
BAFAun,BWBSvk,0.9199
BAFAun,BWBSwk1,0.8457
BAFAun,BWBSwk2,0.8015
BAFAun,BWBSwk3,0.8177
BAFAun,CDFmm,0.2779
BAFAun,CMAun,0.9673
BAFAun,CMAunp,0.8906
BAFAun,CMAwh,0.7787
BAFAun,CWHdm,0.4764
BAFAun,CWHds1,0.6009
BAFAun,CWHds2,0.7072
BAFAun,CWHmm1,0.6026
BAFAun,CWHmm2,0.6717
BAFAun,CWHms1,0.7495
BAFAun,CWHms2,0.6938
BAFAun,CWHun,0.7293
BAFAun,CWHvh1,0.4753
BAFAun,CWHvh2,0.6579
BAFAun,CWHvh3,0.6451
BAFAun,CWHvm1,0.6126
BAFAun,CWHvm2,0.7378
BAFAun,CWHwh1,0.6106
BAFAun,CWHwh2,0.7260
BAFAun,CWHwm,0.8897
BAFAun,CWHws1,0.7640
BAFAun,CWHws2,0.8717
BAFAun,CWHxm1,0.4077
BAFAun,CWHxm2,0.5412
BAFAun,ESSFdc1,0.8296
BAFAun,ESSFdc2,0.7920
BAFAun,ESSFdc3,0.8167
BAFAun,ESSFdcp,0.8903
BAFAun,ESSFdcw,0.8692
BAFAun,ESSFdk1,0.8374
BAFAun,ESSFdk2,0.8795
BAFAun,ESSFdkp,0.9155
BAFAun,ESSFdkw,0.9020
BAFAun,ESSFdv1,0.8089
BAFAun,ESSFdv2,0.8518
BAFAun,ESSFdvp,0.8649
BAFAun,ESSFdvw,0.8577
BAFAun,ESSFmc,0.9321
BAFAun,ESSFmcp,0.9865
BAFAun,ESSFmh,0.7764
BAFAun,ESSFmk,0.9244
BAFAun,ESSFmkp,0.9600
BAFAun,ESSFmm1,0.9421
BAFAun,ESSFmm2,0.9363
BAFAun,ESSFmmp,0.9621
BAFAun,ESSFmmw,0.9298
BAFAun,ESSFmv1,0.8424
BAFAun,ESSFmv2,0.9402
BAFAun,ESSFmv3,0.9221
BAFAun,ESSFmv4,0.9001
BAFAun,ESSFmvp,0.9635
BAFAun,ESSFmw,0.8440
BAFAun,ESSFmw1,0.7988
BAFAun,ESSFmw2,0.8049
BAFAun,ESSFmwp,0.8755
BAFAun,ESSFmww,0.8387
BAFAun,ESSFun,0.9821
BAFAun,ESSFunp,0.9969
BAFAun,ESSFvc,0.8898
BAFAun,ESSFvcp,0.9367
BAFAun,ESSFvcw,0.9247
BAFAun,ESSFwc2,0.9075
