BECvarfut_plantation,BECvar_seed,HTp_pred
BAFAun,BAFAun,0.9930
BAFAun,BAFAunp,0.9683
BAFAun,BGxh1,0.4351
BAFAun,BGxh2,0.5144
BAFAun,BGxh3,0.5853
BAFAun,BGxw1,0.6307
BAFAun,BGxw2,0.6926
BAFAun,BWBSdk,0.8927
BAFAun,BWBSmk,0.8260
BAFAun,BWBSmw,0.8544
BAFAun,BWBSvk,0.9623
BAFAun,BWBSwk1,0.9258
BAFAun,BWBSwk2,0.9032
BAFAun,BWBSwk3,0.9115
BAFAun,CDFmm,0.0000
BAFAun,CMAun,0.0000
BAFAun,CMAunp,0.0000
BAFAun,CMAwh,0.0000
BAFAun,CWHdm,0.0000
BAFAun,CWHds1,0.0000
BAFAun,CWHds2,0.0000
BAFAun,CWHmm1,0.0000
BAFAun,CWHmm2,0.0000
BAFAun,CWHms1,0.0000
BAFAun,CWHms2,0.0000
BAFAun,CWHun,0.0000
BAFAun,CWHvh1,0.0000
BAFAun,CWHvh2,0.0000
BAFAun,CWHvh3,0.0000
BAFAun,CWHvm1,0.0000
BAFAun,CWHvm2,0.0000
BAFAun,CWHwh1,0.0000
BAFAun,CWHwh2,0.0000
BAFAun,CWHwm,0.0000
BAFAun,CWHws1,0.0000
BAFAun,CWHws2,0.0000
BAFAun,CWHxm1,0.0000
BAFAun,CWHxm2,0.0000
BAFAun,ESSFdc1,0.9175
BAFAun,ESSFdc2,0.8981
BAFAun,ESSFdc3,0.9109
BAFAun,ESSFdcp,0.9478
BAFAun,ESSFdcw,0.9374
BAFAun,ESSFdk1,0.9215
BAFAun,ESSFdk2,0.9426
BAFAun,ESSFdkp,0.9601
BAFAun,ESSFdkw,0.9535
BAFAun,ESSFdv1,0.9068
BAFAun,ESSFdv2,0.9287
BAFAun,ESSFdvp,0.9353
BAFAun,ESSFdvw,0.9317
BAFAun,ESSFmc,0.9681
BAFAun,ESSFmcp,0.9938
BAFAun,ESSFmh,0.8899
BAFAun,ESSFmk,0.9644
BAFAun,ESSFmkp,0.9814
BAFAun,ESSFmm1,0.9729
BAFAun,ESSFmm2,0.9701
BAFAun,ESSFmmp,0.9823
BAFAun,ESSFmmw,0.9670
BAFAun,ESSFmv1,0.9240
BAFAun,ESSFmv2,0.9720
BAFAun,ESSFmv3,0.9633
BAFAun,ESSFmv4,0.9527
BAFAun,ESSFmvp,0.9830
BAFAun,ESSFmw,0.9248
BAFAun,ESSFmw1,0.9016
BAFAun,ESSFmw2,0.9048
BAFAun,ESSFmwp,0.9406
BAFAun,ESSFmww,0.9221
BAFAun,ESSFun,0.9917
BAFAun,ESSFunp,0.9986
BAFAun,ESSFvc,0.9476
BAFAun,ESSFvcp,0.9703
BAFAun,ESSFvcw,0.9646
BAFAun,ESSFwc2,0.9562
BAFAun,ESSFwc3,0.9857
