BECvar_site,BECvar_seed,HTp_pred
BAFAun,BAFAun,1.0000
BAFAun,BAFAunp,0.9643
BAFAun,BGxh1,0.4566
BAFAun,BGxh2,0.5338
BAFAun,BGxh3,0.6004
BAFAun,BGxw1,0.6452
BAFAun,BGxw2,0.7005
BAFAun,BWBSdk,0.9033
BAFAun,BWBSmk,0.8438
BAFAun,BWBSmw,0.8567
BAFAun,BWBSvk,0.9372
BAFAun,BWBSwk1,0.9144
BAFAun,BWBSwk2,0.9030
BAFAun,BWBSwk3,0.9178
BAFAun,CDFmm,0.5564
BAFAun,CMAun,0.9827
BAFAun,CMAunp,0.9372
BAFAun,CMAwh,0.8690
BAFAun,CWHdm,0.6906
BAFAun,CWHds1,0.7681
BAFAun,CWHds2,0.8315
BAFAun,CWHmm1,0.7676
BAFAun,CWHmm2,0.8088
BAFAun,CWHms1,0.8523
BAFAun,CWHms2,0.8155
BAFAun,CWHun,0.8629
BAFAun,CWHvh1,0.6900
BAFAun,CWHvh2,0.7944
BAFAun,CWHvh3,0.7891
BAFAun,CWHvm1,0.7699
BAFAun,CWHvm2,0.8408
BAFAun,CWHwh1,0.7712
BAFAun,CWHwh2,0.8346
BAFAun,CWHwm,0.9193
BAFAun,CWHws1,0.8549
BAFAun,CWHws2,0.9132
BAFAun,CWHxm1,0.6494
BAFAun,CWHxm2,0.7319
BAFAun,ESSFdc1,0.9071
BAFAun,ESSFdc2,0.8910
BAFAun,ESSFdc3,0.9029
BAFAun,ESSFdcp,0.9449
BAFAun,ESSFdcw,0.9313
BAFAun,ESSFdk1,0.9123
BAFAun,ESSFdk2,0.9368
BAFAun,ESSFdkp,0.9597
BAFAun,ESSFdkw,0.9498
BAFAun,ESSFdv1,0.9046
BAFAun,ESSFdv2,0.9245
BAFAun,ESSFdvp,0.9407
BAFAun,ESSFdvw,0.9322
BAFAun,ESSFmc,0.9629
BAFAun,ESSFmcp,0.9937
BAFAun,ESSFmh,0.8766
BAFAun,ESSFmk,0.9508
BAFAun,ESSFmkp,0.9717
BAFAun,ESSFmm1,0.9611
BAFAun,ESSFmm2,0.9630
BAFAun,ESSFmmp,0.9750
BAFAun,ESSFmmw,0.9561
BAFAun,ESSFmv1,0.9207
BAFAun,ESSFmv2,0.9593
BAFAun,ESSFmv3,0.9633
BAFAun,ESSFmv4,0.9544
BAFAun,ESSFmvp,0.9860
BAFAun,ESSFmw,0.9126
BAFAun,ESSFmw1,0.8894
BAFAun,ESSFmw2,0.8974
BAFAun,ESSFmwp,0.9395
BAFAun,ESSFmww,0.9157
BAFAun,ESSFun,0.9803
BAFAun,ESSFunp,0.9929
BAFAun,ESSFvc,0.9312
BAFAun,ESSFvcp,0.9653
BAFAun,ESSFvcw,0.9537
BAFAun,ESSFwc2,0.9421
BAFAun,ESSFwc3,0.9752
BAFAun,ESSFwc4,0.9257
BAFAun,ESSFwcp,0.9762
BAFAun,ESSFwcw,0.9565
BAFAun,ESSFwh1,0.9057
BAFAun,ESSFwh2,0.8975
BAFAun,ESSFwh3,0.8937
BAFAun,ESSFwk1,0.9379
BAFAun,ESSFwk2,0.9652
BAFAun,ESSFwm,0.9487
BAFAun,ESSFwm1,0.9130
BAFAun,ESSFwm2,0.9231
BAFAun,ESSFwm3,0.9198
BAFAun,ESSFwm4,0.8989
BAFAun,ESSFwmp,0.9613
BAFAun,ESSFwmw,0.9473
BAFAun,ESSFwv,0.9672
BAFAun,ESSFwvp,0.9868
BAFAun,ESSFxc1,0.8822
BAFAun,ESSFxc2,0.9101
BAFAun,ESSFxc3,0.9146
BAFAun,ESSFxcp,0.9296
BAFAun,ESSFxcw,0.9234
BAFAun,ESSFxv1,0.9447
BAFAun,ESSFxv2,0.9393
BAFAun,ESSFxvp,0.9565
BAFAun,ESSFxvw,0.9357
BAFAun,ICHdk,0.8483
BAFAun,ICHdm,0.8430
BAFAun,ICHdw1,0.7653
BAFAun,ICHdw3,0.8241
BAFAun,ICHdw4,0.7567
BAFAun,ICHmc1,0.9119
BAFAun,ICHmc2,0.8643
BAFAun,ICHmk1,0.8279
BAFAun,ICHmk2,0.8450
BAFAun,ICHmk3,0.8656
BAFAun,ICHmk4,0.8732
BAFAun,ICHmm,0.9112
BAFAun,ICHmw1,0.8841
BAFAun,ICHmw2,0.8257
BAFAun,ICHmw3,0.8404
BAFAun,ICHmw4,0.8528
BAFAun,ICHmw5,0.8340
BAFAun,ICHvc,0.9273
BAFAun,ICHvk1,0.8967
BAFAun,ICHvk2,0.9203
BAFAun,ICHwc,0.9373
BAFAun,ICHwk1,0.8822
BAFAun,ICHwk2,0.8735
BAFAun,ICHwk3,0.9030
BAFAun,ICHwk4,0.9038
BAFAun,ICHxw,0.7006
BAFAun,IDFdc,0.8106
BAFAun,IDFdk1,0.7882
BAFAun,IDFdk2,0.7944
BAFAun,IDFdk3,0.8094
BAFAun,IDFdk4,0.8157
BAFAun,IDFdk5,0.7930
BAFAun,IDFdm1,0.7490
BAFAun,IDFdm2,0.7488
BAFAun,IDFdw,0.8371
BAFAun,IDFmw1,0.7442
BAFAun,IDFmw2,0.7576
BAFAun,IDFww,0.7801
BAFAun,IDFww1,0.7120
BAFAun,IDFxc,0.7023
BAFAun,IDFxh1,0.6860
BAFAun,IDFxh2,0.7181
BAFAun,IDFxh4,0.6671
BAFAun,IDFxk,0.7144
BAFAun,IDFxm,0.7674
BAFAun,IDFxw,0.7293
BAFAun,IMAun,0.9762
BAFAun,IMAunp,0.9334
BAFAun,MHmm1,0.8810
