BECvar_site,BECvar_seed,HTp_pred
BAFAun,BAFAun,1.0000
BAFAun,BAFAunp,0.9684
BAFAun,BGxh1,0.5015
BAFAun,BGxh2,0.5752
BAFAun,BGxh3,0.6380
BAFAun,BGxw1,0.6796
BAFAun,BGxw2,0.7308
BAFAun,BWBSdk,0.9142
BAFAun,BWBSmk,0.8611
BAFAun,BWBSmw,0.8728
BAFAun,BWBSvk,0.9447
BAFAun,BWBSwk1,0.9243
BAFAun,BWBSwk2,0.9141
BAFAun,BWBSwk3,0.9273
BAFAun,CDFmm,0.5975
BAFAun,CMAun,0.9848
BAFAun,CMAunp,0.9445
BAFAun,CMAwh,0.8839
BAFAun,CWHdm,0.7225
BAFAun,CWHds1,0.7931
BAFAun,CWHds2,0.8502
BAFAun,CWHmm1,0.7926
BAFAun,CWHmm2,0.8299
BAFAun,CWHms1,0.8689
BAFAun,CWHms2,0.8360
BAFAun,CWHun,0.8781
BAFAun,CWHvh1,0.7219
BAFAun,CWHvh2,0.8170
BAFAun,CWHvh3,0.8122
BAFAun,CWHvm1,0.7948
BAFAun,CWHvm2,0.8587
BAFAun,CWHwh1,0.7961
BAFAun,CWHwh2,0.8532
BAFAun,CWHwm,0.9288
BAFAun,CWHws1,0.8714
BAFAun,CWHws2,0.9234
BAFAun,CWHxm1,0.6845
BAFAun,CWHxm2,0.7602
BAFAun,ESSFdc1,0.9177
BAFAun,ESSFdc2,0.9033
BAFAun,ESSFdc3,0.9140
BAFAun,ESSFdcp,0.9512
BAFAun,ESSFdcw,0.9392
BAFAun,ESSFdk1,0.9223
BAFAun,ESSFdk2,0.9441
BAFAun,ESSFdkp,0.9643
BAFAun,ESSFdkw,0.9556
BAFAun,ESSFdv1,0.9154
BAFAun,ESSFdv2,0.9331
BAFAun,ESSFdvp,0.9475
BAFAun,ESSFdvw,0.9400
BAFAun,ESSFmc,0.9672
BAFAun,ESSFmcp,0.9944
BAFAun,ESSFmh,0.8905
BAFAun,ESSFmk,0.9566
BAFAun,ESSFmkp,0.9751
BAFAun,ESSFmm1,0.9656
BAFAun,ESSFmm2,0.9674
BAFAun,ESSFmmp,0.9779
BAFAun,ESSFmmw,0.9613
BAFAun,ESSFmv1,0.9298
BAFAun,ESSFmv2,0.9641
BAFAun,ESSFmv3,0.9676
BAFAun,ESSFmv4,0.9597
BAFAun,ESSFmvp,0.9877
BAFAun,ESSFmw,0.9226
BAFAun,ESSFmw1,0.9020
BAFAun,ESSFmw2,0.9090
BAFAun,ESSFmwp,0.9465
BAFAun,ESSFmww,0.9253
BAFAun,ESSFun,0.9827
BAFAun,ESSFunp,0.9937
BAFAun,ESSFvc,0.9392
BAFAun,ESSFvcp,0.9694
BAFAun,ESSFvcw,0.9591
BAFAun,ESSFwc2,0.9489
BAFAun,ESSFwc3,0.9781
BAFAun,ESSFwc4,0.9343
BAFAun,ESSFwcp,0.9790
BAFAun,ESSFwcw,0.9615
BAFAun,ESSFwh1,0.9165
BAFAun,ESSFwh2,0.9092
BAFAun,ESSFwh3,0.9058
BAFAun,ESSFwk1,0.9452
BAFAun,ESSFwk2,0.9693
BAFAun,ESSFwm,0.9546
BAFAun,ESSFwm1,0.9229
BAFAun,ESSFwm2,0.9319
BAFAun,ESSFwm3,0.9290
BAFAun,ESSFwm4,0.9104
BAFAun,ESSFwmp,0.9658
BAFAun,ESSFwmw,0.9533
BAFAun,ESSFwv,0.9711
BAFAun,ESSFwvp,0.9884
BAFAun,ESSFxc1,0.8953
BAFAun,ESSFxc2,0.9203
BAFAun,ESSFxc3,0.9243
BAFAun,ESSFxcp,0.9376
BAFAun,ESSFxcw,0.9321
BAFAun,ESSFxv1,0.9510
BAFAun,ESSFxv2,0.9462
BAFAun,ESSFxvp,0.9615
BAFAun,ESSFxvw,0.9430
BAFAun,ICHdk,0.8653
BAFAun,ICHdm,0.8604
BAFAun,ICHdw1,0.7904
BAFAun,ICHdw3,0.8436
BAFAun,ICHdw4,0.7826
BAFAun,ICHmc1,0.9221
BAFAun,ICHmc2,0.8797
BAFAun,ICHmk1,0.8469
BAFAun,ICHmk2,0.8622
BAFAun,ICHmk3,0.8807
BAFAun,ICHmk4,0.8875
BAFAun,ICHmm,0.9215
BAFAun,ICHmw1,0.8972
BAFAun,ICHmw2,0.8450
BAFAun,ICHmw3,0.8582
BAFAun,ICHmw4,0.8693
BAFAun,ICHmw5,0.8523
BAFAun,ICHvc,0.9358
BAFAun,ICHvk1,0.9085
BAFAun,ICHvk2,0.9296
BAFAun,ICHwc,0.9447
BAFAun,ICHwk1,0.8956
BAFAun,ICHwk2,0.8879
BAFAun,ICHwk3,0.9142
BAFAun,ICHwk4,0.9149
BAFAun,ICHxw,0.7313
BAFAun,IDFdc,0.8310
BAFAun,IDFdk1,0.8107
BAFAun,IDFdk2,0.8164
BAFAun,IDFdk3,0.8301
