BECvar_site,BECvar_seed,HTp_pred
BAFAun,BAFAun,1.0000
BAFAun,BAFAunp,0.7213
BAFAun,BGxh1,0.0009
BAFAun,BGxh2,0.0035
BAFAun,BGxh3,0.0102
BAFAun,BGxw1,0.0195
BAFAun,BGxw2,0.0408
BAFAun,BWBSdk,0.4007
BAFAun,BWBSmk,0.2171
BAFAun,BWBSmw,0.2491
BAFAun,BWBSvk,0.5589
BAFAun,BWBSwk1,0.4477
BAFAun,BWBSwk2,0.3995
BAFAun,BWBSwk3,0.4625
BAFAun,CDFmm,0.0052
BAFAun,CMAun,0.8551
BAFAun,CMAunp,0.5585
BAFAun,CMAwh,0.2833
BAFAun,CWHdm,0.0360
BAFAun,CWHds1,0.0937
BAFAun,CWHds2,0.1907
BAFAun,CWHmm1,0.0930
BAFAun,CWHmm2,0.1488
BAFAun,CWHms1,0.2381
BAFAun,CWHms2,0.1602
BAFAun,CWHun,0.2659
BAFAun,CWHvh1,0.0357
BAFAun,CWHvh2,0.1266
BAFAun,CWHvh3,0.1192
BAFAun,CWHvm1,0.0956
BAFAun,CWHvm2,0.2108
BAFAun,CWHwh1,0.0970
BAFAun,CWHwh2,0.1972
BAFAun,CWHwm,0.4699
BAFAun,CWHws1,0.2449
BAFAun,CWHws2,0.4428
BAFAun,CWHxm1,0.0207
BAFAun,CWHxm2,0.0607
BAFAun,ESSFdc1,0.4166
BAFAun,ESSFdc2,0.3546
BAFAun,ESSFdc3,0.3997
BAFAun,ESSFdcp,0.6009
BAFAun,ESSFdcw,0.5280
BAFAun,ESSFdk1,0.4384
BAFAun,ESSFdk2,0.5562
BAFAun,ESSFdkp,0.6910
BAFAun,ESSFdkw,0.6299
BAFAun,ESSFdv1,0.4062
BAFAun,ESSFdv2,0.4938
BAFAun,ESSFdvp,0.5775
BAFAun,ESSFdvw,0.5324
BAFAun,ESSFmc,0.7117
BAFAun,ESSFmcp,0.9445
BAFAun,ESSFmh,0.3063
BAFAun,ESSFmk,0.6360
BAFAun,ESSFmkp,0.7730
BAFAun,ESSFmm1,0.7000
BAFAun,ESSFmm2,0.7130
BAFAun,ESSFmmp,0.7964
BAFAun,ESSFmmw,0.6686
BAFAun,ESSFmv1,0.4760
BAFAun,ESSFmv2,0.6884
BAFAun,ESSFmv3,0.7146
BAFAun,ESSFmv4,0.6573
BAFAun,ESSFmvp,0.8812
BAFAun,ESSFmw,0.4398
BAFAun,ESSFmw1,0.3492
BAFAun,ESSFmw2,0.3781
BAFAun,ESSFmwp,0.5710
BAFAun,ESSFmww,0.4534
BAFAun,ESSFun,0.8365
BAFAun,ESSFunp,0.9377
BAFAun,ESSFvc,0.5274
BAFAun,ESSFvcp,0.7286
BAFAun,ESSFvcw,0.6537
BAFAun,ESSFwc2,0.5856
BAFAun,ESSFwc3,0.7980
BAFAun,ESSFwc4,0.5002
BAFAun,ESSFwcp,0.8059
BAFAun,ESSFwcw,0.6706
BAFAun,ESSFwh1,0.4111
BAFAun,ESSFwh2,0.3789
BAFAun,ESSFwh3,0.3646
BAFAun,ESSFwk1,0.5623
BAFAun,ESSFwk2,0.7273
BAFAun,ESSFwm,0.6232
BAFAun,ESSFwm1,0.4416
BAFAun,ESSFwm2,0.4875
BAFAun,ESSFwm3,0.4721
BAFAun,ESSFwm4,0.3840
BAFAun,ESSFwmp,0.7016
BAFAun,ESSFwmw,0.6148
BAFAun,ESSFwv,0.7412
BAFAun,ESSFwvp,0.8872
BAFAun,ESSFxc1,0.3241
BAFAun,ESSFxc2,0.4290
BAFAun,ESSFxc3,0.4484
BAFAun,ESSFxcp,0.5188
BAFAun,ESSFxcw,0.4886
BAFAun,ESSFxv1,0.5996
BAFAun,ESSFxv2,0.5697
BAFAun,ESSFxvp,0.6708
BAFAun,ESSFxvw,0.5505
BAFAun,ICHdk,0.2282
BAFAun,ICHdm,0.2157
BAFAun,ICHdw1,0.0905
BAFAun,ICHdw3,0.1760
BAFAun,ICHdw4,0.0818
BAFAun,ICHmc1,0.4366
BAFAun,ICHmc2,0.2700
BAFAun,ICHmk1,0.1834
BAFAun,ICHmk2,0.2204
BAFAun,ICHmk3,0.2734
BAFAun,ICHmk4,0.2959
BAFAun,ICHmm,0.4339
BAFAun,ICHmw1,0.3306
BAFAun,ICHmw2,0.1792
BAFAun,ICHmw3,0.2098
BAFAun,ICHmw4,0.2395
BAFAun,ICHmw5,0.1958
BAFAun,ICHvc,0.5076
BAFAun,ICHvk1,0.3756
BAFAun,ICHvk2,0.4743
BAFAun,ICHwc,0.5592
BAFAun,ICHwk1,0.3244
BAFAun,ICHwk2,0.2968
BAFAun,ICHwk3,0.4001
BAFAun,ICHwk4,0.4031
BAFAun,ICHxw,0.0409
BAFAun,IDFdc,0.1515
BAFAun,IDFdk1,0.1177
BAFAun,IDFdk2,0.1264
BAFAun,IDFdk3,0.1496
BAFAun,IDFdk4,0.1603
BAFAun,IDFdk5,0.1244
BAFAun,IDFdm1,0.0745
BAFAun,IDFdm2,0.0744
BAFAun,IDFdw,0.2023
BAFAun,IDFmw1,0.0704
BAFAun,IDFmw2,0.0826
BAFAun,IDFww,0.1075
BAFAun,IDFww1,0.0473
BAFAun,IDFxc,0.0418
BAFAun,IDFxh1,0.0338
BAFAun,IDFxh2,0.0510
BAFAun,IDFxh4,0.0263
BAFAun,IDFxk,0.0487
BAFAun,IDFxm,0.0926
BAFAun,IDFxw,0.0586
BAFAun,IMAun,0.8057
BAFAun,IMAunp,0.5386
BAFAun,MHmm1,0.3205
BAFAun,MHmm2,0.5976
BAFAun,MHmmp,0.6951
BAFAun,MHun,0.7315
BAFAun,MHunp,0.8915
BAFAun,MHwh,0.2381
BAFAun,MHwh1,0.2898
BAFAun,MHwhp,0.3394
BAFAun,MSdc1,0.2766
