BECvar_site,BECvar_seed,HTp_pred
BAFAun,BAFAun,1
BAFAun,BAFAunp,0.9421
BAFAun,BGxh1,0.2763
BAFAun,BGxh2,0.357
BAFAun,BGxh3,0.4329
BAFAun,BGxw1,0.4873
BAFAun,BGxw2,0.5576
BAFAun,BWBSdk,0.8463
BAFAun,BWBSmk,0.7567
BAFAun,BWBSmw,0.7759
BAFAun,BWBSvk,0.8991
BAFAun,BWBSwk1,0.8635
BAFAun,BWBSwk2,0.8458
BAFAun,BWBSwk3,0.8687
BAFAun,CDFmm,0.3821
BAFAun,CMAun,0.9718
BAFAun,CMAunp,0.899
BAFAun,CMAwh,0.7943
BAFAun,CWHdm,0.5448
BAFAun,CWHds1,0.6487
BAFAun,CWHds2,0.7387
BAFAun,CWHmm1,0.6479
BAFAun,CWHmm2,0.706
BAFAun,CWHms1,0.7693
BAFAun,CWHms2,0.7156
BAFAun,CWHun,0.7852
BAFAun,CWHvh1,0.544
BAFAun,CWHvh2,0.6855
BAFAun,CWHvh3,0.678
BAFAun,CWHvm1,0.6512
BAFAun,CWHvm2,0.7524
BAFAun,CWHwh1,0.6529
BAFAun,CWHwh2,0.7433
BAFAun,CWHwm,0.871
BAFAun,CWHws1,0.7732
BAFAun,CWHws2,0.8616
BAFAun,CWHxm1,0.4925
BAFAun,CWHxm2,0.5992
BAFAun,ESSFdc1,0.8521
BAFAun,ESSFdc2,0.8275
BAFAun,ESSFdc3,0.8458
BAFAun,ESSFdcp,0.9111
BAFAun,ESSFdcw,0.8898
BAFAun,ESSFdk1,0.8601
BAFAun,ESSFdk2,0.8984
BAFAun,ESSFdkp,0.9347
BAFAun,ESSFdkw,0.919
BAFAun,ESSFdv1,0.8483
BAFAun,ESSFdv2,0.8791
BAFAun,ESSFdvp,0.9046
BAFAun,ESSFdvw,0.8913
BAFAun,ESSFmc,0.9398
BAFAun,ESSFmcp,0.9896
BAFAun,ESSFmh,0.8056
BAFAun,ESSFmk,0.9206
BAFAun,ESSFmkp,0.954
BAFAun,ESSFmm1,0.9369
BAFAun,ESSFmm2,0.9401
BAFAun,ESSFmmp,0.9592
BAFAun,ESSFmmw,0.9291
BAFAun,ESSFmv1,0.8733
BAFAun,ESSFmv2,0.9341
BAFAun,ESSFmv3,0.9405
BAFAun,ESSFmv4,0.9263
BAFAun,ESSFmvp,0.9772
BAFAun,ESSFmw,0.8606
BAFAun,ESSFmw1,0.8251
BAFAun,ESSFmw2,0.8373
BAFAun,ESSFmwp,0.9027
BAFAun,ESSFmww,0.8655
BAFAun,ESSFun,0.9679
BAFAun,ESSFunp,0.9883
BAFAun,ESSFvc,0.8896
BAFAun,ESSFvcp,0.9438
BAFAun,ESSFvcw,0.9252
BAFAun,ESSFwc2,0.9068
BAFAun,ESSFwc3,0.9596
BAFAun,ESSFwc4,0.8811
BAFAun,ESSFwcp,0.9613
BAFAun,ESSFwcw,0.9296
BAFAun,ESSFwh1,0.8501
BAFAun,ESSFwh2,0.8375
BAFAun,ESSFwh3,0.8316
BAFAun,ESSFwk1,0.9001
BAFAun,ESSFwk2,0.9435
BAFAun,ESSFwm,0.9172
BAFAun,ESSFwm1,0.8613
BAFAun,ESSFwm2,0.877
BAFAun,ESSFwm3,0.8718
BAFAun,ESSFwm4,0.8395
BAFAun,ESSFwmp,0.9373
BAFAun,ESSFwmw,0.9149
BAFAun,ESSFwv,0.9468
BAFAun,ESSFwvp,0.9784
BAFAun,ESSFxc1,0.8141
BAFAun,ESSFxc2,0.8568
BAFAun,ESSFxc3,0.8638
BAFAun,ESSFxcp,0.8871
BAFAun,ESSFxcw,0.8774
