BECvar_site,BECvar_seed,HTp_pred
BAFAun,BAFAun,1.0000
BAFAun,BAFAunp,0.7269
BAFAun,BGxh1,0.0010
BAFAun,BGxh2,0.0041
BAFAun,BGxh3,0.0114
BAFAun,BGxw1,0.0214
BAFAun,BGxw2,0.0440
BAFAun,BWBSdk,0.4097
BAFAun,BWBSmk,0.2252
BAFAun,BWBSmw,0.2575
BAFAun,BWBSvk,0.5664
BAFAun,BWBSwk1,0.4563
BAFAun,BWBSwk2,0.4083
BAFAun,BWBSwk3,0.4711
BAFAun,CDFmm,0.0058
BAFAun,CMAun,0.8584
BAFAun,CMAunp,0.5662
BAFAun,CMAwh,0.2918
BAFAun,CWHdm,0.0389
BAFAun,CWHds1,0.0989
BAFAun,CWHds2,0.1981
BAFAun,CWHmm1,0.0982
BAFAun,CWHmm2,0.1555
BAFAun,CWHms1,0.2461
BAFAun,CWHms2,0.1671
BAFAun,CWHun,0.2745
BAFAun,CWHvh1,0.0386
BAFAun,CWHvh2,0.1327
BAFAun,CWHvh3,0.1252
BAFAun,CWHvm1,0.1009
BAFAun,CWHvm2,0.2185
BAFAun,CWHwh1,0.1023
BAFAun,CWHwh2,0.2047
BAFAun,CWHwm,0.4780
BAFAun,CWHws1,0.2529
BAFAun,CWHws2,0.4511
BAFAun,CWHxm1,0.0227
BAFAun,CWHxm2,0.0647
BAFAun,ESSFdc1,0.4252
BAFAun,ESSFdc2,0.3634
BAFAun,ESSFdc3,0.4084
BAFAun,ESSFdcp,0.6082
BAFAun,ESSFdcw,0.5359
BAFAun,ESSFdk1,0.4470
BAFAun,ESSFdk2,0.5639
BAFAun,ESSFdkp,0.6970
BAFAun,ESSFdkw,0.6368
BAFAun,ESSFdv1,0.4150
BAFAun,ESSFdv2,0.5022
BAFAun,ESSFdvp,0.5852
BAFAun,ESSFdvw,0.5405
BAFAun,ESSFmc,0.7175
BAFAun,ESSFmcp,0.9458
BAFAun,ESSFmh,0.3149
BAFAun,ESSFmk,0.6427
BAFAun,ESSFmkp,0.7776
BAFAun,ESSFmm1,0.7058
BAFAun,ESSFmm2,0.7186
BAFAun,ESSFmmp,0.8006
BAFAun,ESSFmmw,0.6748
BAFAun,ESSFmv1,0.4845
BAFAun,ESSFmv2,0.6944
BAFAun,ESSFmv3,0.7204
BAFAun,ESSFmv4,0.6639
BAFAun,ESSFmvp,0.8839
BAFAun,ESSFmw,0.4483
BAFAun,ESSFmw1,0.3579
BAFAun,ESSFmw2,0.3869
BAFAun,ESSFmwp,0.5787
BAFAun,ESSFmww,0.4620
BAFAun,ESSFun,0.8399
BAFAun,ESSFunp,0.9391
BAFAun,ESSFvc,0.5353
BAFAun,ESSFvcp,0.7340
BAFAun,ESSFvcw,0.6602
BAFAun,ESSFwc2,0.5929
BAFAun,ESSFwc3,0.8021
BAFAun,ESSFwc4,0.5083
BAFAun,ESSFwcp,0.8100
BAFAun,ESSFwcw,0.6768
BAFAun,ESSFwh1,0.4197
BAFAun,ESSFwh2,0.3875
BAFAun,ESSFwh3,0.3732
BAFAun,ESSFwk1,0.5698
BAFAun,ESSFwk2,0.7326
BAFAun,ESSFwm,0.6301
BAFAun,ESSFwm1,0.4501
BAFAun,ESSFwm2,0.4958
BAFAun,ESSFwm3,0.4805
BAFAun,ESSFwm4,0.3926
BAFAun,ESSFwmp,0.7075
BAFAun,ESSFwmw,0.6219
BAFAun,ESSFwv,0.7463
BAFAun,ESSFwvp,0.8897
BAFAun,ESSFxc1,0.3330
BAFAun,ESSFxc2,0.4377
BAFAun,ESSFxc3,0.4571
BAFAun,ESSFxcp,0.5271
BAFAun,ESSFxcw,0.4971
BAFAun,ESSFxv1,0.6069
BAFAun,ESSFxv2,0.5775
BAFAun,ESSFxvp,0.6773
BAFAun,ESSFxvw,0.5585
BAFAun,ICHdk,0.2362
BAFAun,ICHdm,0.2236
BAFAun,ICHdw1,0.0957
BAFAun,ICHdw3,0.1833
BAFAun,ICHdw4,0.0867
BAFAun,ICHmc1,0.4451
BAFAun,ICHmc2,0.2783
BAFAun,ICHmk1,0.1908
BAFAun,ICHmk2,0.2283
BAFAun,ICHmk3,0.2818
BAFAun,ICHmk4,0.3045
BAFAun,ICHmm,0.4424
BAFAun,ICHmw1,0.3393
BAFAun,ICHmw2,0.1865
BAFAun,ICHmw3,0.2175
BAFAun,ICHmw4,0.2476
BAFAun,ICHmw5,0.2034
BAFAun,ICHvc,0.5156
BAFAun,ICHvk1,0.3842
BAFAun,ICHvk2,0.4825
