BECvar_site,BECvar_seed,HTp_pred
BAFAun,BAFAun,1.0000
BAFAun,BAFAunp,0.9124
BAFAun,BGxh1,0.1386
BAFAun,BGxh2,0.2055
BAFAun,BGxh3,0.2763
BAFAun,BGxw1,0.3315
BAFAun,BGxw2,0.4076
BAFAun,BWBSdk,0.7739
BAFAun,BWBSmk,0.6515
BAFAun,BWBSmw,0.6771
BAFAun,BWBSvk,0.8492
BAFAun,BWBSwk1,0.7981
BAFAun,BWBSwk2,0.7730
BAFAun,BWBSwk3,0.8055
BAFAun,CDFmm,0.2281
BAFAun,CMAun,0.9571
BAFAun,CMAunp,0.8492
BAFAun,CMAwh,0.7018
BAFAun,CWHdm,0.3933
BAFAun,CWHds1,0.5142
BAFAun,CWHds2,0.6280
BAFAun,CWHmm1,0.5132
BAFAun,CWHmm2,0.5856
BAFAun,CWHms1,0.6684
BAFAun,CWHms2,0.5979
BAFAun,CWHun,0.6898
BAFAun,CWHvh1,0.3923
BAFAun,CWHvh2,0.5596
BAFAun,CWHvh3,0.5502
BAFAun,CWHvm1,0.5172
BAFAun,CWHvm2,0.6458
BAFAun,CWHwh1,0.5192
BAFAun,CWHwh2,0.6338
BAFAun,CWHwm,0.8088
BAFAun,CWHws1,0.6735
BAFAun,CWHws2,0.7954
BAFAun,CWHxm1,0.3368
BAFAun,CWHxm2,0.4552
BAFAun,ESSFdc1,0.7822
BAFAun,ESSFdc2,0.7477
BAFAun,ESSFdc3,0.7731
BAFAun,ESSFdcp,0.8669
BAFAun,ESSFdcw,0.8360
BAFAun,ESSFdk1,0.7934
BAFAun,ESSFdk2,0.8483
BAFAun,ESSFdkp,0.9015
BAFAun,ESSFdkw,0.8784
BAFAun,ESSFdv1,0.7768
BAFAun,ESSFdv2,0.8205
BAFAun,ESSFdvp,0.8574
BAFAun,ESSFdvw,0.8380
BAFAun,ESSFmc,0.9090
BAFAun,ESSFmcp,0.9841
BAFAun,ESSFmh,0.7175
BAFAun,ESSFmk,0.8807
BAFAun,ESSFmkp,0.9303
BAFAun,ESSFmm1,0.9047
BAFAun,ESSFmm2,0.9094
BAFAun,ESSFmmp,0.9381
BAFAun,ESSFmmw,0.8931
BAFAun,ESSFmv1,0.8121
BAFAun,ESSFmv2,0.9005
BAFAun,ESSFmv3,0.9101
