BECvar_site,BECvar_seed,HTp_pred
BAFAun,BAFAun,1.0000
BAFAun,BAFAunp,0.9634
BAFAun,BGxh1,0.4475
BAFAun,BGxh2,0.5252
BAFAun,BGxh3,0.5925
BAFAun,BGxw1,0.6380
BAFAun,BGxw2,0.6941
BAFAun,BWBSdk,0.9010
BAFAun,BWBSmk,0.8401
BAFAun,BWBSmw,0.8533
BAFAun,BWBSvk,0.9357
BAFAun,BWBSwk1,0.9123
BAFAun,BWBSwk2,0.9006
BAFAun,BWBSwk3,0.9158
BAFAun,CDFmm,0.5480
BAFAun,CMAun,0.9823
BAFAun,CMAunp,0.9356
BAFAun,CMAwh,0.8659
BAFAun,CWHdm,0.6841
BAFAun,CWHds1,0.7629
BAFAun,CWHds2,0.8275
BAFAun,CWHmm1,0.7624
BAFAun,CWHmm2,0.8044
BAFAun,CWHms1,0.8488
BAFAun,CWHms2,0.8112
BAFAun,CWHun,0.8597
BAFAun,CWHvh1,0.6835
BAFAun,CWHvh2,0.7897
BAFAun,CWHvh3,0.7843
BAFAun,CWHvm1,0.7648
BAFAun,CWHvm2,0.8371
BAFAun,CWHwh1,0.7660
BAFAun,CWHwh2,0.8307
BAFAun,CWHwm,0.9173
BAFAun,CWHws1,0.8515
BAFAun,CWHws2,0.9111
BAFAun,CWHxm1,0.6422
BAFAun,CWHxm2,0.7260
BAFAun,ESSFdc1,0.9048
BAFAun,ESSFdc2,0.8884
BAFAun,ESSFdc3,0.9006
BAFAun,ESSFdcp,0.9435
BAFAun,ESSFdcw,0.9296
BAFAun,ESSFdk1,0.9101
BAFAun,ESSFdk2,0.9352
BAFAun,ESSFdkp,0.9587
BAFAun,ESSFdkw,0.9486
BAFAun,ESSFdv1,0.9023
BAFAun,ESSFdv2,0.9226
BAFAun,ESSFdvp,0.9393
BAFAun,ESSFdvw,0.9306
BAFAun,ESSFmc,0.9619
BAFAun,ESSFmcp,0.9935
BAFAun,ESSFmh,0.8736
BAFAun,ESSFmk,0.9496
BAFAun,ESSFmkp,0.9710
BAFAun,ESSFmm1,0.9601
BAFAun,ESSFmm2,0.9621
BAFAun,ESSFmmp,0.9743
BAFAun,ESSFmmw,0.9550
BAFAun,ESSFmv1,0.9188
BAFAun,ESSFmv2,0.9582
BAFAun,ESSFmv3,0.9624
BAFAun,ESSFmv4,0.9533
BAFAun,ESSFmvp,0.9857
BAFAun,ESSFmw,0.9104
BAFAun,ESSFmw1,0.8868
BAFAun,ESSFmw2,0.8949
BAFAun,ESSFmwp,0.9380
BAFAun,ESSFmww,0.9137
BAFAun,ESSFun,0.9798
BAFAun,ESSFunp,0.9927
BAFAun,ESSFvc,0.9295
BAFAun,ESSFvcp,0.9645
BAFAun,ESSFvcw,0.9526
BAFAun,ESSFwc2,0.9407
BAFAun,ESSFwc3,0.9745
BAFAun,ESSFwc4,0.9239
BAFAun,ESSFwcp,0.9756
BAFAun,ESSFwcw,0.9554
BAFAun,ESSFwh1,0.9034
BAFAun,ESSFwh2,0.8951
BAFAun,ESSFwh3,0.8911
BAFAun,ESSFwk1,0.9363
BAFAun,ESSFwk2,0.9643
BAFAun,ESSFwm,0.9474
BAFAun,ESSFwm1,0.9109
