"","IPSL-CM5A-MR-rcp45","MPI-ESM-LR-rcp85","CSIRO-Mk3-6-0-rcp45","CNRM-CM5-rcp85","MIROC-ESM-rcp45","GISS-E2R-rcp45","GISS-E2R-rcp85","INM-CM4-rcp45","MIROC5-rcp45","CESM1-CAM5-rcp45","INM-CM4-rcp85","CCSM4-rcp45","GFDL-CM3-rcp45","MPI-ESM-LR-rcp45","MIROC5-rcp85","MRI-CGCM3-rcp45","MRI-CGCM3-rcp85","CNRM-CM5-rcp45","GFDL-CM3-rcp85","HadGEM2-ES-rcp45","ACCESS1-0-rcp45","HadGEM2-ES-rcp85"
"BWBSwk1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0878271041693101
"ESSFdc3",0.365427940903777,0.3759217415272,NA,NA,NA,NA,0.269413763590826,NA,0.522618392605351,0.795952704784017,NA,0.205119709309702,0.0768379178256023,0.0835850397337551,0.271684023786062,0.275037714773668,0.483665839682584,NA,0.164787399388251,NA,NA,NA
"ESSFdcw",NA,NA,NA,NA,NA,NA,NA,0.202653269610663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESSFwcp",NA,NA,NA,NA,NA,0.809264721809871,NA,0.692171969395583,NA,NA,0.814072604754307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESSFwk1",NA,0.376862529296118,NA,NA,0.272719895692711,NA,NA,NA,NA,NA,NA,0.0609735200505324,0.0836441909547817,0.156128765905446,0.0713904107933473,0.245118247153739,0.0737066769333194,NA,0.240395674916519,0.132574959402176,NA,NA
"ICHmc1",NA,NA,NA,0.0575807436772418,NA,NA,NA,NA,NA,NA,NA,0.115735910625838,0.209496119185832,NA,0.173894198027488,NA,NA,NA,NA,0.242886703200647,NA,NA
"ICHmm",NA,NA,0.99,0.428633235230434,NA,NA,NA,NA,NA,NA,NA,0.130497788436354,0.0853503403560964,NA,NA,NA,0.0896090190929241,NA,NA,NA,NA,0.159206758483275
"ICHvc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0917188474509447,NA,0.0733202974340043,0.0881158482545152,NA,NA,NA,NA,0.159057602798614,NA,NA
"ICHvk2",NA,NA,NA,NA,0.579268086217449,NA,NA,NA,0.0708648874438301,0.102646669904583,NA,NA,NA,0.231637908325614,NA,NA,0.0517144653378375,NA,0.29858505561756,0.243903888897899,NA,NA
"ICHwc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0724382690786041,0.0578496354281314,0.0564064064617555,NA,NA,NA,NA,NA,NA,NA,NA
"ICHwk3",0.0688157017862645,NA,NA,0.263962376698448,0.0739572543329946,NA,0.070674175933319,NA,0.110640402077667,NA,NA,NA,NA,NA,NA,0.226757211556963,NA,NA,0.0573657547850372,NA,NA,0.180027892905306
"ICHwk4",0.10308225410798,0.164229363504145,NA,NA,NA,0.106591814277247,NA,NA,NA,NA,NA,NA,0.135568847198429,0.0623671255690803,0.117694054012796,0.15008653200123,NA,NA,0.0885486814967248,0.183020460942714,NA,0.138057707933213
"MSxv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.240672096031476,NA
"SBSdh2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1445079316744,0.105890078558304,0.0872356098936341,NA,NA,NA,NA,NA,NA,0.0575775771421794
"SBSmc1",0.45267410320198,0.0729863656725379,NA,NA,NA,NA,0.385895731040102,NA,0.170983146461511,NA,NA,0.122573793839596,0.0754422313302916,0.0804380001210341,NA,0.0633381965952224,0.104579462053054,0.12816745252369,0.0553774246377216,NA,NA,NA
"SBSmc2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.413526766431925,NA
"SBSmc3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86183254747631,NA,NA,0.335801137536598,NA
"SBSmk1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121239574644592
"SBSvk",NA,NA,NA,NA,0.0601116499598691,NA,0.0562851543897638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051804355469012,NA,NA,NA
"SBSwk1",NA,NA,NA,0.211061542498671,NA,NA,NA,NA,NA,NA,NA,0.0712010567281734,0.0507653553008098,NA,NA,NA,0.0573479032171944,NA,NA,NA,NA,0.123680570286991
