"","IPSL-CM5A-MR-rcp45","MPI-ESM-LR-rcp85","CSIRO-Mk3-6-0-rcp45","CNRM-CM5-rcp85","MIROC-ESM-rcp45","GISS-E2R-rcp45","GISS-E2R-rcp85","INM-CM4-rcp45","MIROC5-rcp45","CESM1-CAM5-rcp45","INM-CM4-rcp85","CCSM4-rcp45","GFDL-CM3-rcp45","MPI-ESM-LR-rcp45","MIROC5-rcp85","MRI-CGCM3-rcp45","MRI-CGCM3-rcp85","CNRM-CM5-rcp45","GFDL-CM3-rcp85","HadGEM2-ES-rcp45","ACCESS1-0-rcp45","HadGEM2-ES-rcp85"
"ESSFdc3",0.242946293054845,0.682401337285534,NA,NA,NA,NA,NA,NA,NA,0.738080861781092,NA,NA,NA,NA,NA,0.326377683803975,0.333196818809272,0.121177379373498,NA,NA,NA,NA
"ESSFmk",NA,NA,NA,NA,NA,0.222423365859567,NA,0.0676112453480585,NA,NA,0.284034058193997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESSFmm2",NA,NA,NA,NA,NA,NA,NA,0.109239421771436,NA,NA,0.11244759280427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESSFwk1",NA,0.217844058332376,NA,NA,0.388193765173245,0.263285644222474,0.116723148467234,0.231083344018568,0.05681715180168,0.206468512534045,0.0529970431668444,0.088847044824985,0.159939691915397,0.170339192224238,0.0889206853590828,0.43955035348653,0.171250213377359,NA,0.458636325467334,0.116709402857381,NA,NA
"ESSFwk2",NA,NA,NA,NA,NA,NA,NA,0.0652364959969766,NA,NA,0.119862516466572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESSFwv",NA,NA,NA,NA,NA,0.279178766485989,NA,0.129172949724466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ICHmc1",0.130475401351223,NA,NA,0.262994607434833,NA,NA,0.184478493027253,NA,0.101102439186359,NA,NA,0.211071477350671,0.272046624813285,0.12320555401692,0.0999205366930518,NA,NA,NA,NA,NA,NA,NA
"ICHmm",0.0672011124333676,NA,0.99,0.676184340902395,NA,NA,0.0850922430490247,NA,0.203095360626391,NA,NA,NA,NA,NA,NA,0.0877655363703601,0.270351709985367,NA,0.248797827544283,NA,NA,0.35470879666029
"ICHvc",NA,NA,NA,NA,0.0563145647345574,NA,0.333198253471682,NA,0.384298632453087,NA,NA,0.206363010129812,0.192293048867512,0.160766476202791,0.319554894919336,NA,NA,NA,NA,0.327305931517578,NA,0.133477159304306
"ICHvk2",NA,0.0897546043820887,NA,NA,0.31304403919544,0.204246984682888,NA,0.140673813865271,NA,NA,0.273530441122967,NA,NA,NA,NA,NA,NA,NA,NA,0.545984665625042,NA,NA
"ICHwc",NA,NA,NA,NA,NA,NA,0.0646196873100459,0.0985537933308206,0.0987262027680078,NA,NA,0.163678481484524,0.0880079275006354,0.218211948644063,0.234236206931759,NA,NA,NA,NA,NA,NA,NA
"ICHwk3",NA,NA,NA,NA,0.102956530184997,NA,NA,0.0978502989213167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0647146460394175,NA,NA,NA
"ICHwk4",NA,NA,NA,0.050821051662772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0671697052554773,NA,NA,NA,NA,NA
"MSxv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.364320122222927,NA
"SBSdh2",NA,NA,NA,NA,NA,NA,0.0894831833952447,NA,0.0600863364575131,NA,NA,0.130511080421427,0.155920506808977,0.0967749148515876,0.0736567070989737,0.0805911626322942,0.118807341436536,NA,NA,NA,NA,0.0938223594537917
"SBSmc1",0.342667788488559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0757152637068406,NA,NA,NA,NA,NA,NA
"SBSmc2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.605076020140203,NA
"SBSmc3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8688226206265,NA,NA,NA,NA
"SBSmk1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0793458957300128
"SBSun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.162756819516764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SBSvk",NA,NA,NA,NA,0.0633199163617442,NA,0.0555235752070245,NA,0.105873876706963,NA,NA,0.10372790448397,0.0767366240916789,NA,NA,NA,NA,NA,NA,NA,NA,0.0586823866445419
"SBSwk1",0.207381144820294,NA,NA,NA,NA,NA,0.0620529794376268,NA,NA,NA,NA,0.0515229624518778,0.0628340826900358,0.187938100983866,0.161953587623913,NA,NA,NA,0.162311677895601,NA,NA,0.261290867855655
