,Acb,Act,At,Ba,Bg,Bl,Bp,Cw,Dr,Ep,Fd,Hm,Hw,La,Lt,Lw,Mb,Pa,Pl,Pw,Py,Qg,Ra,Sb,Se,Ss,Sw,Sx,Sxs,Yc
Acb,1,-0.083881858,0.061741591,-0.044772243,-0.024909391,-0.052429827,-0.011503018,-0.089056974,-0.053132175,0.05098975,-0.078961936,-0.03793905,-0.079698038,-0.006283613,0.20787469,-0.050095566,-0.040281361,-0.027682197,0.028350104,-0.039698059,-0.039898695,-0.01207457,-0.013640007,0.273889204,-0.061568336,-0.041893369,0.585690132,-0.078498404,-0.013640007,-0.040474219
Act,-0.083881858,1,0.205529536,0.068962643,0.22811684,0.046524518,0.030123304,0.359670263,0.304286208,0.505587973,0.105690854,-0.183298208,0.181602262,-0.035068222,-0.045296685,0.052894141,0.434171454,-0.154491599,-0.223096434,0.158823966,-0.130792422,0.058530962,0.067455424,-0.12457113,-0.241671622,-0.008282223,-0.106513368,0.348604517,0.125651411,-0.173363298
At,0.061741591,0.205529536,1,-0.199795955,0.021432889,0.050015295,-0.075298453,-0.091045562,-0.347801807,0.483190088,0.388128802,-0.236868396,-0.061688642,-0.041132365,-0.026447244,0.313625219,-0.263680717,-0.157045526,0.308677905,0.174489871,0.146940787,-0.079039815,-0.08928712,0.090065656,-0.390753391,-0.274232881,0.136328074,0.556942641,-0.08928712,-0.26494316
Ba,-0.044772243,0.068962643,-0.199795955,1,-0.061181043,-0.121140384,0.232687147,0.294057028,0.269314112,-0.046313735,-0.146074322,0.388996404,0.370654632,-0.01871779,-0.024177268,-0.129630765,0.155334423,-0.070859187,-0.286377089,-0.084154868,-0.118851265,-0.035968042,-0.040631205,-0.098526308,-0.007985601,0.297389898,-0.067355294,-0.175156502,0.303117081,0.412165262
Bg,-0.024909391,0.22811684,0.021432889,-0.061181043,1,-0.12569961,0.028388597,0.264252556,0.202004512,0.245915645,0.157069088,-0.062876133,0.063910895,-0.01041379,-0.013451214,0.188449302,0.313154228,-0.04587752,-0.159659018,0.26790703,0.044129203,0.20651776,0.139353729,-0.054815889,-0.092942207,-0.025999584,-0.037473649,-0.041293205,-0.022605492,-0.053161805
Bl,-0.052429827,0.046524518,0.050015295,-0.121140384,-0.12569961,1,-0.053913817,-0.215358775,-0.355893167,0.004767799,-0.180263368,-0.076194182,-0.085752061,0.042116871,-0.027580627,0.032128258,-0.28751947,0.114856591,0.120313889,0.005032226,-0.244274293,-0.087923895,-0.099322998,-0.107798246,0.516306693,-0.302479984,-0.108535011,0.251921026,-0.001656584,-0.273838207
Bp,-0.011503018,0.030123304,-0.075298453,0.232687147,0.028388597,-0.053913817,1,0.065330696,0.056323394,0.013838994,0.041546895,0.140105021,0.117853773,-0.00480903,-0.006211696,-0.038339582,0.091998697,-0.021185984,-0.106383388,0.060873625,-0.030535622,-0.009241017,-0.010439091,-0.025313673,0.15098041,-0.002714945,-0.017305123,-0.071760263,-0.010439091,0.21037036
Cw,-0.089056974,0.359670263,-0.091045562,0.294057028,0.264252556,-0.215358775,0.065330696,1,0.494389372,0.257468634,0.054231008,0.096201091,0.655238471,-0.037231767,-0.048091278,0.111673869,0.351343097,-0.152990068,-0.337147787,0.325195619,-0.108306549,0.035538891,0.047270115,-0.195979793,-0.227645714,0.41138114,-0.133977177,-0.06149088,0.15964666,0.291012167
Dr,-0.053132175,0.304286208,-0.347801807,0.269314112,0.202004512,-0.355893167,0.056323394,0.494389372,1,0.081619542,-0.090486521,-0.055373721,0.330116883,-0.0222128,-0.02869168,-0.166596575,0.671710539,-0.09785757,-0.391827182,-0.027941734,-0.127519265,0.12815533,0.169385587,-0.11692327,-0.166384613,0.519734973,-0.079931964,-0.331458993,0.234384512,0.141700063
Ep,0.05098975,0.505587973,0.483190088,-0.046313735,0.245915645,0.004767799,0.013838994,0.257468634,0.081619542,1,0.367153604,-0.168820097,0.156246112,-0.034774426,-0.044917196,0.282776812,0.229352538,-0.144945689,-0.02662648,0.300041973,0.10059527,-0.048317496,0.017420921,-0.10038758,-0.301350696,-0.126982742,-0.013413662,0.359223509,0.039486444,-0.201280541
Fd,-0.078961936,0.105690854,0.388128802,-0.146074322,0.157069088,-0.180263368,0.041546895,0.054231008,-0.090486521,0.367153604,1,-0.176316188,-0.01504159,-0.020463679,-0.05155947,0.446259667,0.082729458,-0.045824559,0.093889108,0.278377045,0.38497023,0.101242219,0.122216652,-0.181042132,-0.239997611,-0.182594424,-0.132363051,0.13844438,-0.086648473,-0.179007716
