"","Acb","Act","At","Ba","Bb","Bc","Bg","Bl","Bm","Bp","Cw","Dr","Ep","Fd","Gp","Hm","Hw","La","Lt","Lw","Mb","Oa","Ot","Oy","Pa","Pf","Pj","Pl","Ps","Pw","Py","Qb","Qc","Qg","Ra","Sb","Ss","Sx","Yc"
"Acb",1,-0.809826596939466,0.160347560922881,-0.804311914674753,-0.329998229038791,-0.831327336748857,-0.857735656468166,-0.574931871968702,-0.758528399627484,-0.791443370949837,-0.684658655339946,-0.817661068993162,-0.326686495730293,-0.720363381390914,-0.614506086643517,-0.816279509154109,-0.70783440035914,-0.611889299368603,-0.839209282501594,-0.777475517923824,-0.857168034614383,-0.792554859739287,-0.628612883765479,-0.800250259999716,-0.815652409780069,-0.736708965818466,-0.849488501743492,-0.38934916382333,-0.682555963146324,-0.844184664221893,-0.802583059423979,-0.637703103532032,-0.67508368708458,-0.807139596670859,-0.862940136332331,-0.644492873401363,-0.831293670270494,0.0621723420370994,-0.856613253591267
"Act",-0.809826596939466,1,-0.535113807957559,-0.642887000873932,-0.703084781054443,-0.723845924663827,-0.409305770826884,-0.525491818416448,-0.577283812092598,-0.296553113055262,-0.219448931526738,-0.317032498385532,-0.287598602384555,-0.473260918736135,-0.415856323410507,-0.856776691373254,-0.509680825776431,-0.414189438054169,-0.761509246586489,-0.705532076506248,-0.000193669459558493,-0.647347600288674,-0.424820553910718,-0.660207260893048,-0.86547103752558,-0.562758823662214,-0.804560095738596,-0.619700352705076,-0.489533598703348,-0.605757436702586,-0.839859787944288,-0.430577343316983,-0.470155187163496,-0.496003648081529,-0.591902728699593,-0.867428192885529,-0.638974460635144,-0.270394459392111,-0.847766600656528
"At",0.160347560922881,-0.535113807957559,1,-0.816158116809968,0.292658292411305,-0.583943108361105,-0.721222214503548,-0.583416606588755,-0.429862935174547,-0.469294866360958,-0.650379481801447,-0.861004458245578,-0.216593234886538,-0.359538039304524,-0.294221730358558,-0.803548783496184,-0.640642653748453,-0.293044743287954,-0.612088695515125,-0.432838390310898,-0.84126338430899,-0.500431303656362,-0.300550880920484,-0.513593997120582,-0.780742001540216,-0.363851756300866,-0.39824474941705,-0.287274438855391,-0.354277208126441,-0.477938458351127,-0.638548266054753,-0.304614993166606,-0.336535185478594,-0.542380834709869,-0.651132495655134,-0.584259456306491,-0.830336453965063,-0.204173828354059,-0.818274743438403
"Ba",-0.804311914674753,-0.642887000873932,-0.816158116809968,1,-0.717427950813033,-0.734537013673832,-0.834660035507117,-0.606222550313998,-0.598290301659017,0.0527935492769008,-0.25681483317021,-0.540103260893637,-0.786130419033594,-0.695650824212932,-0.437385893124319,-0.315988254095436,-0.235864318568481,-0.435613213099081,-0.769710839378052,-0.84985575695215,-0.650776712674649,-0.66385579020809,-0.446923185515959,-0.675978709304909,-0.837356583225488,-0.582851028550319,-0.808783146190933,-0.763117128635193,-0.511299559244734,-0.834968687416708,-0.869140819711354,-0.453051703369866,-0.492909371906285,-0.698419607057792,-0.78708676224392,-0.847371141546535,-0.410749507646389,-0.555515398848421,-0.402867432800051
"Bb",-0.329998229038791,-0.703084781054443,0.292658292411305,-0.717427950813033,1,-0.914484476821724,-0.834760737556178,-0.427927040162605,-0.931868792609945,-0.94880323131949,-0.533105418713043,-0.733342096683532,-0.0101998995983921,-0.582271089183555,-0.870183152494251,-0.75385951068923,-0.562781239888512,-0.866051026974934,-0.930790240405232,-0.666729991842992,-0.815297554512173,-0.913087737379064,-0.892565519275672,-0.915105526548499,-0.756810273651813,-0.898554904236214,-0.938109343178492,-0.385238160169999,-0.89175067899057,-0.792892108989594,-0.708824540743534,-0.907085768918281,-0.917611362836984,-0.901005231590178,-0.92991620218984,-0.532741636920753,-0.77092390205942,0.0881489215743086,-0.824771531907816
"Bc",-0.831327336748857,-0.723845924663827,-0.583943108361105,-0.734537013673832,-0.914484476821724,1,-0.837378393538146,-0.519552206453894,0.178858186973737,-0.907070100388115,-0.482596144545685,-0.70109024695752,-0.718312236007953,-0.237259361750771,-0.803352555502978,-0.648884039567052,-0.432400307289699,-0.792605651778527,-0.909495974568972,-0.688306045072769,-0.780455225215882,-0.477375916103443,-0.816137437799019,-0.254284702915693,-0.767963300990202,-0.855903727966584,-0.921551688358029,-0.459494764324036,-0.690472039332559,-0.540491312382972,-0.627855869210509,-0.828997115963904,-0.574757245576895,-0.876090225722033,-0.728946410189244,-0.701281008640119,-0.782231065650541,-0.499880522294778,-0.829435207784045
"Bg",-0.857735656468166,-0.409305770826884,-0.721222214503548,-0.834660035507117,-0.834760737556178,-0.837378393538146,1,-0.706519927813321,-0.748744241245373,-0.666222566219954,-0.111524930568396,-0.522806286312459,-0.477878653778961,-0.267586139191493,-0.0266392332224147,-0.863695274076976,-0.524176062012924,-0.593307640632129,-0.862771378645393,-0.59724314344428,-0.427605076714871,-0.718361728557102,-0.608991293506854,-0.694117874415695,-0.861694213670161,-0.728656750093377,-0.887322088245012,-0.673521333647745,-0.668284923106356,-0.649937790435304,-0.799321955062174,-0.617498878654908,-0.657140720983107,-0.580800486892961,-0.769541912549156,-0.842494215932023,-0.816783826891931,-0.59165734821957,-0.885974848070906
"Bl",-0.574931871968702,-0.525491818416448,-0.583416606588755,-0.606222550313998,-0.427927040162605,-0.519552206453894,-0.706519927813321,1,-0.370993941669565,-0.344235180775887,-0.654309641813668,-0.82105828089566,-0.607462241051049,-0.638313304338949,-0.24985526452674,-0.525008109020186,-0.587175542130922,-0.0324343664268904,-0.540058954731391,-0.492375009372154,-0.806068034992951,-0.437741590873243,-0.255218833990495,-0.450325896791201,-0.165452629548502,-0.236209904690435,-0.618157065510226,-0.296023886577369,-0.30294287495546,-0.499809192025924,-0.822983156764332,-0.258662546499682,-0.286776412686005,-0.478794858160339,-0.587822842560092,-0.730406115589268,-0.772177322091868,0.278859030066655,-0.766511043203403
"Bm",-0.758528399627484,-0.577283812092598,-0.429862935174547,-0.598290301659017,-0.931868792609945,0.178858186973737,-0.748744241245373,-0.370993941669565,1,-0.947080250926804,-0.409180689189781,-0.615287532606945,-0.570386436654298,-0.317017662242315,-0.875189948987367,-0.360934444001806,-0.436697880504326,-0.870388279778489,-0.90554780153113,-0.541321099061168,-0.718663872891885,-0.873925669238076,-0.901387818865997,-0.803239117581033,-0.649176984151581,-0.885800687030021,-0.915691132485933,-0.234433844152516,-0.888523316638639,-0.141034282190851,-0.478484095381411,-0.918558653543692,-0.836242010007091,-0.871612286768623,-0.901987744269428,-0.560524193674028,-0.663170758423293,-0.353791469188695,-0.733570784724568
"Bp",-0.791443370949837,-0.296553113055262,-0.469294866360958,0.0527935492769008,-0.94880323131949,-0.907070100388115,-0.666222566219954,-0.344235180775887,-0.947080250926804,1,-0.152095408297776,-0.421129712361171,-0.400042763195294,-0.201226052050034,-0.900519352791583,-0.308424827347636,-0.0745377545597311,-0.895816869721524,-0.925108090229931,-0.58338916408702,-0.492925927170198,-0.914047603709924,-0.926109458453995,-0.915121310445552,-0.689030170775515,-0.906931311646308,-0.934358851010005,-0.42512673587825,-0.910775425424697,-0.586564481164622,-0.629613025508797,-0.942820043303739,-0.946918757149362,-0.893762179082569,-0.922023744446729,-0.602178151610966,-0.703157824940984,-0.102313504269178,-0.228824798354689
