"","Spp","Risk","Weight"
"1","Bl",2,0.000358172021358034
"2","Cw",2,6.66666666665796e-06
"3","Fd",2,-1.07929166958324e-16
"4","Lw",2,4.25218732100282e-16
"5","Pl",2,0.0577605613302746
"6","Sx",2,0.9518745999817
"7","Bl",4,0.000195251096318919
"8","Cw",4,7.33754699254354e-05
"9","Fd",4,6.29665947721746e-05
"10","Lw",4,-3.4936117296744e-16
"11","Pl",4,0.120159628338389
"12","Sx",4,0.889508778500595
"13","Bl",6,0.000576744774270302
"14","Cw",6,0.00133702290780493
"15","Fd",6,0.000715411944761657
"16","Lw",6,-1.34205417808508e-17
"17","Pl",6,0.201814887365101
"18","Sx",6,0.805555933008062
"19","Bl",8,0.0018074053530338
"20","Cw",8,0.00945134149863762
"21","Fd",8,0.00282539660881532
"22","Lw",8,2.9015878834771e-17
"23","Pl",8,0.265218140314586
"24","Sx",8,0.730697716224927
"25","Bl",10,0.00409153172023708
"26","Cw",10,0.0283711088095655
"27","Fd",10,0.00588704005500264
"28","Lw",10,2.99171035677279e-05
"29","Pl",10,0.2978907615426
"30","Sx",10,0.673729640769027
"31","Bl",12,0.00806164729855344
"32","Cw",12,0.0524300780259573
"33","Fd",12,0.00978179095123329
"34","Lw",12,0.00016408802491783
"35","Pl",12,0.311449378989324
"36","Sx",12,0.628113016710014
"37","Bl",14,0.0130323592596807
"38","Cw",14,0.0751436774229922
"39","Fd",14,0.0155734563468719
"40","Lw",14,0.000469639846948028
"41","Pl",14,0.31540401894546
"42","Sx",14,0.590376848178047
"43","Bl",16,0.0179277941928299
"44","Cw",16,0.0964023729790956
"45","Fd",16,0.0238120153806804
"46","Lw",16,0.000744172779309687
"47","Pl",16,0.313323046465896
"48","Sx",16,0.557790598202188
"49","Bl",18,0.0214800106109186
"50","Cw",18,0.117037864699684
"51","Fd",18,0.0332023070487054
"52","Lw",18,0.000891719308502599
"53","Pl",18,0.307842137754232
"54","Sx",18,0.529545960577957
"55","Bl",20,0.023980903558966
"56","Cw",20,0.135247329885957
"57","Fd",20,0.0430646036560046
"58","Lw",20,0.000920520446346805
"59","Pl",20,0.301357275736738
"60","Sx",20,0.505429366715987
"61","Bl",22,0.0259761999609912
"62","Cw",22,0.150552150994806
"63","Fd",22,0.0529451940786717
"64","Lw",22,0.000893895590616468
"65","Pl",22,0.294855554408686
"66","Sx",22,0.484777004966228
"67","Bl",24,0.0276823111271444
"68","Cw",24,0.163107063833766
"69","Fd",24,0.0626061262760599
"70","Lw",24,0.000846467375855871
"71","Pl",24,0.288750340486454
"72","Sx",24,0.46700769090072
"73","Bl",26,0.0292314715915739
"74","Cw",26,0.173300315216446
"75","Fd",26,0.0721588449609118
"76","Lw",26,0.000796147233303829
"77","Pl",26,0.28302383663002
"78","Sx",26,0.451489384367745
"79","Bl",28,0.0307396244060975
"80","Cw",28,0.181439241109521
"81","Fd",28,0.0817436677087175
"82","Lw",28,0.000744646841037848
"83","Pl",28,0.27761026853324
"84","Sx",28,0.437722551401387
"85","Bl",30,0.0322242559634763
"86","Cw",30,0.188021621597819
"87","Fd",30,0.0912840346011898
"88","Lw",30,0.000699872871820493
"89","Pl",30,0.272429088574891
"90","Sx",30,0.425341126390803
"91","Bl",32,0.0336536227451976
"92","Cw",32,0.193397615783846
"93","Fd",32,0.100758893158564
"94","Lw",32,0.000660482804174678
"95","Pl",32,0.267433884313855
"96","Sx",32,0.414095501194363
"97","Bl",34,0.0350548048709651
"98","Cw",34,0.197916074577113
"99","Fd",34,0.109739537986171
"100","Lw",34,0.00062579669133013
"101","Pl",34,0.262750368781807
"102","Sx",34,0.403906348992439
"103","Bl",36,0.0364386565906522
"104","Cw",36,0.201867803749004
"105","Fd",36,0.117896495456378
"106","Lw",36,0.000594976649675965
"107","Pl",36,0.25842818421883
"108","Sx",36,0.39466933000909
"109","Bl",38,0.0377862070996914
"110","Cw",38,0.205258699976378
"111","Fd",38,0.125064220597054
"112","Lw",38,0.000567358780080396
"113","Pl",38,0.254409623777951
"114","Sx",38,0.386192374414797
"115","Bl",40,0.0390457713802605
"116","Cw",40,0.208054802576908
"117","Fd",40,0.131265503599627
"118","Lw",40,0.000542445657721638
"119","Pl",40,0.250593145177067
"120","Sx",40,0.378288091773838
"121","Bl",42,0.040222777708331
"122","Cw",42,0.210354517479249
"123","Fd",42,0.136652390588527
"124","Lw",42,0.000519336658568176
"125","Pl",42,0.246963091464402
"126","Sx",42,0.370892989472456
"127","Bl",44,0.0413279969994628
"128","Cw",44,0.212246651058952
"129","Fd",44,0.141356143700336
"130","Lw",44,0.00049858983165163
"131","Pl",44,0.243509608486598
"132","Sx",44,0.363958655725615
"133","Bl",46,0.0423612139695624
"134","Cw",46,0.213654341736626
"135","Fd",46,0.145340820599957
"136","Lw",46,0.000479824093429073
"137","Pl",46,0.240116279382207
"138","Sx",46,0.357301434161561
"139","Bl",48,0.0433778182965835
"140","Cw",48,0.214984281964377
"141","Fd",48,0.149028239730121
"142","Lw",48,0.000462762043689545
"143","Pl",48,0.237019657476532
"144","Sx",48,0.351206008343267
"145","Bl",50,0.0443453214010728
"146","Cw",50,0.216209783206616
"147","Fd",50,0.152420996970953
"148","Lw",50,0.000447068363324253
"149","Pl",50,0.23416519482345
"150","Sx",50,0.345585346159221
