BECvar_site,BECvar_seed,HTp_pred
BAFAun,BAFAun,1.0000
BAFAun,BAFAunp,0.8714
BAFAun,BGxh1,0.0514
BAFAun,BGxh2,0.0928
BAFAun,BGxh3,0.1449
BAFAun,BGxw1,0.1904
BAFAun,BGxw2,0.2598
BAFAun,BWBSdk,0.6804
BAFAun,BWBSmk,0.5256
BAFAun,BWBSmw,0.5568
BAFAun,BWBSvk,0.7824
BAFAun,BWBSwk1,0.7127
BAFAun,BWBSwk2,0.6794
BAFAun,BWBSwk3,0.7227
BAFAun,CDFmm,0.1086
BAFAun,CMAun,0.9362
BAFAun,CMAunp,0.7823
BAFAun,CMAwh,0.5877
BAFAun,CWHdm,0.2462
BAFAun,CWHds1,0.3683
BAFAun,CWHds2,0.4972
BAFAun,CWHmm1,0.3673
BAFAun,CWHmm2,0.4478
BAFAun,CWHms1,0.5460
BAFAun,CWHms2,0.4619
BAFAun,CWHun,0.5724
BAFAun,CWHvh1,0.2454
BAFAun,CWHvh2,0.4183
BAFAun,CWHvh3,0.4078
BAFAun,CWHvm1,0.3716
BAFAun,CWHvm2,0.5187
BAFAun,CWHwh1,0.3738
BAFAun,CWHwh2,0.5043
BAFAun,CWHwm,0.7271
BAFAun,CWHws1,0.5524
BAFAun,CWHws2,0.7092
BAFAun,CWHxm1,0.1951
BAFAun,CWHxm2,0.3067
BAFAun,ESSFdc1,0.6913
BAFAun,ESSFdc2,0.6461
BAFAun,ESSFdc3,0.6794
BAFAun,ESSFdcp,0.8068
BAFAun,ESSFdcw,0.7640
BAFAun,ESSFdk1,0.7064
BAFAun,ESSFdk2,0.7809
BAFAun,ESSFdkp,0.8557
BAFAun,ESSFdkw,0.8230
BAFAun,ESSFdv1,0.6842
BAFAun,ESSFdv2,0.7429
BAFAun,ESSFdvp,0.7936
BAFAun,ESSFdvw,0.7668
BAFAun,ESSFmc,0.8665
BAFAun,ESSFmcp,0.9762
BAFAun,ESSFmh,0.6073
BAFAun,ESSFmk,0.8263
BAFAun,ESSFmkp,0.8971
BAFAun,ESSFmm1,0.8604
BAFAun,ESSFmm2,0.8671
BAFAun,ESSFmmp,0.9085
BAFAun,ESSFmmw,0.8439
BAFAun,ESSFmv1,0.7315
BAFAun,ESSFmv2,0.8543
BAFAun,ESSFmv3,0.8680
BAFAun,ESSFmv4,0.8380
BAFAun,ESSFmvp,0.9482
BAFAun,ESSFmw,0.7073
BAFAun,ESSFmw1,0.6418
BAFAun,ESSFmw2,0.6638
BAFAun,ESSFmwp,0.7897
BAFAun,ESSFmww,0.7166
BAFAun,ESSFun,0.9275
BAFAun,ESSFunp,0.9732
BAFAun,ESSFvc,0.7635
BAFAun,ESSFvcp,0.8750
BAFAun,ESSFvcw,0.8359
BAFAun,ESSFwc2,0.7980
BAFAun,ESSFwc3,0.9092
BAFAun,ESSFwc4,0.7467
BAFAun,ESSFwcp,0.9130
BAFAun,ESSFwcw,0.8449
BAFAun,ESSFwh1,0.6874
BAFAun,ESSFwh2,0.6642
BAFAun,ESSFwh3,0.6535
BAFAun,ESSFwk1,0.7844
BAFAun,ESSFwk2,0.8743
BAFAun,ESSFwm,0.8193
BAFAun,ESSFwm1,0.7085
BAFAun,ESSFwm2,0.7387
BAFAun,ESSFwm3,0.7287
BAFAun,ESSFwm4,0.6680
BAFAun,ESSFwmp,0.8612
BAFAun,ESSFwmw,0.8146
BAFAun,ESSFwv,0.8814
BAFAun,ESSFwvp,0.9508
BAFAun,ESSFxc1,0.6221
BAFAun,ESSFxc2,0.7001
BAFAun,ESSFxc3,0.7133
BAFAun,ESSFxcp,0.7585
BAFAun,ESSFxcw,0.7396
BAFAun,ESSFxv1,0.8061
BAFAun,ESSFxv2,0.7890
BAFAun,ESSFxvp,0.8452
BAFAun,ESSFxvw,0.7777
BAFAun,ICHdk,0.5364
BAFAun,ICHdm,0.5238
BAFAun,ICHdw1,0.3632
BAFAun,ICHdw3,0.4808
BAFAun,ICHdw4,0.3480
BAFAun,ICHmc1,0.7051
BAFAun,ICHmc2,0.5758
BAFAun,ICHmk1,0.4892
BAFAun,ICHmk2,0.5286
BAFAun,ICHmk3,0.5789
BAFAun,ICHmk4,0.5985
BAFAun,ICHmm,0.7033
BAFAun,ICHmw1,0.6272
BAFAun,ICHmw2,0.4843
BAFAun,ICHmw3,0.5176
BAFAun,ICHmw4,0.5474
BAFAun,ICHmw5,0.5029
BAFAun,ICHvc,0.7513
BAFAun,ICHvk1,0.6617
BAFAun,ICHvk2,0.7301
BAFAun,ICHwc,0.7826
BAFAun,ICHwk1,0.6221
BAFAun,ICHwk2,0.5992
BAFAun,ICHwk3,0.6796
BAFAun,ICHwk4,0.6817
BAFAun,ICHxw,0.2599
BAFAun,IDFdc,0.4515
BAFAun,IDFdk1,0.4061
BAFAun,IDFdk2,0.4184
BAFAun,IDFdk3,0.4491
BAFAun,IDFdk4,0.4625
BAFAun,IDFdk5,0.4156
BAFAun,IDFdm1,0.3347
BAFAun,IDFdm2,0.3345
BAFAun,IDFdw,0.5102
BAFAun,IDFmw1,0.3267
BAFAun,IDFmw2,0.3496
BAFAun,IDFww,0.3905
BAFAun,IDFww1,0.2764
BAFAun,IDFxc,0.2624
BAFAun,IDFxh1,0.2400
BAFAun,IDFxh2,0.2854
BAFAun,IDFxh4,0.2160
BAFAun,IDFxk,0.2800
BAFAun,IDFxm,0.3669
BAFAun,IDFxw,0.3027
BAFAun,IMAun,0.9130
BAFAun,IMAunp,0.7705
BAFAun,MHmm1,0.6189
BAFAun,MHmm2,0.8048
BAFAun,MHmmp,0.8578
BAFAun,MHun,0.8766
BAFAun,MHunp,0.9528
BAFAun,MHwh,0.5461
BAFAun,MHwh1,0.5932
BAFAun,MHwhp,0.6341
BAFAun,MSdc1,0.5819
BAFAun,MSdc2,0.6992
