BECvar_site,BECvar_seed,HTp_pred
BAFAun,BAFAun,1.0000
BAFAun,BAFAunp,0.9591
BAFAun,BGxh1,0.4061
BAFAun,BGxh2,0.4859
BAFAun,BGxh3,0.5562
BAFAun,BGxw1,0.6043
BAFAun,BGxw2,0.6641
BAFAun,BWBSdk,0.8897
BAFAun,BWBSmk,0.8226
BAFAun,BWBSmw,0.8371
BAFAun,BWBSvk,0.9282
BAFAun,BWBSwk1,0.9023
BAFAun,BWBSwk2,0.8893
BAFAun,BWBSwk3,0.9061
BAFAun,CDFmm,0.5096
BAFAun,CMAun,0.9802
BAFAun,CMAunp,0.9282
BAFAun,CMAwh,0.8510
BAFAun,CWHdm,0.6534
BAFAun,CWHds1,0.7384
BAFAun,CWHds2,0.8088
BAFAun,CWHmm1,0.7378
BAFAun,CWHmm2,0.7835
BAFAun,CWHms1,0.8322
BAFAun,CWHms2,0.7910
BAFAun,CWHun,0.8441
BAFAun,CWHvh1,0.6527
BAFAun,CWHvh2,0.7675
BAFAun,CWHvh3,0.7616
BAFAun,CWHvm1,0.7404
BAFAun,CWHvm2,0.8193
BAFAun,CWHwh1,0.7417
BAFAun,CWHwh2,0.8123
BAFAun,CWHwm,0.9078
BAFAun,CWHws1,0.8351
BAFAun,CWHws2,0.9009
BAFAun,CWHxm1,0.6088
BAFAun,CWHxm2,0.6985
BAFAun,ESSFdc1,0.8940
BAFAun,ESSFdc2,0.8758
BAFAun,ESSFdc3,0.8893
BAFAun,ESSFdcp,0.9369
BAFAun,ESSFdcw,0.9215
BAFAun,ESSFdk1,0.8998
BAFAun,ESSFdk2,0.9277
BAFAun,ESSFdkp,0.9538
BAFAun,ESSFdkw,0.9426
BAFAun,ESSFdv1,0.8912
BAFAun,ESSFdv2,0.9137
BAFAun,ESSFdvp,0.9322
BAFAun,ESSFdvw,0.9225
BAFAun,ESSFmc,0.9574
BAFAun,ESSFmcp,0.9927
BAFAun,ESSFmh,0.8595
BAFAun,ESSFmk,0.9437
BAFAun,ESSFmkp,0.9676
BAFAun,ESSFmm1,0.9554
BAFAun,ESSFmm2,0.9576
BAFAun,ESSFmmp,0.9713
BAFAun,ESSFmmw,0.9498
BAFAun,ESSFmv1,0.9094
BAFAun,ESSFmv2,0.9533
BAFAun,ESSFmv3,0.9579
BAFAun,ESSFmv4,0.9478
BAFAun,ESSFmvp,0.9840
BAFAun,ESSFmw,0.9002
BAFAun,ESSFmw1,0.8740
BAFAun,ESSFmw2,0.8830
BAFAun,ESSFmwp,0.9308
BAFAun,ESSFmww,0.9038
BAFAun,ESSFun,0.9774
BAFAun,ESSFunp,0.9918
BAFAun,ESSFvc,0.9213
BAFAun,ESSFvcp,0.9603
BAFAun,ESSFvcw,0.9470
BAFAun,ESSFwc2,0.9338
BAFAun,ESSFwc3,0.9715
BAFAun,ESSFwc4,0.9151
BAFAun,ESSFwcp,0.9728
BAFAun,ESSFwcw,0.9501
BAFAun,ESSFwh1,0.8924
BAFAun,ESSFwh2,0.8832
BAFAun,ESSFwh3,0.8788
BAFAun,ESSFwk1,0.9289
BAFAun,ESSFwk2,0.9600
BAFAun,ESSFwm,0.9413
BAFAun,ESSFwm1,0.9007
BAFAun,ESSFwm2,0.9121
BAFAun,ESSFwm3,0.9084
BAFAun,ESSFwm4,0.8847
BAFAun,ESSFwmp,0.9556
BAFAun,ESSFwmw,0.9396
BAFAun,ESSFwv,0.9624
BAFAun,ESSFwvp,0.9848
BAFAun,ESSFxc1,0.8658
BAFAun,ESSFxc2,0.8974
BAFAun,ESSFxc3,0.9025
BAFAun,ESSFxcp,0.9195
BAFAun,ESSFxcw,0.9125
BAFAun,ESSFxv1,0.9367
BAFAun,ESSFxv2,0.9306
BAFAun,ESSFxvp,0.9502
BAFAun,ESSFxvw,0.9265
BAFAun,ICHdk,0.8277
BAFAun,ICHdm,0.8218
BAFAun,ICHdw1,0.7353
BAFAun,ICHdw3,0.8006
BAFAun,ICHdw4,0.7258
BAFAun,ICHmc1,0.8993
BAFAun,ICHmc2,0.8457
BAFAun,ICHmk1,0.8049
BAFAun,ICHmk2,0.8240
BAFAun,ICHmk3,0.8471
BAFAun,ICHmk4,0.8557
BAFAun,ICHmm,0.8986
BAFAun,ICHmw1,0.8679
BAFAun,ICHmw2,0.8024
BAFAun,ICHmw3,0.8188
BAFAun,ICHmw4,0.8328
BAFAun,ICHmw5,0.8116
BAFAun,ICHvc,0.9168
BAFAun,ICHvk1,0.8822
BAFAun,ICHvk2,0.9089
BAFAun,ICHwc,0.9283
BAFAun,ICHwk1,0.8658
BAFAun,ICHwk2,0.8560
