"","Spp","Risk","Weight"
"1","Ba",2,2.53945453571225e-16
"2","Bl",2,4.11362421869366e-17
"3","Cw",2,-1.95930794106863e-16
"4","Fd",2,0.283805172213022
"5","Hw",2,0.125702130680616
"6","Pl",2,0.125268446279726
"7","Py",2,-1.01444655004837e-16
"8","Ss",2,-5.86599385470423e-16
"9","Sx",2,0.475224250826633
"10","Ba",4,5.035508960944e-17
"11","Bl",4,1.49273135982768e-18
"12","Cw",4,1.40546345209026e-18
"13","Fd",4,0.289902977772496
"14","Hw",4,0.13607874743323
"15","Pl",4,0.142676916265902
"16","Py",4,-5.46440134563003e-16
"17","Ss",4,7.40124974277033e-16
"18","Sx",4,0.44134135852837
"19","Ba",6,3.87916324716182e-17
"20","Bl",6,-2.52566458023444e-17
"21","Cw",6,-1.41433576881978e-17
"22","Fd",6,0.294736116793914
"23","Hw",6,0.141480282336371
"24","Pl",6,0.157262282547167
"25","Py",6,-7.43196257162662e-16
"26","Ss",6,-5.56475586029068e-16
"27","Sx",6,0.416521318322546
"28","Ba",8,4.06940870980357e-17
"29","Bl",8,0.000139090967338023
"30","Cw",8,-3.03469864551145e-17
"31","Fd",8,0.295894857648285
"32","Hw",8,0.148728789505297
"33","Pl",8,0.167879241872553
"34","Py",8,-4.27602863439355e-16
"35","Ss",8,-2.17417682616832e-16
"36","Sx",8,0.397358020006527
"37","Ba",10,-3.25964468564635e-17
"38","Bl",10,0.00119939477421344
"39","Cw",10,-1.9246090689593e-17
"40","Fd",10,0.295610206573922
"41","Hw",10,0.15551902760348
"42","Pl",10,0.175092941134416
"43","Py",10,-3.92464030207181e-17
"44","Ss",10,2.74892215464007e-16
"45","Sx",10,0.382578429913968
"46","Ba",12,-1.81668038760881e-17
"47","Bl",12,0.00314808128748334
"48","Cw",12,-2.88793583268709e-17
"49","Fd",12,0.294992956232615
"50","Hw",12,0.161457293534952
"51","Pl",12,0.179745256081375
"52","Py",12,-2.44975930201937e-16
"53","Ss",12,-7.84290521732452e-17
"54","Sx",12,0.370656412863576
"55","Ba",14,-1.34021800260021e-17
"56","Bl",14,0.00511430605433958
"57","Cw",14,-4.08596332112581e-17
"58","Fd",14,0.295459844060938
"59","Hw",14,0.166113533463867
"60","Pl",14,0.182260704013058
"61","Py",14,-1.56578607603828e-16
"62","Ss",14,1.03163452290283e-16
"63","Sx",14,0.361051612407798
"64","Ba",16,-6.89841947362717e-18
"65","Bl",16,0.00721598521728044
"66","Cw",16,6.19619820210008e-18
"67","Fd",16,0.29665883293987
"68","Hw",16,0.169742256524575
"69","Pl",16,0.183430880043132
"70","Py",16,-2.58158580616601e-16
"71","Ss",16,1.01643205570781e-16
"72","Sx",16,0.352952045275143
"73","Ba",18,-4.58558901299771e-18
"74","Bl",18,0.00955024417923493
"75","Cw",18,-2.38454061782717e-17
"76","Fd",18,0.298049494358606
"77","Hw",18,0.172387087982792
"78","Pl",18,0.18397902883138
"79","Py",18,7.03312804196074e-17
"80","Ss",18,2.45839345471968e-17
"81","Sx",18,0.346034144647986
"82","Ba",20,-1.77421986844832e-17
"83","Bl",20,0.0117074802842911
"84","Cw",20,-2.17728602965056e-17
"85","Fd",20,0.299780537267314
"86","Hw",20,0.174333773119559
"87","Pl",20,0.18400934999224
"88","Py",20,-3.51501462089661e-17
"89","Ss",20,1.12073626213058e-17
"90","Sx",20,0.340168859336595
"91","Ba",22,-1.13428329487615e-17
"92","Bl",22,0.0139756715991545
"93","Cw",22,5.97984039363855e-05
"94","Fd",22,0.301324319493386
"95","Hw",22,0.175830089780068
"96","Pl",22,0.183852124090448
"97","Py",22,3.01703703995465e-17
"98","Ss",22,-3.56363415999563e-17
"99","Sx",22,0.334957996633008
"100","Ba",24,7.62629179380775e-18
"101","Bl",24,0.0164614909884219
"102","Cw",24,0.000157805472411184
"103","Fd",24,0.302551377353674
"104","Hw",24,0.177030937219006
"105","Pl",24,0.183597265308264
"106","Py",24,-1.01725821995545e-16
"107","Ss",24,-5.12716502935549e-17
"108","Sx",24,0.330201123658223
"109","Ba",26,-8.390947491572e-18
"110","Bl",26,0.0192122358206242
"111","Cw",26,0.000444989983711391
"112","Fd",26,0.303404775248168
"113","Hw",26,0.177932336418223
"114","Pl",26,0.183287004888669
"115","Py",26,-7.8591845132861e-17
"116","Ss",26,2.38081571819239e-17
"117","Sx",26,0.325718657640605
"118","Ba",28,-1.05113211394e-17
"119","Bl",28,0.0221263870801434
"120","Cw",28,0.000894665246859265
"121","Fd",28,0.303938137209532
"122","Hw",28,0.178589762448237
"123","Pl",28,0.182961448770535
"124","Py",28,-2.55469607101993e-17
"125","Ss",28,-1.51274399765026e-17
"126","Sx",28,0.321489599244694
"127","Ba",30,-1.76649273771477e-17
"128","Bl",30,0.0251874260200112
"129","Cw",30,0.00162023533641924
"130","Fd",30,0.30415019990094
"131","Hw",30,0.17899099034312
"132","Pl",30,0.182624794655097
"133","Py",30,-4.64468772684506e-17
"134","Ss",30,-4.92894184327033e-17
"135","Sx",30,0.317426353744412
"136","Ba",32,3.62445215490515e-05
"137","Bl",32,0.0282437289809928
"138","Cw",32,0.00259623560100961
"139","Fd",32,0.304123761646392
"140","Hw",32,0.179160147448391
"141","Pl",32,0.182281787419491
"142","Py",32,-4.4457172602612e-17
"143","Ss",32,-1.49137387383049e-17
"144","Sx",32,0.313558094382174
"145","Ba",34,7.15350046616918e-05
"146","Bl",34,0.031359310722241
"147","Cw",34,0.00378340613045072
"148","Fd",34,0.303886255098613
"149","Hw",34,0.179147505786595
"150","Pl",34,0.181932631656532
"151","Py",34,-1.0450475749795e-17
"152","Ss",34,1.67593398856647e-17
"153","Sx",34,0.309819355600906
"154","Ba",36,0.000242691737558293
"155","Bl",36,0.0344433566200741
"156","Cw",36,0.00523161044932821
"157","Fd",36,0.303449857035647
"158","Hw",36,0.178887451351338
"159","Pl",36,0.181563118746436
"160","Py",36,1.01417285503069e-18
"161","Ss",36,-2.83267450575503e-18
"162","Sx",36,0.306181914059618
"163","Ba",38,0.000638930162549456
"164","Bl",38,0.0374959063760561
"165","Cw",38,0.00694828953822215
"166","Fd",38,0.302815533796359
"167","Hw",38,0.178348628802717
"168","Pl",38,0.181161159182634
"169","Py",38,-1.4269023373522e-17
"170","Ss",38,4.30616183080838e-18
"171","Sx",38,0.302591552141462
"172","Ba",40,0.00143601004788003
"173","Bl",40,0.0403880069380802
"174","Cw",40,0.00900417274001012
"175","Fd",40,0.301985986768968
"176","Hw",40,0.177434875807059
"177","Pl",40,0.180709977432638
"178","Py",40,-1.71043519368945e-18
"179","Ss",40,4.67471265398462e-18
"180","Sx",40,0.299040970265365
"181","Ba",42,0.00256956216045574
"182","Bl",42,0.0430409168829538
"183","Cw",42,0.0114722285103196
"184","Fd",42,0.300985086590282
"185","Hw",42,0.176148828223234
"186","Pl",42,0.180216825788646
"187","Py",42,-1.00697244329652e-17
"188","Ss",42,5.50489069360629e-06
"189","Sx",42,0.295561046953416
"190","Ba",44,0.00396118068429316
"191","Bl",44,0.0455046072629758
"192","Cw",44,0.0142101844708324
"193","Fd",44,0.299857771582867
"194","Hw",44,0.174556719333308
"195","Pl",44,0.179682324867215
"196","Py",44,-9.39596237945306e-18
"197","Ss",44,0.000103717332232699
"198","Sx",44,0.292123494466276
"199","Ba",46,0.00583444675428129
"200","Bl",46,0.0477654959747701
"201","Cw",46,0.0171840029629505
"202","Fd",46,0.298579547044439
"203","Hw",46,0.17247014204903
"204","Pl",46,0.179045301491037
"205","Py",46,9.3219346031003e-18
"206","Ss",46,0.000557163135123832
"207","Sx",46,0.288563900588367
"208","Ba",48,0.00822608241300659
"209","Bl",48,0.049976850103686
"210","Cw",48,0.0200421291236108
"211","Fd",48,0.297148888389546
"212","Hw",48,0.169346916620793
"213","Pl",48,0.178080405367081
"214","Py",48,-3.79894271465187e-18
"215","Ss",48,0.00298472889737057
"216","Sx",48,0.284193999084906
"217","Ba",50,0.0111017337709242
"218","Bl",50,0.0521484553018177
"219","Cw",50,0.0227461439129013
"220","Fd",50,0.295577290299714
"221","Hw",50,0.16513194134759
"222","Pl",50,0.176762313459537
"223","Py",50,3.42588626848036e-20
"224","Ss",50,0.00760091856168883
"225","Sx",50,0.278931203345827
