"","Spp","Risk","Weight"
"1","Ba",2,-1.07643815029291e-16
"2","Bl",2,2.85714285714124e-05
"3","Cw",2,6.5484111367216e-19
"4","Fd",2,0.296503119473141
"5","Lw",2,0.00497800159096977
"6","Pl",2,0.145326029353104
"7","Py",2,-6.40403973600677e-16
"8","Ss",2,3.1437899362654e-16
"9","Sx",2,0.563164278154209
"10","Ba",4,7.45795369064488e-17
"11","Bl",4,-2.98979844433553e-17
"12","Cw",4,-5.73678284942645e-18
"13","Fd",4,0.316160358183364
"14","Lw",4,0.0049063855730586
"15","Pl",4,0.189281176992173
"16","Py",4,-1.86930702103419e-16
"17","Ss",4,3.68184641527231e-16
"18","Sx",4,0.499652079251403
"19","Ba",6,7.86160576664914e-18
"20","Bl",6,0.000231937817175989
"21","Cw",6,-6.45927442228366e-18
"22","Fd",6,0.328269215603114
"23","Lw",6,0.00494863386192523
"24","Pl",6,0.216624553173468
"25","Py",6,-4.0762494438898e-16
"26","Ss",6,-1.5032044590927e-16
"27","Sx",6,0.459925659544313
"28","Ba",8,4.12619535601922e-18
"29","Bl",8,0.000654575834179976
"30","Cw",8,6.42277819103105e-05
"31","Fd",8,0.333831140737058
"32","Lw",8,0.00516686956789232
"33","Pl",8,0.235948124945459
"34","Py",8,-2.07092656076251e-16
"35","Ss",8,8.12811057017488e-17
"36","Sx",8,0.434335061133499
"37","Ba",10,1.359454383396e-17
"38","Bl",10,0.00106341948122025
"39","Cw",10,0.00177671218235626
"40","Fd",10,0.338149807137424
"41","Lw",10,0.0060164948596106
"42","Pl",10,0.246993166704341
"43","Py",10,8.40249035372278e-17
"44","Ss",10,-3.49391520635891e-17
"45","Sx",10,0.416000399635047
"46","Ba",12,2.36554786810204e-17
"47","Bl",12,0.00141689535317199
"48","Cw",12,0.0049705757602865
"49","Fd",12,0.342771798048247
"50","Lw",12,0.00696009492984659
"51","Pl",12,0.252347781900393
"52","Py",12,-4.63031589970666e-17
"53","Ss",12,1.83742086795824e-17
"54","Sx",12,0.401532854008055
"55","Ba",14,-2.85260879628197e-18
"56","Bl",14,0.00210380946848364
"57","Cw",14,0.00938833642818366
"58","Fd",14,0.346417097929418
"59","Lw",14,0.00800168493508339
"60","Pl",14,0.254523209903373
"61","Py",14,-4.65591649520517e-17
"62","Ss",14,-3.79347703753645e-17
"63","Sx",14,0.389565861335457
"64","Ba",16,6.71383547314977e-05
"65","Bl",16,0.00274935117821211
"66","Cw",16,0.0154205429891779
"67","Fd",16,0.347907858985491
"68","Lw",16,0.00918667473708348
"69","Pl",16,0.255017536161709
"70","Py",16,-5.63346114334085e-17
"71","Ss",16,3.71789728790512e-17
"72","Sx",16,0.379650897593594
"73","Ba",18,0.000206063986299027
"74","Bl",18,0.00345149873734074
"75","Cw",18,0.0236135377220308
"76","Fd",18,0.347538686669587
"77","Lw",18,0.0100502951505934
"78","Pl",18,0.254185610924379
"79","Py",18,7.32853924267217e-18
"80","Ss",18,9.75949452814394e-19
"81","Sx",18,0.37095430680977
"82","Ba",20,0.000490611308997143
"83","Bl",20,0.00407199544205247
"84","Cw",20,0.0341154938080934
"85","Fd",20,0.345360434608752
"86","Lw",20,0.010642139932368
"87","Pl",20,0.252284387046559
"88","Py",20,-2.86848869805178e-17
"89","Ss",20,2.3619611943718e-18
"90","Sx",20,0.363034937853178
"91","Ba",22,0.000943651760363182
"92","Bl",22,0.00462525835966236
"93","Cw",22,0.0454227826048682
"94","Fd",22,0.342247695520773
"95","Lw",22,0.010986505492973
"96","Pl",22,0.249868732113112
"97","Py",22,9.0358813715214e-06
"98","Ss",22,2.91855449014173e-05
"99","Sx",22,0.355867152721975
"100","Ba",24,0.00174287078820183
"101","Bl",24,0.00529372534251936
"102","Cw",24,0.0573543240947076
"103","Fd",24,0.338320552930909
"104","Lw",24,0.0109875338725554
"105","Pl",24,0.247014514315136
"106","Py",24,5.9199954603513e-05
"107","Ss",24,8.97485210897149e-05
"108","Sx",24,0.349137530180277
"109","Ba",26,0.00294497217048494
"110","Bl",26,0.00597859385546346
"111","Cw",26,0.0693001243346867
"112","Fd",26,0.333962619538197
"113","Lw",26,0.0106970599600393
"114","Pl",26,0.243946019870927
"115","Py",26,0.000112103561861197
"116","Ss",26,0.000227154042606816
"117","Sx",26,0.342831352665733
"118","Ba",28,0.00428651588162827
"119","Bl",28,0.0067932680570283
"120","Cw",28,0.0801007635523595
"121","Fd",28,0.329739727903851
"122","Lw",28,0.0102775133007967
"123","Pl",28,0.240976649065596
