"","Spp","Risk","Weight"
"1","Ba",2,-8.04592347478637e-17
"2","Bl",2,-1.22689996556979e-16
"3","Cw",2,2.50667737251518e-17
"4","Fd",2,0.74699171747181
"5","Hw",2,0.000605389434210278
"6","Lw",2,0.0818658147098385
"7","Pl",2,0.146645118900519
"8","Py",2,-3.18956206432696e-18
"9","Ss",2,5.34772175950173e-16
"10","Sx",2,0.0338919594836313
"11","Ba",4,-2.44867715912818e-17
"12","Bl",4,-1.16918790523179e-16
"13","Cw",4,1.8296189215587e-17
"14","Fd",4,0.612481927361282
"15","Hw",4,0.00808409607225838
"16","Lw",4,0.0868926061799133
"17","Pl",4,0.241538506915085
"18","Py",4,5.15645559780611e-16
"19","Ss",4,2.66568509209182e-16
"20","Sx",4,0.0610028634714654
"21","Ba",6,1.1629315545821e-17
"22","Bl",6,-1.52584166398904e-16
"23","Cw",6,0.000955118192070195
"24","Fd",6,0.536323928195848
"25","Hw",6,0.0288593456494232
"26","Lw",6,0.0843706184012835
"27","Pl",6,0.276668387517708
"28","Py",6,-2.00156465707728e-16
"29","Ss",6,2.15152093386014e-16
"30","Sx",6,0.0828226020436661
"31","Ba",8,-7.68384982636229e-18
"32","Bl",8,-1.25826948753603e-16
"33","Cw",8,0.00837332213356804
"34","Fd",8,0.483213120504607
"35","Hw",8,0.0584960898435031
"36","Lw",8,0.0782020412257433
"37","Pl",8,0.28103283441385
"38","Py",8,-4.73788760740925e-16
"39","Ss",8,1.04823741911563e-16
"40","Sx",8,0.100682591878731
"41","Ba",10,-3.86373124920153e-17
"42","Bl",10,-2.93962514046739e-17
"43","Cw",10,0.0180953557857425
"44","Fd",10,0.442295647860978
"45","Hw",10,0.0889071179185884
"46","Lw",10,0.070131333135468
"47","Pl",10,0.273944248016332
"48","Py",10,-6.53867437733278e-17
"49","Ss",10,-6.12412492557391e-17
"50","Sx",10,0.116626297282893
"51","Ba",12,-5.64123346647437e-18
"52","Bl",12,-5.43776240277635e-17
"53","Cw",12,0.025666162415204
"54","Fd",12,0.412835695868765
"55","Hw",12,0.111392575986379
"56","Lw",12,0.063201922970205
"57","Pl",12,0.265696854446734
"58","Py",12,1.84782716762758e-16
"59","Ss",12,-7.16343639176034e-17
"60","Sx",12,0.131206788312713
"61","Ba",14,1.40976317878789e-17
"62","Bl",14,3.95925763411139e-17
"63","Cw",14,0.0319732007401496
"64","Fd",14,0.390847201717798
"65","Hw",14,0.127170186266711
"66","Lw",14,0.0574330827950842
"67","Pl",14,0.257501242400628
"68","Py",14,-4.06391001860087e-17
"69","Ss",14,2.83945272833006e-17
"70","Sx",14,0.145075086079629
"71","Ba",16,3.41040240688584e-18
"72","Bl",16,-1.49496432587506e-16
"73","Cw",16,0.0371592931191726
"74","Fd",16,0.373957541238728
"75","Hw",16,0.138747797652557
"76","Lw",16,0.0527573403247283
"77","Pl",16,0.250340979362415
