ID1,BGC_analysis
5,CDFmm
0,CDFmm
2,CDFmm
3,CDFmm
9,CDFmm
17,CDFmm
18,CDFmm
19,CDFmm
21,CDFmm
4,CDFmm
8,CDFmm
13,CDFmm
14,CDFmm
15,CDFmm
7,CDFmm
10,CDFmm
6,CDFmm
12,CDFmm
16,CDFmm
20,CDFmm
1,CDFmm
11,CDFmm
75,CWHdm
73,CWHdm
74,CWHdm
76,CWHdm
77,CWHdm
81,CWHdm
82,CWHdm
83,CWHdm
85,CWHdm
87,CWHdm
88,CWHdm
89,CWHdm
90,CWHdm
92,CWHdm
94,CWHdm
95,CWHdm
96,CWHdm
98,CWHdm
100,CWHdm
101,CWHdm
102,CWHdm
103,CWHdm
104,CWHdm
105,CWHdm
107,CWHdm
110,CWHdm
112,CWHdm
113,CWHdm
115,CWHdm
116,CWHdm
118,CWHdm
119,CWHdm
120,CWHdm
121,CWHdm
78,CWHdm
86,CWHdm
99,CWHdm
108,CWHdm
93,CWHdm
111,CWHdm
106,CWHdm
114,CWHdm
72,CWHdm
80,CWHdm
117,CWHdm
109,CWHdm
79,CWHdm
97,CWHdm
84,CWHdm
91,CWHdm
123,CWHds1
138,CWHds1
140,CWHds1
147,CWHds1
148,CWHds1
122,CWHds1
124,CWHds1
125,CWHds1
126,CWHds1
127,CWHds1
128,CWHds1
129,CWHds1
130,CWHds1
131,CWHds1
132,CWHds1
133,CWHds1
134,CWHds1
135,CWHds1
136,CWHds1
137,CWHds1
139,CWHds1
141,CWHds1
142,CWHds1
143,CWHds1
144,CWHds1
145,CWHds1
146,CWHds1
149,CWHds1
150,CWHds1
151,CWHds1
152,CWHds1
153,CWHds1
154,CWHds1
164,CWHms1_hi
162,CWHms1_hi
190,CWHms1_hi
167,CWHms1_hi
175,CWHms1_hi
177,CWHms1_hi
178,CWHms1_hi
157,CWHms1_hi
185,CWHms1_hi
194,CWHms1_hi
168,CWHms1_hi
195,CWHms1_hi
169,CWHms1_hi
196,CWHms1_hi
202,CWHms1_hi
203,CWHms1_hi
205,CWHms1_hi
179,CWHms1_hi
165,CWHms1_hi
166,CWHms1_hi
197,CWHms1_hi
182,CWHms1_hi
200,CWHms1_hi
174,CWHms1_hi
192,CWHms1_hi
172,CWHms1_hi
184,CWHms1_hi
186,CWHms1_lo
181,CWHms1_lo
189,CWHms1_lo
187,CWHms1_lo
193,CWHms1_lo
163,CWHms1_lo
191,CWHms1_lo
158,CWHms1_lo
201,CWHms1_lo
180,CWHms1_lo
173,CWHms1_lo
160,CWHms1_lo
204,CWHms1_lo
199,CWHms1_lo
183,CWHms1_lo
170,CWHms1_lo
188,CWHms1_lo
159,CWHms1_lo
171,CWHms1_lo
198,CWHms1_lo
161,CWHms1_lo
176,CWHms1_lo
156,CWHms1_lo
253,CWHvm1_N
245,CWHvm1_N
240,CWHvm1_N
236,CWHvm1_N
233,CWHvm1_N
244,CWHvm1_N
252,CWHvm1_N
247,CWHvm1_N
217,CWHvm1_N
208,CWHvm1_N
239,CWHvm1_N
229,CWHvm1_N
249,CWHvm1_N
246,CWHvm1_N
251,CWHvm1_N
227,CWHvm1_N
230,CWHvm1_N
214,CWHvm1_N
235,CWHvm1_N
220,CWHvm1_N
231,CWHvm1_N
250,CWHvm1_S
238,CWHvm1_S
255,CWHvm1_S
224,CWHvm1_S
210,CWHvm1_S
228,CWHvm1_S
