"Unit","Spp","SIPred","aSMR"
"BGxh1/05","At",17.9878529634543,2.25
"BGxh1/06","At",20.2637367468803,4.5
"BGxh1/07","At",22.9216667590388,6.5
"BGxh2/03","At",16.59776662732,0.5
"BGxh2/04","At",16.59776662732,0.5
"BGxh2/05","At",16.9428221401539,0.7
"BGxh2/07","At",20.2637367468803,4.5
"BGxw1/03","At",19.0397511117079,0.5
"BGxw1/05","At",17.6555898176241,2
"BGxw1/08","At",21.6717875865521,5.25
"BGxw2/110","At",18.5938203776225,2.75
"BGxw2/111","At",18.5938203776225,2.75
"BGxw2/113","At",19.5624537889385,3.5
"BGxw2/114","At",20.5839483605242,4.83333333333333
"BGxw2/115","At",20.1699145302242,4.5
"BWBSdk/101","At",13.6660523941337,4.6
"BWBSdk/102","At",11.9068841781245,2.8
"BWBSdk/110","At",16.3920716075286,7
"BWBSmk/101","At",15.5266820249332,4.25
"BWBSmk/102","At",12.9052415038701,2.8
"BWBSmk/110","At",17.9433004884096,7
"BWBSmw/101","At",17.4568861382202,4.5
"BWBSmw/102","At",13.8143008796094,2.6
"BWBSmw/111","At",19.690627886412,6.5
"BWBSwk1/101","At",16.1819407154881,4.75
"BWBSwk1/102","At",14.821496617103,3.3
"BWBSwk1/111","At",17.3659479547954,6.5
"BWBSwk2/101","At",14.5626111206307,4.25
"BWBSwk2/102","At",13.1265189067878,3
"BWBSwk2/110","At",15.6227079390997,5.5
"BWBSwk3/101","At",14.7791958485108,4.83333333333333
"BWBSwk3/102","At",12.5538699696942,3.6
"BWBSwk3/110","At",15.9039046336073,7
"BWBSwk3/111","At",14.8780138849132,7.5
"ESSFdv1/01","At",16.8663923143894,4.83333333333333
"ESSFdv1/02","At",16.5450028227232,2.57142857142857
"ESSFdv1/03","At",15.9050536754186,2.66666666666667
"ESSFdv1/04","At",16.4815698649587,3.75
"ESSFdv1/05","At",19.133136530375,5.46666666666667
"ESSFdv1/06","At",19.7633214708343,7.5
"ESSFdv2/01","At",16.2949813907248,5
"ESSFdv2/02","At",15.9507203362824,2.71428571428571
"ESSFdv2/03","At",15.2097244448233,2.83333333333333
"ESSFdv2/04","At",15.7618226220488,3.75
"ESSFdv2/05","At",18.5130630500087,5.6
"ESSFdv2/06","At",18.9983819975589,7.5
"ESSFdvw/01","At",16.3777245263495,4.83333333333333
"ESSFdvw/02","At",15.7312246324676,2.57142857142857
"ESSFdvw/03","At",15.1201703580817,2.66666666666667
"ESSFdvw/06","At",18.8303543250776,7.5
"ESSFmh/101","At",20.5961867460513,5
"ESSFmh/102","At",17.9050223195289,3
"ESSFmh/103","At",18.2476133823578,3.5
"ESSFmh/104","At",18.4042961820882,3.75
"ESSFmh/105","At",18.8094821378205,3.83333333333333
"ESSFmh/110","At",22.9750458784253,5.75
"ESSFmh/111","At",23.4265702740502,6.5
"ESSFmh/112","At",23.3720869891844,7
"ESSFmv1/01","At",16.57070804424,4
"ESSFmv1/02","At",14.1503131776771,2.5
"ESSFmv1/03","At",15.3706110330499,3.75
"ESSFmv1/04","At",18.2974597459619,6
"ESSFmv1/05","At",18.3859053605705,7.25
"ESSFwh1/101","At",20.9455615011964,5.5
"ESSFwh1/102","At",17.7256513379676,3.5
"ESSFwh1/103","At",18.1781308556322,4.16666666666667
"ESSFwh1/104","At",18.3356150063552,4.33333333333333
"ESSFwh1/110","At",21.4751233228189,7
"ESSFwh1/111","At",22.4399746442572,7.75
"ESSFwh2/101","At",18.1215222902177,4.8
"ESSFwh2/102","At",16.5753413844138,3.2
"ESSFwh2/103","At",16.7777584593196,3.5
"ESSFwh2/104","At",17.7788712606577,4.5
"ESSFwh2/110","At",20.3478871832247,5.66666666666667
"ESSFwh2/111","At",20.7078188435995,6.5
"ESSFwh2/112","At",21.6347394941375,7.5
"ESSFwh3/101","At",19.0780967384841,5.25
"ESSFwh3/102","At",16.9454589641176,3.66666666666667
"ESSFwh3/103","At",17.2255873735333,4
"ESSFwh3/104","At",17.556736522665,4.33333333333333
"ESSFwh3/110","At",20.6552194292397,6.16666666666667
"ESSFwh3/111","At",21.5320490791839,6.9
"ESSFwh3/112","At",21.5620361006205,7.75
"ICHdk/01","At",17.4323380531345,3.75
"ICHdk/02","At",16.2781947134487,2.5
"ICHdk/04","At",17.3221901964621,3.5
"ICHdk/05","At",21.5752079749921,5.5
"ICHdk/06","At",21.5752079749921,5.5
"ICHdk/07","At",19.4008664963648,5.5
"ICHdk/08","At",21.8592832130745,6.28571428571429
"ICHdk/09","At",21.1235327667736,7.35714285714286
"ICHdm/101","At",19.2735430388901,3.875
"ICHdm/102","At",17.8249732328866,2.5
"ICHdm/103","At",18.6670758525482,3.25
"ICHdm/110","At",20.9485997021887,5
"ICHdm/111","At",22.6455864344931,6
"ICHdm/112","At",23.7438156790168,7.25
"ICHdw1/101","At",18.5418568507415,3.6
"ICHdw1/102","At",17.2229229184379,2.25
"ICHdw1/103","At",18.1231677008448,2.5
"ICHdw1/104","At",18.2976902970193,2.8
"ICHdw1/110","At",21.2337896521244,5
"ICHdw1/111","At",22.243256890838,6
"ICHdw1/112","At",22.4666511930466,7.25
"ICHdw1/113","At",23.5294416655655,7.25
"ICHdw4/101","At",18.4365344280876,3.5
"ICHdw4/102","At",16.8205245526328,1.9
"ICHdw4/103","At",17.6452471221162,2.25
"ICHdw4/104","At",18.0264794729453,2.8
"ICHdw4/110","At",21.3181501076995,5.25
"ICHdw4/111","At",23.176477944289,6
"ICHdw4/112","At",23.176477944289,6
"ICHmc1/01","At",19.2976908108418,5.5
"ICHmc1/02","At",17.0885481247417,4.14285714285714
"ICHmc1/03","At",22.0190157147798,6
"ICHmc1/04","At",22.0118059932523,7.1
