MergedBGC,Source,SS_NoSpace,SSprob,SSCurrent,FuturePeriod,SiteNo
BWBSmw,BECv10,BWBSmw/101,0.000664251,SBSmc2/01,2025,7
CWHds2,BECv10,CWHds2/01,0.00017567,SBSmc2/01,2025,7
CWHds2,BECv10,CWHds2/05,6.59E-05,SBSmc2/01,2025,7
CWHwm,BECv10,CWHwm/01,0.000232256,SBSmc2/01,2025,7
CWHwm,BECv10,CWHwm/03,6.97E-05,SBSmc2/01,2025,7
CWHws1,BECv10,CWHws1/01,0.00145934,SBSmc2/01,2025,7
CWHws1,BECv10,CWHws1/04,0.000291868,SBSmc2/01,2025,7
CWHws2,BECv10,CWHws2/01,0.064251208,SBSmc2/01,2025,7
CWHws2,BECv10,CWHws2/04,0.024094203,SBSmc2/01,2025,7
ESSFdc1,BECv10,ESSFdc1/101,0.000790514,SBSmc2/01,2025,7
ESSFdc1,BECv10,ESSFdc1/103,0.000592885,SBSmc2/01,2025,7
ESSFdc1,BECv10,ESSFdc1/110,6.59E-05,SBSmc2/01,2025,7
ESSFdc2,BECv10,ESSFdc2/01,0.000604331,SBSmc2/01,2025,7
ESSFdc2,BECv10,ESSFdc2/03,0.000100722,SBSmc2/01,2025,7
ESSFdc2,BECv10,ESSFdc2/04,0.000134296,SBSmc2/01,2025,7
ESSFdc2,BECv10,ESSFdc2/05,0.000134296,SBSmc2/01,2025,7
ESSFdc2,BECv10,ESSFdc2/06,0.000113312,SBSmc2/01,2025,7
ESSFdc3,BECv10,ESSFdc3/01,0.001645123,SBSmc2/01,2025,7
ESSFdc3,BECv10,ESSFdc3/03,0.000274187,SBSmc2/01,2025,7
ESSFdc3,BECv10,ESSFdc3/04,0.000365583,SBSmc2/01,2025,7
ESSFdc3,BECv10,ESSFdc3/05,0.000365583,SBSmc2/01,2025,7
ESSFdc3,BECv10,ESSFdc3/06,0.000308461,SBSmc2/01,2025,7
ESSFmc,BECv10,ESSFmc/01,0.000312589,SBSmc2/01,2025,7
ESSFmc,BECv10,ESSFmc/04,0.000234442,SBSmc2/01,2025,7
ESSFmc,BECv10,ESSFmc/05,0.000117221,SBSmc2/01,2025,7
ESSFmh,BECv10,ESSFmh/101,0.003823088,SBSmc2/01,2025,7
ESSFmh,BECv10,ESSFmh/104,0.000318591,SBSmc2/01,2025,7
ESSFmh,BECv10,ESSFmh/105,0.00169915,SBSmc2/01,2025,7
ESSFmh,BECv10,ESSFmh/110,0.000318591,SBSmc2/01,2025,7
ESSFmw2,BECv10,ESSFmw2/01,0.000667755,SBSmc2/01,2025,7
ESSFmw2,BECv10,ESSFmw2/03,0.000111292,SBSmc2/01,2025,7
ESSFmw2,BECv10,ESSFmw2/04,0.000263804,SBSmc2/01,2025,7
ESSFmw2,BECv10,ESSFmw2/05,9.89E-05,SBSmc2/01,2025,7
ESSFmw2,BECv10,ESSFmw2/06,6.60E-05,SBSmc2/01,2025,7
ESSFmww,BECv10,ESSFmww/01,3.34E-05,SBSmc2/01,2025,7
ESSFmww,BECv10,ESSFmww/03,5.56E-06,SBSmc2/01,2025,7
ESSFmww,BECv10,ESSFmww/04,1.32E-05,SBSmc2/01,2025,7
ESSFmww,BECv10,ESSFmww/05,4.95E-06,SBSmc2/01,2025,7
ESSFmww,BECv10,ESSFmww/06,3.30E-06,SBSmc2/01,2025,7
ESSFwc2,BECv10,ESSFwc2/01,0.000137242,SBSmc2/01,2025,7
ESSFwc2,BECv10,ESSFwc2/03,2.74E-05,SBSmc2/01,2025,7
ESSFwc2,BECv10,ESSFwc2/04,3.43E-05,SBSmc2/01,2025,7
ESSFwc2,BECv10,ESSFwc2/05,3.43E-05,SBSmc2/01,2025,7
ESSFwc2,BECv10,ESSFwc2/06,3.43E-05,SBSmc2/01,2025,7
ESSFwc2,BECv10,ESSFwc2/07,3.43E-05,SBSmc2/01,2025,7
ESSFwc4,BECv10,ESSFwc4/101,4.18E-05,SBSmc2/01,2025,7
ESSFwc4,BECv10,ESSFwc4/103,1.39E-05,SBSmc2/01,2025,7
ESSFwc4,BECv10,ESSFwc4/110,4.65E-06,SBSmc2/01,2025,7
ESSFwh1,BECv10,ESSFwh1/101,0.000388199,SBSmc2/01,2025,7
ESSFwh1,BECv10,ESSFwh1/103,4.31E-05,SBSmc2/01,2025,7
ESSFwh1,BECv10,ESSFwh1/104,0.000172533,SBSmc2/01,2025,7
ESSFwh2,BECv10,ESSFwh2/101,7.25E-05,SBSmc2/01,2025,7
ESSFwh2,BECv10,ESSFwh2/104,4.35E-05,SBSmc2/01,2025,7
ESSFwh2,BECv10,ESSFwh2/110,4.83E-06,SBSmc2/01,2025,7
ESSFwk1,BECv10,ESSFwk1/01,0.001398179,SBSmc2/01,2025,7
ESSFwk1,BECv10,ESSFwk1/03,0.001198439,SBSmc2/01,2025,7
ESSFwm1,BECv10,ESSFwm1/01,0.000131752,SBSmc2/01,2025,7
