SS_NoSpace,SIPred,Spp
BGxh1/05,19.51208275,At
BGxh1/06,21.52374618,At
BGxh1/07,22.39404355,At
BGxh2/07,21.24835349,At
BGxw1/08,22.70958697,At
BGxw2/114,21.7521847,At
BGxw2/115,21.5579337,At
BSJPap/b,17.13404749,At
BSJPap/e,20.20628162,At
BSJPku/b,16.16489139,At
BSJPku/e,19.08966994,At
BSJPpa/b,17.33511445,At
BSJPpa/e,20.40091492,At
BWBScm/b,16.55790748,At
BWBScm/d,17.53497356,At
BWBScm/e,19.42201275,At
BWBScm/f,20.45802288,At
BWBSdk/101,14.49822139,At
BWBSdk/102,13.31930134,At
BWBSdk/110,16.3927352,At
BWBSdm/b,16.60792936,At
BWBSdm/d,17.53910696,At
BWBSdm/e,19.07230171,At
BWBSdm/f,20.88949819,At
BWBSlb/b,15.91288841,At
BWBSlb/c,16.55354325,At
BWBSlb/d,18.00271686,At
BWBSlb/e,19.57957505,At
BWBSlb/f,19.67023882,At
BWBSlf/c,16.57151153,At
BWBSlf/e,17.69151653,At
BWBSlf/f,19.79518502,At
BWBSlf/i,20.08605223,At
BWBSmk/101,16.35848457,At
BWBSmk/102,14.45367108,At
BWBSmk/110,17.85823368,At
BWBSmw/101,17.52024958,At
BWBSmw/102,15.12736859,At
BWBSmw/111,18.74534126,At
BWBSnm/b,15.46518252,At
BWBSnm/d,17.03874971,At
BWBSnm/e,18.07995354,At
BWBSnm/f,19.5858295,At
BWBSpp/b,16.72774129,At
BWBSpp/d,17.59829394,At
BWBSpp/e,19.555929,At
BWBSpp/f,21.00940132,At
BWBSub/b,14.78476166,At
BWBSub/c,15.34203219,At
BWBSub/d,16.66494005,At
BWBSub/e,18.33547616,At
BWBSuf/c,16.69372228,At
BWBSuf/e,17.81032653,At
BWBSuf/f,19.51641363,At
BWBSvk/d,19.05622331,At
BWBSwk1/101,16.30455147,At
BWBSwk2/101,15.55068175,At
BWBSwk2/110,16.4625473,At
BWBSwk3/101,15.858567,At
BWBSwk3/102,13.94806306,At
ESSFab/c,17.75686294,At
ESSFdv1/02,18.5868049,At
ESSFdv2/02,17.56560006,At
ESSFdvw/02,17.39500258,At
ESSFmh/101,20.76419552,At
ESSFmv1/01,18.7020784,At
ESSFwh1/101,19.87956462,At
ESSFwh2/101,19.5670916,At
ESSFwh3/101,19.30335334,At
ESSFxc_CO/101,18.37237536,At
ESSFxc_CO/102,17.31843819,At
ESSFxc_CO/103,17.39095333,At
ESSFxc_WA/101,18.97413926,At
ESSFxc_WA/103,18.20749642,At
ESSFxk_UT/101,17.88527692,At
ESSFxk_UT/102,17.35520873,At
ESSFxk_UT/103,17.53839561,At
ESSFxw_OR/103,18.45795068,At
GOun_CO/101,17.88091641,At
GOun_CO/110,20.32926132,At
ICHdh_ID/101,19.63939053,At
ICHdh_ID/103,19.23391987,At
ICHdk/01,19.23642171,At
ICHdk/02,18.11982782,At
ICHdk/04,18.99357013,At
ICHdk/05,22.59782291,At
ICHdk/06,22.59782291,At
ICHdk/07,20.54015102,At
ICHdk/08,22.97404929,At
ICHdm/101,20.53953789,At
ICHdm/102,18.9593903,At
ICHdm/103,19.24397284,At
ICHdm/110,21.95128986,At
ICHdm/111,23.2916907,At
ICHdw1/101,18.83118208,At
ICHdw1/103,18.95253294,At
ICHdw1/104,18.89526527,At
ICHdw1/110,22.03782729,At
ICHdw1/111,22.33873297,At
ICHdw1/112,22.407357,At
ICHdw1/113,23.2731438,At
ICHdw4/101,19.24202026,At
ICHdw4/104,18.40902949,At
ICHdw4/110,22.11227419,At
ICHdw4/111,22.98771158,At
ICHdw4/112,22.98771158,At
ICHdw_ID/101,19.97818163,At
ICHdw_ID/110,21.32549778,At
ICHdw_ID/111,22.20695158,At
ICHmc1/01,19.01783787,At
ICHmc1/02,17.58532738,At
ICHmc1/03,21.31478572,At
ICHmc1/04,21.79506594,At
ICHmc1a/01,19.37330292,At
ICHmc1a/02,21.43764551,At
ICHmc2/01,18.86673266,At
ICHmc2/02,17.4583231,At
ICHmc2/03,21.81035627,At
ICHmc2/04,21.51658834,At
ICHmc2/05,22.49770162,At
ICHmc2/06,22.27664504,At
ICHmc2/07,22.38453,At
ICHmh_MT/101,19.4307733,At
ICHmh_MT/110,21.05850093,At
ICHmh_MT/112,22.99508074,At
ICHmk1/01,20.38290843,At
ICHmk1/03,19.29197065,At
ICHmk1/04,20.18127699,At
ICHmk1/05,22.54661022,At
ICHmk1/06,23.52091915,At
ICHmk1/07,23.84501431,At
ICHmk2/01,19.49645009,At
ICHmk2/02,18.41259669,At
ICHmk2/03,18.72635621,At
ICHmk2/04,21.16610626,At
ICHmk2/05,22.69980829,At
ICHmk2/06,23.03503781,At
ICHmk3/01,20.410097,At
ICHmk3/02,19.9710397,At
ICHmk3/03,19.46069759,At
ICHmk3/04,21.60622485,At
ICHmk3/05,22.3504403,At
ICHmk3/06,23.19495492,At
ICHmk4/101,21.12639908,At
ICHmk4/102,20.27851882,At
ICHmk4/103,19.62618892,At
ICHmk4/110,22.42012238,At
ICHmk4/111,23.40454463,At
ICHmk4/112,23.35237252,At
ICHmk5/101,19.93141353,At
ICHmk5/102,18.28193225,At
ICHmk5/103,18.73057561,At
ICHmk5/104,19.24343223,At
ICHmk5/110,22.32296437,At
ICHmk5/111,22.33144379,At
ICHmk5/112,22.85044431,At
ICHmm/01,18.27156183,At
ICHmm/02,17.35337436,At
ICHmm/03,18.91296136,At
ICHmm/04,20.77404642,At
ICHmm/05,20.7658224,At
ICHmw1/01,21.23913149,At
ICHmw1/02,21.30929446,At
ICHmw1/03,19.39237919,At
ICHmw1/04,21.30929446,At
ICHmw1/05,20.76208901,At
ICHmw1/06,22.0304436,At
ICHmw1/07,23.18364202,At
ICHmw2/101,21.46305675,At
ICHmw2/102,20.11725945,At
ICHmw2/103,20.5158302,At
ICHmw2/104,20.5158302,At
ICHmw2/110,22.72256029,At
ICHmw2/111,24.21331975,At
ICHmw3/01,22.22327911,At
ICHmw3/03,21.8482875,At
ICHmw3/04,20.36631901,At
ICHmw3/05,22.08704983,At
ICHmw3/06,22.96744614,At
ICHmw3/08,23.40070757,At
ICHmw4/101,21.03905574,At
ICHmw4/103,19.42075588,At
ICHmw4/104,20.35073676,At
ICHmw4/110,22.59016768,At
ICHmw4/112,23.14990729,At
ICHmw4/113,23.14990729,At
ICHmw4/114,23.86295614,At
ICHmw5/101,21.23279573,At
ICHmw5/102,19.06180972,At
ICHmw5/103,19.412096,At
ICHmw5/104,19.74900365,At
ICHmw5/110,22.28724025,At
ICHmw5/111,23.46915438,At
ICHmw5/112,23.45130729,At
ICHmw5/113,24.15489475,At
ICHmw_MT/101,20.29531055,At
ICHmw_MT/110,21.88577022,At
ICHmw_MT/112,23.84346903,At
ICHvc/01,19.91774837,At
ICHvc/02,17.8861843,At
ICHvc/03,21.5742774,At
ICHvc/06,21.74256698,At
ICHvk1/01,21.0419012,At
ICHvk1/02,19.2112854,At
ICHvk1/03,19.61030767,At
ICHvk1/04,20.20599155,At
ICHvk1/05,22.00386604,At
ICHvk1/06,22.42355067,At
ICHvk2/01,20.17181644,At
ICHvk2/03,18.6951545,At
ICHvk2/04,19.29281909,At
ICHwc/01,20.96045975,At
