SS_NoSpace,SIPred,Spp
CDFmm/01,20,Bg
CDFmm/06,32,Bg
CDFmm_OR/101,20,Bg
CDFmm_OR/102,16,Bg
CDFmm_OR/113,32,Bg
CDFmm_WA/101,20,Bg
CDFmm_WA/113,32,Bg
CMXwm_OR/113,32,Bg
CRFdh_CA/101,30,Dr
CRFdh_CA/101,30,Fd
CRFdh_CA/101,30,Hw
CRFdh_CA/101,30,Mb
CRFdh_CA/101,30,Oc
CRFdh_CA/101,30,Ol
CRFdh_CA/101,30,Ot
CRFdh_CA/101,30,Ra
CRFdh_CA/103,30,Fd
CRFdh_CA/103,30,Oc
CRFdh_CA/103,30,Ot
CRFdh_CA/103,30,Qb
CRFdh_CA/103,30,Qc
CRFdh_CA/103,30,Qx
CRFdh_CA/103,30,Ra
CRFdh_CA/111,30,Bg
CRFdh_CA/111,30,Dr
CRFdh_CA/111,30,Fd
CRFdh_CA/111,30,Hw
CRFdh_CA/111,30,Mb
CRFdh_CA/111,30,Oc
CRFdh_CA/111,30,Ol
CRFdh_CA/111,30,Ss
CWHdm/01,24,Dr
CWHdm/01,24,Mb
CWHdm/07,36,Dr
CWHdm/07,40,Bg
CWHdm/07,36,Mb
CWHdm_OR/101,24,Dr
CWHdm_OR/101,24,Bg
CWHdm_OR/101,24,Mb
CWHdm_OR/101,30,Cw
CWHdm_OR/101,30,Dr
CWHdm_OR/101,30,Fd
CWHdm_OR/101,30,Hw
CWHdm_OR/101,30,Mb
CWHdm_OR/101,30,Oa
CWHdm_OR/101,30,Oy
CWHdm_OR/102,16,Bg
CWHdm_OR/103,30,Dr
CWHdm_OR/103,30,Fd
CWHdm_OR/103,30,Hw
CWHdm_OR/103,30,Oy
CWHdm_OR/103,30,Ra
CWHdm_OR/113,36,Dr
CWHdm_OR/113,40,Bg
CWHdm_OR/113,24,Mb
CWHdm_OR/113,30,Act
CWHdm_OR/113,30,Bg
CWHdm_OR/113,30,Cw
CWHdm_OR/113,30,Dr
CWHdm_OR/113,30,Fd
CWHdm_OR/113,30,Hw
CWHdm_OR/113,30,Mb
CWHdm_OR/113,30,Ss
CWHdm_WA/101,24,Dr
CWHdm_WA/101,24,Bg
CWHdm_WA/101,24,Mb
CWHdm_WA/101,30,Cw
CWHdm_WA/101,30,Dr
CWHdm_WA/101,30,Fd
CWHdm_WA/101,30,Hw
CWHdm_WA/101,30,Mb
CWHdm_WA/102,16,Bg
CWHdm_WA/103,30,Cw
CWHdm_WA/103,30,Dr
CWHdm_WA/103,30,Fd
CWHdm_WA/103,30,Hw
CWHdm_WA/113,36,Dr
CWHdm_WA/113,40,Bg
CWHdm_WA/113,24,Mb
CWHdm_WA/113,30,Act
CWHdm_WA/113,30,Bg
CWHdm_WA/113,30,Cw
CWHdm_WA/113,30,Dr
CWHdm_WA/113,30,Fd
CWHdm_WA/113,30,Hw
CWHdm_WA/113,30,Mb
CWHdm_WA/113,30,Ss
CWHds_WA/101,24,Dr
CWHds_WA/101,22,Bg
CWHds_WA/101,24,Mb
CWHds_WA/102,16,Bg
CWHds_WA/113,36,Dr
CWHds_WA/113,36,Bg
CWHds_WA/113,24,Mb
CWHds1/01,24,Dr
CWHds1/01,24,Mb
CWHds1/07,36,Dr
CWHds1/07,36,Bg
CWHds1/07,24,Mb
CWHds2/01,20,Dr
CWHds2/07,28,Dr
CWHmh_OR/101,24,Dr
CWHmh_OR/101,24,Mb
CWHmh_OR/101,30,Cw
CWHmh_OR/101,30,Dr
CWHmh_OR/101,30,Fd
CWHmh_OR/101,30,Hw
CWHmh_OR/101,30,Ot
CWHmh_OR/101,30,Ss
CWHmh_OR/103,30,Cw
CWHmh_OR/103,30,Dr
CWHmh_OR/103,30,Fd
CWHmh_OR/103,30,Hw
CWHmh_OR/103,30,Pl
CWHmh_OR/103,30,Ss
CWHmh_OR/113,36,Dr
CWHmh_OR/113,24,Mb
CWHmh_OR/113,30,Cw
CWHmh_OR/113,30,Dr
CWHmh_OR/113,30,Fd
CWHmh_OR/113,30,Hw
CWHmh_OR/113,30,Mb
CWHmh_OR/113,30,Ss
CWHmh_OR/113,30,Yp
CWHmm1/01,24,Dr
CWHmm1/01,24,Mb
CWHmm1/07,36,Dr
CWHmm1/07,24,Mb
CWHmm2/01,20,Dr
CWHmm2/08,28,Dr
CWHms_OR/101,24,Dr
CWHms_OR/101,22,Bg
CWHms_OR/101,24,Mb
CWHms_OR/102,16,Bg
CWHms_OR/113,36,Dr
CWHms_OR/113,28,Bg
CWHms_OR/113,24,Mb
