fid,id,ZONE,BGC,BGC_analysis,xcoord,ycoord,elevation_1
358,5,CDF,CDFmm,CDFmm,-124.3671649,49.49432014,31
385,0,CDF,CDFmm,CDFmm,-124.4164599,49.62305222,148
386,2,CDF,CDFmm,CDFmm,-124.5136956,49.7102104,105
387,3,CDF,CDFmm,CDFmm,-124.6042709,49.73343649,217
388,9,CDF,CDFmm,CDFmm,-124.6083982,49.79540055,58
389,17,CDF,CDFmm,CDFmm,-124.4622268,49.66229685,72
390,18,CDF,CDFmm,CDFmm,-124.143908,49.49650491,81
391,19,CDF,CDFmm,CDFmm,-124.2470933,49.55139297,187
392,21,CDF,CDFmm,CDFmm,-124.3209248,49.57235993,27
413,4,CDF,CDFmm,CDFmm,-124.6203478,49.90787332,60
414,8,CDF,CDFmm,CDFmm,-124.5406017,49.86412097,121
415,13,CDF,CDFmm,CDFmm,-124.7405907,49.97887528,105
416,14,CDF,CDFmm,CDFmm,-124.5012559,49.79813664,24
417,15,CDF,CDFmm,CDFmm,-124.6872535,49.94101883,139
459,7,CDF,CDFmm,CDFmm,-123.8776768,49.49085193,175
460,10,CDF,CDFmm,CDFmm,-123.9449694,49.52913403,99
462,6,CDF,CDFmm,CDFmm,-124.2708838,49.48085421,101
463,12,CDF,CDFmm,CDFmm,-124.1922223,49.45487506,98
464,16,CDF,CDFmm,CDFmm,-124.943998,49.98572398,38
465,20,CDF,CDFmm,CDFmm,-124.6719118,49.85966842,32
467,1,CDF,CDFmm,CDFmm,-123.9778252,49.47171072,17
468,11,CDF,CDFmm,CDFmm,-124.8159237,49.93757752,39
35,75,CWH,CWHdm,CWHdm,-123.3128672,49.58276206,31
36,73,CWH,CWHdm,CWHdm,-124.5216842,50.43942698,237
37,74,CWH,CWHdm,CWHdm,-124.5233608,50.02183173,55
38,76,CWH,CWHdm,CWHdm,-124.4474345,49.89774396,396
39,77,CWH,CWHdm,CWHdm,-124.0975416,49.90182767,310
40,81,CWH,CWHdm,CWHdm,-124.5258853,49.93562421,83
41,82,CWH,CWHdm,CWHdm,-123.7627102,50.12430927,598
42,83,CWH,CWHdm,CWHdm,-124.8894559,50.38884636,86
43,85,CWH,CWHdm,CWHdm,-124.3485516,50.06435709,55
44,87,CWH,CWHdm,CWHdm,-124.5559983,50.13358578,185
45,88,CWH,CWHdm,CWHdm,-124.4605336,50.06563447,168
46,89,CWH,CWHdm,CWHdm,-123.9832468,49.91286818,375
47,90,CWH,CWHdm,CWHdm,-124.3511911,50.12603589,298
48,92,CWH,CWHdm,CWHdm,-124.3831288,50.01847844,55
49,94,CWH,CWHdm,CWHdm,-124.7277935,50.36881744,285
50,95,CWH,CWHdm,CWHdm,-124.6117512,50.17061352,334
51,96,CWH,CWHdm,CWHdm,-124.6535706,50.10551867,258
52,98,CWH,CWHdm,CWHdm,-124.3342648,50.54599793,416
53,100,CWH,CWHdm,CWHdm,-124.8194479,50.59907032,117
54,101,CWH,CWHdm,CWHdm,-124.1510006,49.78698402,361
55,102,CWH,CWHdm,CWHdm,-123.8817423,50.13555945,620
56,103,CWH,CWHdm,CWHdm,-124.4273444,49.84527483,228
57,104,CWH,CWHdm,CWHdm,-123.9406328,49.99189353,387
58,105,CWH,CWHdm,CWHdm,-124.2807667,49.95700967,460
59,107,CWH,CWHdm,CWHdm,-124.1225445,49.85182671,643
60,110,CWH,CWHdm,CWHdm,-124.4231063,49.96538824,209
61,112,CWH,CWHdm,CWHdm,-125.0514296,50.39069625,236
62,113,CWH,CWHdm,CWHdm,-124.2386842,49.82389578,342
63,115,CWH,CWHdm,CWHdm,-123.8784445,50.05506398,549
64,116,CWH,CWHdm,CWHdm,-124.3880826,50.17885105,55
65,118,CWH,CWHdm,CWHdm,-124.5993601,50.22084774,304
66,119,CWH,CWHdm,CWHdm,-124.6788162,50.01103765,333
67,120,CWH,CWHdm,CWHdm,-124.2889142,50.23403191,439
68,121,CWH,CWHdm,CWHdm,-124.0910787,49.95857967,473
74,78,CWH,CWHdm,CWHdm,-123.6371056,49.4536146,303
75,86,CWH,CWHdm,CWHdm,-123.5171472,49.74116276,112
76,99,CWH,CWHdm,CWHdm,-123.7417981,49.54569552,294
77,108,CWH,CWHdm,CWHdm,-123.6355804,49.67568831,628
359,93,CWH,CWHdm,CWHdm,-124.8674964,50.25556639,495
360,111,CWH,CWHdm,CWHdm,-124.9216871,50.3026357,150
364,106,CWH,CWHdm,CWHdm,-124.7963504,50.25250084,116
365,114,CWH,CWHdm,CWHdm,-124.7090144,50.25348271,55
376,72,CWH,CWHdm,CWHdm,-123.9743499,49.70272903,12
377,80,CWH,CWHdm,CWHdm,-123.8353949,49.55512257,368
378,117,CWH,CWHdm,CWHdm,-123.9509497,49.75613747,118
381,109,CWH,CWHdm,CWHdm,-124.9999668,50.56638068,419
395,79,CWH,CWHdm,CWHdm,-123.8924999,49.80600345,562
396,97,CWH,CWHdm,CWHdm,-123.7296627,49.78483359,82
399,84,CWH,CWHdm,CWHdm,-124.1041659,49.70930294,126
444,91,CWH,CWHdm,CWHdm,-123.3885119,49.48483093,358
69,123,CWH,CWHds1,CWHds1,-124.1298598,50.55737277,426
70,138,CWH,CWHds1,CWHds1,-124.0335424,50.60404066,45
71,140,CWH,CWHds1,CWHds1,-123.9720097,50.6627616,99
72,147,CWH,CWHds1,CWHds1,-124.1916619,50.60773889,151
73,148,CWH,CWHds1,CWHds1,-124.0579621,50.55040996,500
121,122,CWH,CWHds1,CWHds1,-124.5883942,50.83049584,585
122,124,CWH,CWHds1,CWHds1,-124.3608262,50.97940421,231
123,125,CWH,CWHds1,CWHds1,-124.7202405,50.85579299,508
124,126,CWH,CWHds1,CWHds1,-124.9648235,51.00005722,254
125,127,CWH,CWHds1,CWHds1,-125.0248338,51.10046638,54
126,128,CWH,CWHds1,CWHds1,-125.0921294,51.04904158,428
127,129,CWH,CWHds1,CWHds1,-124.9531801,51.22810783,596
128,130,CWH,CWHds1,CWHds1,-124.4182918,50.90925707,400
129,131,CWH,CWHds1,CWHds1,-124.8525784,50.96753099,706
130,132,CWH,CWHds1,CWHds1,-124.9970968,51.19173886,114
131,133,CWH,CWHds1,CWHds1,-124.7808722,50.91992498,847
132,134,CWH,CWHds1,CWHds1,-125.0014435,50.80533175,450
133,135,CWH,CWHds1,CWHds1,-124.8976046,51.06209772,147
134,136,CWH,CWHds1,CWHds1,-124.9109977,50.7859545,70
135,137,CWH,CWHds1,CWHds1,-124.8202362,50.86656018,627
136,139,CWH,CWHds1,CWHds1,-124.9321466,50.93038703,460
137,141,CWH,CWHds1,CWHds1,-124.8164583,50.72167167,713
138,142,CWH,CWHds1,CWHds1,-124.6405224,50.90761009,692
139,143,CWH,CWHds1,CWHds1,-124.8961549,50.87643046,283
140,144,CWH,CWHds1,CWHds1,-124.4888943,50.8542136,339
141,145,CWH,CWHds1,CWHds1,-124.831437,50.76723502,610
142,146,CWH,CWHds1,CWHds1,-125.0758322,51.16891609,360
143,149,CWH,CWHds1,CWHds1,-124.9742424,51.05974771,27
144,150,CWH,CWHds1,CWHds1,-124.2858965,50.99562006,362
145,151,CWH,CWHds1,CWHds1,-125.0113289,51.26033872,708
146,152,CWH,CWHds1,CWHds1,-124.9425467,50.83568457,72
