MergedBGC,Source,SS_NoSpace,SSprob,SSCurrent,FuturePeriod,SiteNo
CWHds1,BECv10,CWHds1/01,0.8,CDFmm/01,2025,1
CWHds1,BECv10,CWHds1/03,0.2,CDFmm/01,2025,1
CWHds1,BECv10,CWHds1/02,0.666666666666667,CDFmm/02,2025,1
CWHds1,BECv10,CWHds1/03,0.333333333333333,CDFmm/02,2025,1
CWHds1,BECv10,CWHds1/04,1,CDFmm/03,2025,1
CWHds1,BECv10,CWHds1/04,0.2,CDFmm/04,2025,1
CWHds1,BECv10,CWHds1/05,0.8,CDFmm/04,2025,1
CWHds1,BECv10,CWHds1/06,1,CDFmm/05,2025,1
CWHds1,BECv10,CWHds1/07,1,CDFmm/06,2025,1
CWHds1,BECv10,CWHds1/08,1,CDFmm/07,2025,1
CWHds1,BECv10,CWHds1/09,1,CDFmm/08,2025,1
CWHds1,BECv10,CWHds1/10,1,CDFmm/09,2025,1
CWHds1,BECv10,CWHds1/11,1,CDFmm/10,2025,1
CWHds1,BECv10,CWHds1/12,1,CDFmm/11,2025,1
CWHds1,BECv10,CWHds1/07,0.25,CDFmm/12,2025,1
CWHds1,BECv10,CWHds1/08,0.25,CDFmm/12,2025,1
CWHds1,BECv10,CWHds1/09,0.25,CDFmm/12,2025,1
CWHds1,BECv10,CWHds1/10,0.25,CDFmm/12,2025,1
CWHds1,BECv10,CWHds1/07,0.25,CDFmm/13,2025,1
CWHds1,BECv10,CWHds1/08,0.25,CDFmm/13,2025,1
CWHds1,BECv10,CWHds1/09,0.25,CDFmm/13,2025,1
CWHds1,BECv10,CWHds1/10,0.25,CDFmm/13,2025,1
CWHds1,BECv10,CWHds1/12,1,CDFmm/14,2025,1
CWHds1,BECv10,CWHds1/01,0.8,CDFmm/01,2055,1
CWHds1,BECv10,CWHds1/03,0.2,CDFmm/01,2055,1
CWHds1,BECv10,CWHds1/02,0.666666666666667,CDFmm/02,2055,1
CWHds1,BECv10,CWHds1/03,0.333333333333333,CDFmm/02,2055,1
CWHds1,BECv10,CWHds1/04,1,CDFmm/03,2055,1
CWHds1,BECv10,CWHds1/04,0.2,CDFmm/04,2055,1
CWHds1,BECv10,CWHds1/05,0.8,CDFmm/04,2055,1
CWHds1,BECv10,CWHds1/06,1,CDFmm/05,2055,1
CWHds1,BECv10,CWHds1/07,1,CDFmm/06,2055,1
CWHds1,BECv10,CWHds1/08,1,CDFmm/07,2055,1
