SSCurrent,At,Bl,Cw,Fd,Hw,Lw,Pl,Py,RealRet,Sd,Sx
CDFmm/01,,,0.210240320945681,0.444962883359414,0.117988124091395,,0.219633070102346,0.00717560150116445,0.78549672411381,0.303355530153844,
CDFmm/02,,,0.0134091871430006,0.512303895117497,0.00877881481301096,,0.465508102926492,,0.950869805047849,0.505285545418081,
CDFmm/03,,,0.23547084816071,0.549739737447976,,,0.211313335529738,0.00347607886157607,0.851331702487967,0.377232859105959,
CDFmm/04,,,0.286684674791999,0.48096056749706,0.061882449736909,,0.167485311765628,0.00281833460315274,0.793355309078955,0.325763345091971,0.000168661605252058
CDFmm/05,,,0.29422503882182,0.552936018627096,0.0388477988059038,,0.113991143745181,,0.902415090162853,0.400862742362691,
CDFmm/06,,,0.325236448711377,0.554113380648205,0.0703690675518341,,0.0502811030885837,,0.88564658875638,0.423627025169062,
CDFmm/10,,,0.0376977528939341,,0.281976073114804,,0.680326173991262,,0.94884144190602,0.545355656666367,
CDFmm/11,,,0.745098870032201,,0.0392893763778008,,0.215611753589998,,0.928269657700767,0.595235572724528,
CWHdm/01,,,0.0704406766425526,0.570580688457543,0.159263807237918,,0.199600616116611,0.000114211545374904,0.862953109268133,0.504417622870079,
CWHdm/02,,,0,0.897033114029196,,,0.102966885970804,,0.993218427413629,0.884023171897065,
CWHdm/03,,,0.0341242823713947,0.433347193110182,0.169840024353054,,0.36268850016537,3.11643935946494e-18,0.90620564923956,0.4791048577347,
CWHdm/04,,,0.134844836582543,0.67850929715351,,,0.184875847942569,0.00177001832137751,0.885459016626444,0.614801776969493,
CWHdm/05,,,0.178722016996885,0.516506743703877,0.195530232527093,,0.109200299086916,4.07076852287178e-05,0.832486327842067,0.463425819422615,1.87321600983085e-17
CWHdm/06,,,0.070461382058395,0.56649954231025,0.362007738146157,,0.00103133748519819,,0.955993001126352,0.553179088746187,
CWHdm/07,,,0.184424820176057,0.609725056794601,0.203940675780366,,0.00190944724897655,,0.931615509732629,0.529629108528871,
CWHdm/11,,,0.00351331433793917,,0.687927318966977,,0.308559366695084,,0.948338278838482,0.620020553110825,
CWHdm/12,,,0.53327692807326,,0.456236971951579,,0.0104860999751608,,0.981239610920915,0.590955042760787,
CWHds1/01,,,0.0994087266910483,0.550661593579292,0.242319581906438,,0.107610097823221,1.13864382468783e-17,0.858292114354643,0.397048269934767,
CWHds1/02,,,,0.937499984193438,,,0.0625000158065616,,1,0.99999996958224,
CWHds1/03,,,0.0629207165689864,0.405747109844297,0.189305450934146,,0.342026722652571,1.11920269559177e-17,0.910406684820682,0.350402939220248,
CWHds1/04,,,0.201846887846379,0.579397451934126,,,0.218755660219495,7.79106543988717e-18,0.857004997931396,0.469296795338036,
CWHds1/05,,,0.200855419829359,0.494061211231653,0.263378960662571,,0.0408435709619828,1.38680467378086e-17,0.839110682617259,0.383736538259725,0.000860837314434363
CWHds1/06,,,0.0847709653312682,0.538498353649468,0.374368586447811,,0.00236209457145216,,0.96508296983923,0.464159905999029,
CWHds1/07,,,0.178771469548971,0.549295876053909,0.27193265439712,,1.12186714374071e-17,,0.926761754477194,0.425738686682479,
CWHds1/11,,,0.0010014217991371,,0.696717716689714,,0.302280861511149,,0.950353643728983,0.608999345293334,
CWHds1/12,,,0.690051589591883,,0.290426752604112,,0.019521657804006,,0.975161850174116,0.61535232626485,
CWHms1/01,0.00359603144075759,0.00865344040452014,0.18054544234218,0.448661945872692,0.234451667006622,0.00105992111534957,0.117407682462683,0.00562386935519477,0.83591447971524,0.295520197983094,
CWHms1/02,,,,0.615059188824836,0.00784426946390238,,0.377096541711261,,0.972467965711503,0.64757861882134,
CWHms1/03,,,0.0495297510262089,0.511067974502289,0.151317395787003,,0.287444159334114,0.000640719350386227,0.906633783198546,0.461136519441821,
CWHms1/04,,,0.24123043280305,0.38674306135928,0.231817856208255,,0.107143223137749,0.00507463848060564,0.786518970973656,0.29580976273195,0.02799078801106
CWHms1/05,,,0.215312751607256,0.320936580207324,0.461802270083598,,0.00194839810182177,,0.951734622634466,0.517588731902119,
CWHms1/06,,,0.210613373607107,0.510467411523172,0.272346802324699,,0.00657241254502169,,0.9275087506926,0.414574879747183,
CWHms1/10,,,0.0144512606459672,,0.600070167824652,,0.385478571529381,,0.951668411683462,0.555334866571873,
CWHms1/11,,,0.582301498297721,,0.378193706124122,,0.0395047955781568,,0.930508035101414,0.506008959927249,3.64981039938359e-18
CWHvm1/01,,,0.130829512715666,0.498497377740126,0.202824871407811,,0.167848238136397,8.45803282990471e-18,0.833757476877894,0.377291404895542,
CWHvm1/02,,,0.000705212880886342,0.596316736043863,,,0.402978051075251,,0.99569872050372,0.867295744413838,
CWHvm1/03,,,0.0159568267996801,0.496991624845365,0.143809331960042,,0.343242216394913,1.43959117547887e-17,0.905930069180424,0.458369321677992,
CWHvm1/04,,,0.221337417657194,0.525570552048028,7.55944781751992e-18,,0.237472313049604,0.0156197172451741,0.808433579655082,0.519375292172388,
CWHvm1/05,,,0.232274435246607,0.465021707060813,0.208261872302628,,0.0866056353903902,0.00433250550799631,0.813160199775012,0.370753725088492,0.00350384449156594
CWHvm1/06,,,0.0697164283323757,0.551574888583136,0.362741260921127,,0.015967422163362,,0.951557111505023,0.440801295698848,
CWHvm1/07,,,0.367512368193051,0.0918084157174383,0.515888241848397,,0.0247909742411147,,0.948292714846154,0.430694018236556,
CWHvm1/08,,,0.216149774801308,0.519734514414243,0.260957293696694,,0.00315841708775475,,0.911340432930888,0.385958921631502,
CWHvm1/12,,,0.0368476962060455,0.599976933992796,0.363175369801159,,1.91080906118524e-17,,0.950936386165242,0.462495382481538,
CWHvm1/13,,,0.0048766016016343,,0.693197575118722,,0.301925823279643,,0.940888063942926,0.589008848667932,
CWHvm1/14,,,0.535088765837948,,0.444595926481505,,0.0203153076805469,,0.975880849588119,0.517278298810205,
CWHvm2/01,,,0.196571992219575,0.243543152537304,0.498135567287395,,0.0578873166376753,0.00042285436246679,0.93415433188032,0.348702692513427,0.00343911695558352
CWHvm2/02,,,,0.41137824567541,0.0114664384240968,,0.577155315900494,,0.954312702780681,0.564253408140275,
CWHvm2/03,,,0.10488004823589,0.527112523178174,0.244892135292344,,0.122304193786084,0.000811099507509413,0.889672214387552,0.485422810640405,
CWHvm2/04,,,0.240801976746106,0.514388215207154,2.09148512483324e-17,,0.238016012353806,0.0067937956929352,0.842607119232411,0.451525757519836,
CWHvm2/05,,,0.227218325062954,0.345416990563107,0.318284648577718,,0.100583437672408,0.000983398615771875,0.909091311621203,0.20490024395169,0.00751319950804013
CWHvm2/06,,,0.259649680312094,0.0143802853238884,0.608228393830882,,0.117741640533135,,0.93211589571225,0.50845983448244,
CWHvm2/07,,,0.402343782420383,0.0367741986198185,0.520817075545461,,0.0400649434143377,,0.961740703343958,0.497889466033887,
CWHvm2/08,,,0.156160859400496,0.574920260019467,0.267767073390617,,0.00115180718941973,,0.920558863566627,0.416436563156292,
CWHvm2/09,,,0.0705973826725196,0.590537101914187,0.331634710724518,,0.0072308046887756,,0.955717576368119,0.527419292042482,
CWHvm2/10,,,0.00687763335072836,,0.670869482481256,,0.322252884168016,,0.939527671384587,0.549014919868261,
CWHvm2/11,,,0.612689943559858,,0.369503539084439,,0.0178065173557033,,0.975741060303039,0.540253551595337,
CWHxm1/01,,,0.11067358750936,0.511175145808074,0.230097940940103,,0.148053325742463,1.45134921813892e-17,0.845974531456069,0.379616190029024,
CWHxm1/02,,,,0.999999996726507,,,3.27349318485215e-09,,1,0.999999994180058,
CWHxm1/03,,,0.0464129501156493,0.439691240167931,0.178442392739665,,0.335453416976755,1.24914102678567e-17,0.922886139884044,0.40337214570577,
CWHxm1/04,,,0.183852497186206,0.59064113973402,,,0.225506363079775,1.27088103011895e-17,0.860912903742787,0.476199796682769,
CWHxm1/05,,,0.18914060952667,0.45482872873066,0.240670539168407,,0.110291351545096,0.00260722242482253,0.805358783969341,0.35066591000251,0.0024615486043448
CWHxm1/06,,,0.0724863044990046,0.540650570803062,0.385884821890372,,0.000978302807561416,,0.964326114301001,0.467782221825101,
CWHxm1/07,,,0.197279833543153,0.569678237092705,0.233041929364142,,2.46755144247043e-17,,0.929047868762884,0.448639762063373,
CWHxm1/11,,,0.0159214133824218,,0.688795726272294,,0.295282860345284,,0.948705560150309,0.6044389282684,
CWHxm1/12,,,0.619655675822864,,0.37005169944758,,0.0102926247295555,,0.977330836309698,0.557546978716368,
MHmm1/01,,,0.0311091684288475,0.384046648893052,0.465365417934963,,0.00111105811330437,4.62592926927149e-19,0.812486175353398,0.349259261671252,0.118367706629834
MHmm1/02,,,0.00452491066118805,0.578461632137845,0.319262802751686,,0.097750654449281,,0.861474741007089,0.421690470570082,
MHmm1/03,,,0.0190531508630654,0.419976350204287,0.523741558329427,,0,,0.88614185115675,0.378778228783692,0.0372289406032203
MHmm1/04,,,0.0988497901589938,0.00515440678354038,0.895995803057466,,5.160802341031e-17,,0.959286567737206,0.894196427673751,
MHmm1/05,,,0.0681024972025652,0.309685461018217,0.594801501995259,,,,0.913923933967264,0.434494535549862,0.0274105397839586
MHmm1/06,,,1.79361451835765e-09,5.60121922965619e-14,0.999999998206329,,2.9657221051078e-17,,1,0.999999998707526,
MHmm1/07,,,0.045691983957238,0.326987271326555,0.544842025176412,,5.16169619658577e-18,,0.860702751620947,0.461725243063918,0.0824787195397949
MHmm1/08,,,0.0152107920301533,,0.802639979165341,,0.182149228804506,,0.933321702237562,0.68788868766652,
MHmm1/09,,,0.32280609030981,,0.660064442615407,,,,0.915011099060279,0.532655385927697,0.0171294670747827
