Risk,Spp,Weight
2,Cw,0.00
2,Lw,0.00
2,Bl,0.00
2,Hw,0.00
2,Fd,0.00
2,Pl,0.49
2,Sx,0.52
4,Cw,0.00
4,Lw,0.00
4,Bl,0.00
4,Hw,0.00
4,Fd,0.01
4,Pl,0.48
4,Sx,0.51
6,Cw,0.00
6,Lw,0.00
6,Bl,0.00
6,Hw,0.01
6,Fd,0.03
6,Pl,0.47
6,Sx,0.49
8,Cw,0.00
8,Lw,0.00
8,Bl,0.00
8,Hw,0.03
8,Fd,0.06
8,Pl,0.45
8,Sx,0.46
10,Cw,0.00
10,Lw,0.00
10,Bl,0.01
10,Hw,0.05
10,Fd,0.09
10,Pl,0.42
10,Sx,0.44
12,Cw,0.00
12,Lw,0.01
12,Bl,0.02
12,Hw,0.08
12,Fd,0.11
12,Pl,0.39
12,Sx,0.41
14,Cw,0.01
14,Lw,0.01
14,Bl,0.03
14,Hw,0.10
14,Fd,0.13
14,Pl,0.37
14,Sx,0.38
16,Cw,0.01
16,Lw,0.01
16,Bl,0.04
16,Hw,0.11
16,Fd,0.14
16,Pl,0.34
16,Sx,0.35
18,Lw,0.01
18,Cw,0.01
18,Bl,0.06
18,Hw,0.13
18,Fd,0.15
18,Pl,0.32
18,Sx,0.33
20,Lw,0.01
20,Cw,0.01
20,Bl,0.08
20,Hw,0.14
20,Fd,0.16
20,Pl,0.30
20,Sx,0.31
22,Lw,0.02
22,Cw,0.02
22,Bl,0.10
22,Hw,0.14
22,Fd,0.17
22,Pl,0.28
22,Sx,0.29
24,Lw,0.02
24,Cw,0.02
24,Bl,0.12
24,Hw,0.15
24,Fd,0.17
24,Pl,0.27
24,Sx,0.27
26,Lw,0.02
26,Cw,0.02
26,Bl,0.13
26,Hw,0.15
26,Fd,0.18
26,Sx,0.25
26,Pl,0.25
28,Lw,0.02
28,Cw,0.03
28,Bl,0.14
28,Hw,0.16
28,Fd,0.19
28,Sx,0.24
28,Pl,0.24
30,Lw,0.03
30,Cw,0.03
30,Bl,0.16
30,Hw,0.16
30,Fd,0.19
30,Sx,0.22
30,Pl,0.22
32,Lw,0.03
32,Cw,0.03
32,Hw,0.16
32,Bl,0.17
32,Fd,0.20
32,Sx,0.21
32,Pl,0.21
34,Lw,0.03
34,Cw,0.04
34,Hw,0.16
34,Bl,0.18
34,Sx,0.20
34,Fd,0.20
34,Pl,0.20
36,Lw,0.04
36,Cw,0.04
36,Hw,0.16
36,Bl,0.19
36,Sx,0.19
36,Pl,0.19
36,Fd,0.20
38,Lw,0.04
38,Cw,0.05
38,Hw,0.16
38,Sx,0.18
38,Pl,0.18
38,Bl,0.20
38,Fd,0.21
40,Lw,0.04
40,Cw,0.05
40,Hw,0.16
40,Sx,0.17
40,Pl,0.18
40,Bl,0.21
40,Fd,0.21
42,Lw,0.05
42,Cw,0.05
42,Hw,0.16
42,Sx,0.16
42,Pl,0.17
42,Fd,0.21
42,Bl,0.21
44,Lw,0.05
44,Cw,0.06
44,Hw,0.15
44,Sx,0.16
44,Pl,0.16
44,Fd,0.21
44,Bl,0.22
46,Lw,0.05
46,Cw,0.06
46,Sx,0.15
46,Hw,0.15
46,Pl,0.15
46,Fd,0.21
46,Bl,0.23
48,Lw,0.06
48,Cw,0.06
48,Sx,0.14
48,Pl,0.15
48,Hw,0.15
48,Fd,0.21
48,Bl,0.24
50,Lw,0.06
50,Cw,0.07
50,Sx,0.14
50,Pl,0.14
50,Hw,0.15
50,Fd,0.21
50,Bl,0.24
