"","Spp","Risk","Weight"
"1","Ba",2,-1.20273282683209e-16
"2","Bl",2,9.13428181557753e-05
"3","Cw",2,1.11203373647762e-16
"4","Fd",2,0.00243174993347534
"5","Hw",2,0.00034188569663901
"6","Lw",2,4.16666666675735e-06
"7","Pl",2,0.490746890557294
"8","Py",2,8.66505168019875e-17
"9","Ss",2,1.85032122809581e-16
"10","Sx",2,0.516383964327772
"11","Ba",4,-5.49115803437275e-18
"12","Bl",4,0.000211501461695013
"13","Cw",4,2.68244701829859e-05
"14","Fd",4,0.0125047646325485
"15","Hw",4,0.00293348287065779
"16","Lw",4,0.000124143957101988
"17","Pl",4,0.483401318802529
"18","Py",4,5.84395279767919e-17
"19","Ss",4,-5.62846839805123e-17
"20","Sx",4,0.510797963805282
"21","Ba",6,-3.01768071289461e-17
"22","Bl",6,0.000461308059734839
"23","Cw",6,0.000367962593746354
"24","Fd",6,0.0341121417390002
"25","Hw",6,0.0110731134026396
"26","Lw",6,0.000287371714873879
"27","Pl",6,0.471049045458014
"28","Py",6,1.56929489878092e-16
"29","Ss",6,-7.09873049930441e-17
"30","Sx",6,0.492649057031991
"31","Ba",8,-1.88959944506751e-17
"32","Bl",8,0.00112834776135849
"33","Cw",8,0.00128986660043967
"34","Fd",8,0.0617509365336255
"35","Hw",8,0.0271528050235997
"36","Lw",8,0.000752909147975873
"37","Pl",8,0.448580292087114
"38","Py",8,4.10949086120128e-17
"39","Ss",8,-1.08140546187178e-19
"40","Sx",8,0.469344842845888
"41","Ba",10,4.02258467273236e-18
"42","Bl",10,0.00197360825248211
"43","Cw",10,0.0024709129621288
"44","Fd",10,0.0900682886696285
"45","Hw",10,0.0491062108835723
"46","Lw",10,0.00103405334408495
"47","Pl",10,0.4216186877003
"48","Py",10,-5.56529958349602e-17
"49","Ss",10,7.55892783359323e-18
"50","Sx",10,0.443728238187802
"51","Ba",12,5.88935061771412e-18
"52","Bl",12,0.00293115128183745
"53","Cw",12,0.00395432707715405
"54","Fd",12,0.11246438271617
"55","Hw",12,0.0716366111596365
"56","Lw",12,0.00127962353797791
"57","Pl",12,0.397024541565431
"58","Py",12,-7.15880964412109e-18
"59","Ss",12,1.5859972554943e-17
"60","Sx",12,0.420709362661793
"61","Ba",14,9.44972081176473e-18
"62","Bl",14,0.00395265706736116
"63","Cw",14,0.00595504996271537
"64","Fd",14,0.12837780792135
"65","Hw",14,0.0925205250275234
"66","Lw",14,0.00153249805642728
"67","Pl",14,0.376351831460884
"68","Py",14,4.83559816483285e-20
"69","Ss",14,1.48478452086185e-19
"70","Sx",14,0.401309630503738
"71","Ba",16,8.61848447944648e-18
"72","Bl",16,0.00512483080636114
"73","Cw",16,0.00837019041435094
"74","Fd",16,0.139919680233299
"75","Hw",16,0.110595832720085
"76","Lw",16,0.00175417343681907
"77","Pl",16,0.359140784565918
"78","Py",16,-1.67836740943845e-17
"79","Ss",16,-2.73995622436602e-17
"80","Sx",16,0.385094507823167
"81","Ba",18,-3.16907240005748e-18
"82","Bl",18,0.00634695698610082
"83","Cw",18,0.011026159652533
"84","Fd",18,0.149146610979679
"85","Hw",18,0.125775874417473
"86","Lw",18,0.00196925627537079
"87","Pl",18,0.344456405496259
"88","Py",18,1.42713862935407e-17
"89","Ss",18,1.72101857287815e-17
"90","Sx",18,0.371278736192584
"91","Ba",20,1.41046970849096e-06
"92","Bl",20,0.00750879748624871
"93","Cw",20,0.0136987630882862
"94","Fd",20,0.157123362705764
"95","Hw",20,0.138212570675616
"96","Lw",20,0.00214576543451443
"97","Pl",20,0.331822342284405
"98","Py",20,1.47515671590701e-05
"99","Ss",20,2.00936786731423e-05
"100","Sx",20,0.359452142609624
"101","Ba",22,1.02313139300952e-05
"102","Bl",22,0.00865965827591756
"103","Cw",22,0.0161933394955905
"104","Fd",22,0.164206830803264
"105","Hw",22,0.14822543319754
"106","Lw",22,0.00230769149706428
"107","Pl",22,0.32091847394405
"108","Py",22,8.68899100995723e-05
"109","Ss",22,0.000111478755988787
"110","Sx",22,0.349279972806555
"111","Ba",24,4.34634619696279e-05
"112","Bl",24,0.00979110583275071
"113","Cw",24,0.0185165135248737
"114","Fd",24,0.170823334214318
"115","Hw",24,0.156047199180788
"116","Lw",24,0.00241618244325643
"117","Pl",24,0.311299301558726
"118","Py",24,0.000358868980337515
"119","Ss",24,0.000330547606897043
"120","Sx",24,0.340373483196082
"121","Ba",26,0.000111274225256317
"122","Bl",26,0.0109542783389213
"123","Cw",26,0.02062372002672
"124","Fd",26,0.176785032990156
"125","Hw",26,0.162146066382212
"126","Lw",26,0.00244740837940014
"127","Pl",26,0.302671911671255
"128","Py",26,0.0011175107568701
"129","Ss",26,0.000699127365620737
"130","Sx",26,0.332443669863588
"131","Ba",28,0.000216461093635041
"132","Bl",28,0.0121811753716923
"133","Cw",28,0.0224852629569833
"134","Fd",28,0.181747428064312
"135","Hw",28,0.166957773560622
"136","Lw",28,0.00241839953245926
"137","Pl",28,0.294845037126683
"138","Py",28,0.00262970006267501
"139","Ss",28,0.00122278082740353
"140","Sx",28,0.325295981403535
"141","Ba",30,0.000351699670160866
"142","Bl",30,0.0135192658870504
"143","Cw",30,0.0241656161148509
"144","Fd",30,0.185612702114434
"145","Hw",30,0.170780970822619
"146","Lw",30,0.0023497020388242
"147","Pl",30,0.287735554386202
"148","Py",30,0.00478106805006851
"149","Ss",30,0.0018911476476508
"150","Sx",30,0.318812273268139
"151","Ba",32,0.000507440764388129
"152","Bl",32,0.0149570680471377
"153","Cw",32,0.0256777106003262
"154","Fd",32,0.188561746909781
"155","Hw",32,0.173825171381685
"156","Lw",32,0.00226536043215841
"157","Pl",32,0.281261712166353
"158","Py",32,0.00732593357586651
"159","Ss",32,0.00272475828544433
"160","Sx",32,0.312893097836859
"161","Ba",34,0.000697017843639304
"162","Bl",34,0.0164779510063545
"163","Cw",34,0.0270178643862489
"164","Fd",34,0.190743100119665
"165","Hw",34,0.176204344343561
"166","Lw",34,0.00217557555872896
"167","Pl",34,0.27532153681208
"168","Py",34,0.0101671957003077
"169","Ss",34,0.00375706843740994
"170","Sx",34,0.307438345792005
"171","Ba",36,0.000944038953697443
"172","Bl",36,0.0180241716743886
"173","Cw",36,0.0282091553290842
"174","Fd",36,0.192353114141403
"175","Hw",36,0.177904965964863
"176","Lw",36,0.00208628286155466
"177","Pl",36,0.269847043404295
"178","Py",36,0.013114562739619
"179","Ss",36,0.00513328528645157
"180","Sx",36,0.302383379644644
"181","Ba",38,0.00129154936129974
"182","Bl",38,0.01961737727654
