"","Spp","Risk","Weight"
"1","Bl",2,0.00161669457507326
"2","Cw",2,-1.17126096278572e-16
"3","Fd",2,0.283016842227398
"4","Hw",2,0.000448207096064668
"5","Lw",2,-2.58073159861681e-16
"6","Pl",2,0.191506505120257
"7","Sx",2,0.533411750981203
"8","Bl",4,0.00183059677511516
"9","Cw",4,-2.76497710537907e-17
"10","Fd",4,0.294623135123522
"11","Hw",4,0.00447612300726796
"12","Lw",4,-1.34794672274154e-16
"13","Pl",4,0.217640298627258
"14","Sx",4,0.491429846466837
"15","Bl",6,0.00253017074406537
"16","Cw",6,-9.43213350339065e-18
"17","Fd",6,0.297785902577722
"18","Hw",6,0.0142196163902534
"19","Lw",6,5.87583670459337e-18
"20","Pl",6,0.242512842837553
"21","Sx",6,0.452951467450404
"22","Bl",8,0.00346773576413183
"23","Cw",8,-2.34866966171404e-18
"24","Fd",8,0.296386350883789
"25","Hw",8,0.0276201298593385
"26","Lw",8,-6.38453736198132e-17
"27","Pl",8,0.25781849505459
"28","Sx",8,0.42470728843815
"29","Bl",10,0.00481546738212242
"30","Cw",10,6.54664032186237e-18
"31","Fd",10,0.294177653955489
"32","Hw",10,0.0422014864450431
"33","Lw",10,7.62333484592191e-17
"34","Pl",10,0.264056911425077
"35","Sx",10,0.404748480792267
"36","Bl",12,0.00616073256952738
"37","Cw",12,0.000112999848463346
"38","Fd",12,0.292429240810642
"39","Hw",12,0.0568974933182467
"40","Lw",12,6.13094856200505e-18
"41","Pl",12,0.265773820994237
"42","Sx",12,0.388625712458883
"43","Bl",14,0.00744799908037189
"44","Cw",14,0.000357446224990493
"45","Fd",14,0.290802338208704
"46","Hw",14,0.0711259949434637
"47","Lw",14,-1.81548727449186e-17
"48","Pl",14,0.265050104563077
"49","Sx",14,0.375216116979393
"50","Bl",16,0.00868061447299086
"51","Cw",16,0.000966806475187576
"52","Fd",16,0.289549007966043
"53","Hw",16,0.0844099769486388
"54","Lw",16,3.24466172659039e-05
"55","Pl",16,0.262804210724441
"56","Sx",16,0.363556936795433
"57","Bl",18,0.0097997441350469
"58","Cw",18,0.00186504774969839
"59","Fd",18,0.289154888848753
"60","Hw",18,0.0969743508228354
"61","Lw",18,0.000123547134486928
"62","Pl",18,0.259248675272698
"63","Sx",18,0.352833746036482
"64","Bl",20,0.010820645451009
"65","Cw",20,0.00326429527050239
"66","Fd",20,0.288520582280505
"67","Hw",20,0.108631570099999
"68","Lw",20,0.000231863735276469
"69","Pl",20,0.255305330146947
"70","Sx",20,0.343225713015761
"71","Bl",22,0.0117050135015982
"72","Cw",22,0.0050467576827556
"73","Fd",22,0.287462112084521
"74","Hw",22,0.11947023394008
"75","Lw",22,0.000345061340687469
"76","Pl",22,0.251319458828301
"77","Sx",22,0.334651362622056
"78","Bl",24,0.0125820601328702
"79","Cw",24,0.0074036358896532
"80","Fd",24,0.286126165526151
"81","Hw",24,0.128967545992088
"82","Lw",24,0.000428353078906739
"83","Pl",24,0.247471489686354
"84","Sx",24,0.327020749693977
"85","Bl",26,0.013510050006903
"86","Cw",26,0.00997025566857945
"87","Fd",26,0.28476950621383
"88","Hw",26,0.137049388704703
"89","Lw",26,0.000463425965526925
"90","Pl",26,0.243942576166184
"91","Sx",26,0.320294797274273
"92","Bl",28,0.014507746751429
"93","Cw",28,0.0124966740846908
"94","Fd",28,0.283488740221063
"95","Hw",28,0.143939131437073
"96","Lw",28,0.000471806237132362
"97","Pl",28,0.240752576295231
"98","Sx",28,0.314343324973382
"99","Bl",30,0.0155631438338567
"100","Cw",30,0.0149524789627093
"101","Fd",30,0.282323120575614
"102","Hw",30,0.149734769134875
"103","Lw",30,0.000478898506616184
"104","Pl",30,0.237885260319551
"105","Sx",30,0.309062328666777
"106","Bl",32,0.0166058678062058
"107","Cw",32,0.0172481184651828
"108","Fd",32,0.281254168054369
"109","Hw",32,0.154710554053197
"110","Lw",32,0.000487625079734675
"111","Pl",32,0.235322518488558
"112","Sx",32,0.304371148052753
"113","Bl",34,0.0176096165223512
"114","Cw",34,0.0194275201068927
"115","Fd",34,0.280265157799963
"116","Hw",34,0.159006032524787
"117","Lw",34,0.000495324997192183
"118","Pl",34,0.233016366378821
"119","Sx",34,0.300179981669993
"120","Bl",36,0.0186157747599593
"121","Cw",36,0.0214420495840457
