"","Spp","Risk","Weight"
"1","Bl",2,0.000192083487833306
"2","Cw",2,-2.66190057795245e-16
"3","Fd",2,0.00233677293912548
"4","Hw",2,0.000907481754908697
"5","Lw",2,1.66666666668089e-05
"6","Pl",2,0.490617018810263
"7","Sx",2,0.515929976341205
"8","Bl",4,0.000563788173363884
"9","Cw",4,2.81201640627498e-05
"10","Fd",4,0.0122597033512636
"11","Hw",4,0.00374823525318558
"12","Lw",4,0.000132797353157698
"13","Pl",4,0.484521446122949
"14","Sx",4,0.508745909582018
"15","Bl",6,0.0013993327892133
"16","Cw",6,0.000467716194063919
"17","Fd",6,0.0329062591026193
"18","Hw",6,0.0130725748595681
"19","Lw",6,0.000745287246406556
"20","Pl",6,0.472137593440057
"21","Sx",6,0.489271236368072
"22","Bl",8,0.00346346027349527
"23","Cw",8,0.00138017084388087
"24","Fd",8,0.0601478925644972
"25","Hw",8,0.0304810867247118
"26","Lw",8,0.00189178616488983
"27","Pl",8,0.448757045037839
"28","Sx",8,0.463878558390686
"29","Bl",10,0.00807328008016143
"30","Cw",10,0.00266197652821493
"31","Fd",10,0.087457782218854
"32","Hw",10,0.053407915409532
"33","Lw",10,0.00343595148873953
"34","Pl",10,0.41984034595219
"35","Sx",10,0.435122748322307
"36","Bl",12,0.0167425646326647
"37","Cw",12,0.00423410973168297
"38","Fd",12,0.10929228557969
"39","Hw",12,0.0766065186523071
"40","Lw",12,0.00508047247315981
"41","Pl",12,0.391671442091127
"42","Sx",12,0.406372606839368
"43","Bl",14,0.0291939541149057
"44","Cw",14,0.00608009468525707
"45","Fd",14,0.125461997354886
"46","Hw",14,0.0968998062628678
"47","Lw",14,0.00684362563490732
"48","Pl",14,0.366208699035185
"49","Sx",14,0.379311822911991
"50","Bl",16,0.044921259387791
"51","Cw",16,0.00843003867099407
"52","Fd",16,0.138102027218496
"53","Hw",16,0.113643121951118
"54","Lw",16,0.00866166599367398
"55","Pl",16,0.342761242080626
"56","Sx",16,0.353480644697301
"57","Bl",18,0.0628655645719581
"58","Cw",18,0.0112106427246761
"59","Fd",18,0.148713379384278
"60","Hw",18,0.126819135242486
"61","Lw",18,0.0108301021822259
"62","Pl",18,0.320773393388631
"63","Sx",18,0.328787782505744
"64","Bl",20,0.0813330940956727
"65","Cw",20,0.0144039144279691
"66","Fd",20,0.157998531273042
"67","Hw",20,0.136755909942901
"68","Lw",20,0.0131349581881986
"69","Pl",20,0.300518471105834
"70","Sx",20,0.305855120966382
"71","Bl",22,0.0989525770208591
"72","Cw",22,0.0176805427208892
"73","Fd",22,0.166483679633354
"74","Hw",22,0.144093399575526
"75","Lw",22,0.0154567173543791
"76","Pl",22,0.282198543450324
"77","Sx",22,0.285134540244669
"78","Bl",24,0.115355296484339
"79","Cw",24,0.021051143818594
"80","Fd",24,0.174375985477604
"81","Hw",24,0.149251209895596
"82","Lw",24,0.017872973243219
"83","Pl",24,0.265584920032038
"84","Sx",24,0.26650847104861
"85","Bl",26,0.130245814478509
"86","Cw",26,0.0243754228585404
"87","Fd",26,0.18145926007864
"88","Hw",26,0.152940966493025
"89","Lw",26,0.0204461962691834
"90","Pl",26,0.250609568447928
"91","Sx",26,0.249922771374175
"92","Bl",28,0.143675699654403
"93","Cw",28,0.0277458470139908
"94","Fd",28,0.187615778120721
"95","Hw",28,0.155528701041072
"96","Lw",28,0.0231099844634843
"97","Pl",28,0.23713889682022
"98","Sx",28,0.235185092886109
"99","Bl",30,0.155861078614514
"100","Cw",30,0.0311995566741565
"101","Fd",30,0.192908704091466
"102","Hw",30,0.157217906478936
"103","Lw",30,0.0258959209389032
"104","Pl",30,0.224916964302402
"105","Sx",30,0.221999868899622
"106","Bl",32,0.167108289428743
"107","Cw",32,0.0348187374589935
"108","Fd",32,0.197358829268303
"109","Hw",32,0.158111763454514
"110","Lw",32,0.0288197701221571
"111","Pl",32,0.213710119447939
"112","Sx",32,0.21007249081935
"113","Bl",34,0.17756761972507
"114","Cw",34,0.0384948214311328
"115","Fd",34,0.201072552976868
"116","Hw",34,0.158406087900696
"117","Lw",34,0.0319070306805135
"118","Pl",34,0.203352679631101
"119","Sx",34,0.199199207654618
"120","Bl",36,0.187376784565098
"121","Cw",36,0.0423005971911142
"122","Fd",36,0.204112155477677
"123","Hw",36,0.158133675680381
"124","Lw",36,0.0351872325505421
"125","Pl",36,0.193681168373176
"126","Sx",36,0.189208386162012
"127","Bl",38,0.196659676238268
"128","Cw",38,0.0461235818032717
"129","Fd",38,0.206587141515202
"130","Hw",38,0.157467996682973
"131","Lw",38,0.0386210651228597
"132","Pl",38,0.184595134334758
"133","Sx",38,0.179945404302668
"134","Bl",40,0.205447645685424
"135","Cw",40,0.0499270883768565
"136","Fd",40,0.208616592912356
"137","Hw",40,0.15651101536484
"138","Lw",40,0.0421030728553593
"139","Pl",40,0.176061234356411
"140","Sx",40,0.171333350448754
"141","Bl",42,0.213766512852198
"142","Cw",42,0.0536771745438423
"143","Fd",42,0.21024448327456
"144","Hw",42,0.155325336870554
"145","Lw",42,0.0456694861405432
"146","Pl",42,0.168009657777511
"147","Sx",42,0.163307348540791
"148","Bl",44,0.22165682248772
"149","Cw",44,0.0573828077299746
"150","Fd",44,0.211533396579791
"151","Hw",44,0.153947661013501
"152","Lw",44,0.0492831915575572
"153","Pl",44,0.160393018643943
"154","Sx",44,0.155803101987512
"155","Bl",46,0.229092853202497
"156","Cw",46,0.0610433332277656
"157","Fd",46,0.212539699973889
"158","Hw",46,0.152413431586546
"159","Lw",46,0.052898797370944
"160","Pl",46,0.153204553144245
"161","Sx",46,0.148807331494114
"162","Bl",48,0.236041027212602
"163","Cw",48,0.0645945908080675
"164","Fd",48,0.213336113438305
"165","Hw",48,0.150812473689751
"166","Lw",48,0.0564402061905233
"167","Pl",48,0.146462122843636
"168","Sx",48,0.142313465817116
"169","Bl",50,0.242537284099608
"170","Cw",50,0.0680518120459916
"171","Fd",50,0.213949515369347
"172","Hw",50,0.149154629901844
"173","Lw",50,0.0599061941633507
"174","Pl",50,0.140125033957537
"175","Sx",50,0.136275447993193
