"","Spp","Risk","Weight"
"1","Bl",2,0.000597795388220269
"2","Cw",2,4.16666666687569e-06
"3","Fd",2,0.00214228970563694
"4","Hw",2,0.000765445777780604
"5","Lw",2,1.25000000001909e-05
"6","Pl",2,0.48948657443996
"7","Sx",2,0.516991228021724
"8","Bl",4,0.00450614919203146
"9","Cw",4,0.00010989346127988
"10","Fd",4,0.0122209601709912
"11","Hw",4,0.00366986903829519
"12","Lw",4,0.000115164056972886
"13","Pl",4,0.482539256857537
"14","Sx",4,0.50683870722289
"15","Bl",6,0.0175761365730255
"16","Cw",6,0.000636970460577519
"17","Fd",6,0.0319577247687863
"18","Hw",6,0.0123094378524064
"19","Lw",6,0.00051011011392986
"20","Pl",6,0.466395760207697
"21","Sx",6,0.480613860023576
"22","Bl",8,0.0439256715442753
"23","Cw",8,0.0015005710913675
"24","Fd",8,0.0584953372529769
"25","Hw",8,0.0291587793092682
"26","Lw",8,0.00155280205276363
"27","Pl",8,0.43388733041881
"28","Sx",8,0.441479508330535
"29","Bl",10,0.0746273110830235
"30","Cw",10,0.00265933845919299
"31","Fd",10,0.0836427085667819
"32","Hw",10,0.0504857367544896
"33","Lw",10,0.00283123545416114
"34","Pl",10,0.396732573614188
"35","Sx",10,0.399021096068164
"36","Bl",12,0.101376245106156
"37","Cw",12,0.00414707466205343
"38","Fd",12,0.103760530079215
"39","Hw",12,0.0711597769762787
"40","Lw",12,0.00413651686593659
"41","Pl",12,0.36361653464655
"42","Sx",12,0.361803321663811
"43","Bl",14,0.122515098107599
"44","Cw",14,0.00597107263753425
"45","Fd",14,0.118286737728606
"46","Hw",14,0.0894828766344339
"47","Lw",14,0.00538473963949823
"48","Pl",14,0.336649208944989
"49","Sx",14,0.331710266307339
"50","Bl",16,0.139017427960613
"51","Cw",16,0.00810792216556814
"52","Fd",16,0.128973646697899
"53","Hw",16,0.105464366818387
"54","Lw",16,0.00652158921034974
"55","Pl",16,0.314625645398622
"56","Sx",16,0.30728940174856
"57","Bl",18,0.152087606424685
"58","Cw",18,0.0105209463039059
"59","Fd",18,0.137355486224086
