"","Spp","Risk","Weight"
"1","Bl",2,0.0018169238659395
"2","Pl",2,0.193672414883658
"3","Sx",2,0.814510661250402
"4","Bl",4,0.00313459497149607
"5","Pl",4,0.277430474793185
"6","Sx",4,0.729434930235319
"7","Bl",6,0.00643195811185113
"8","Pl",6,0.331756598544491
"9","Sx",6,0.671811443343658
"10","Bl",8,0.0126511302849032
"11","Pl",8,0.365588624700649
"12","Sx",8,0.631760245014448
"13","Bl",10,0.0205203561688983
"14","Pl",10,0.387484064981822
"15","Sx",10,0.60199557884928
"16","Bl",12,0.0298099131335286
"17","Pl",12,0.401383308459078
"18","Sx",12,0.578806778407393
"19","Bl",14,0.0399911797152622
"20","Pl",14,0.410150564043031
"21","Sx",14,0.559858256241707
"22","Bl",16,0.0504344372555827
"23","Pl",16,0.415784118005172
"24","Sx",16,0.543781444739245
"25","Bl",18,0.0610438754776322
"26","Pl",18,0.419230470931489
"27","Sx",18,0.529725653590879
"28","Bl",20,0.0713890116081433
"29","Pl",20,0.42124823707381
"30","Sx",20,0.517362751318047
"31","Bl",22,0.0811430543932759
"32","Pl",22,0.42238481751443
"33","Sx",22,0.506472128092294
"34","Bl",24,0.0901375064204298
"35","Pl",24,0.422984197003596
"36","Sx",24,0.496873449641391
"37","Bl",26,0.0983440071852979
"38","Pl",26,0.423219635628633
"39","Sx",26,0.488359106268483
"40","Bl",28,0.105765535422882
"41","Pl",28,0.423203099101636
"42","Sx",28,0.48076430832984
"43","Bl",30,0.112504037994624
"44","Pl",30,0.422968626340152
"45","Sx",30,0.473899938180605
"46","Bl",32,0.11857875607825
"47","Pl",32,0.422354177366329
"48","Sx",32,0.467448175685212
"49","Bl",34,0.123930117269632
"50","Pl",34,0.421281662803955
"51","Sx",34,0.461226848978454
"52","Bl",36,0.128701077846409
"53","Pl",36,0.420008010179092
"54","Sx",36,0.455373599840187
"55","Bl",38,0.133064019876027
"56","Pl",38,0.418875512111413
"57","Sx",38,0.450124494318256
"58","Bl",40,0.137029786893227
"59","Pl",40,0.417750762025286
"60","Sx",40,0.445286875598024
"61","Bl",42,0.140636088486165
"62","Pl",42,0.416559186388358
"63","Sx",42,0.440732346827626
"64","Bl",44,0.143828673541755
"65","Pl",44,0.415198025619036
"66","Sx",44,0.436331345436719
"67","Bl",46,0.146607061176647
"68","Pl",46,0.413615970122405
"69","Sx",46,0.43200144201439
"70","Bl",48,0.149418503689729
"71","Pl",48,0.412523039191661
"72","Sx",48,0.428336069624934
"73","Bl",50,0.152390739884455
"74","Pl",50,0.412125822244245
"75","Sx",50,0.425494097594876
