"","Spp","Risk","Weight"
"1","Bl",2,0.000806124601444765
"2","Pl",2,0.487423128096167
"3","Sx",2,0.521770747302385
"4","Bl",4,0.0053243003887447
"5","Pl",4,0.48628626842189
"6","Sx",4,0.518389431189364
"7","Bl",6,0.0235974993547698
"8","Pl",6,0.4844975181721
"9","Sx",6,0.501904982473131
"10","Bl",8,0.0614464621054815
"11","Pl",8,0.472101501164304
"12","Sx",8,0.476452036730214
"13","Bl",10,0.104021906008026
"14","Pl",10,0.456376852771956
"15","Sx",10,0.449601241220019
"16","Bl",12,0.138953538105333
"17","Pl",12,0.443273206576591
"18","Sx",12,0.427773255318077
"19","Bl",14,0.16577813650882
"20","Pl",14,0.433168782426206
"21","Sx",14,0.411053081064974
"22","Bl",16,0.187195919117449
"23","Pl",16,0.425063701850383
"24","Sx",16,0.397740379032168
"25","Bl",18,0.204798203393144
"26","Pl",18,0.41837703996858
"27","Sx",18,0.386824756638277
"28","Bl",20,0.219552211817858
"29","Pl",20,0.412754513586208
"30","Sx",20,0.377691898172829
"31","Bl",22,0.231992836996136
"32","Pl",22,0.407870368726316
"33","Sx",22,0.369865824771778
"34","Bl",24,0.242693725071399
"35","Pl",24,0.403493669813268
"36","Sx",24,0.36297438906053
"37","Bl",26,0.251975133753161
"38","Pl",26,0.399658655020279
"39","Sx",26,0.356968611774698
"40","Bl",28,0.259905374961483
"41","Pl",28,0.396002596597321
"42","Sx",28,0.351456676967564
"43","Bl",30,0.266197905144346
"44","Pl",30,0.392163059900101
"45","Sx",30,0.346118504244967
"46","Bl",32,0.270247881497292
"47","Pl",32,0.387397060112288
"48","Sx",32,0.340316642681293
"49","Bl",34,0.273149080426778
"50","Pl",34,0.382550107741503
"51","Sx",34,0.334682882630443
"52","Bl",36,0.278064733279338
"53","Pl",36,0.380471977834218
"54","Sx",36,0.331463288886443
"55","Bl",38,0.282588646922119
"56","Pl",38,0.378732565698634
"57","Sx",38,0.328678787379247
"58","Bl",40,0.286660169200622
"59","Pl",40,0.377167094776608
"60","Sx",40,0.32617273602277
"61","Bl",42,0.290343927452601
"62","Pl",42,0.375750716323346
"63","Sx",42,0.323905356224052
"64","Bl",44,0.293692798590764
"65","Pl",44,0.374463099547654
"66","Sx",44,0.321844101861582
"67","Bl",46,0.296750463543
"68","Pl",46,0.373287449448109
"69","Sx",46,0.319962087008892
"70","Bl",48,0.299553323082549
"71","Pl",48,0.372209770190192
"72","Sx",48,0.318236906727259
"73","Bl",50,0.302131953858934
"74","Pl",50,0.371218305272909
"75","Sx",50,0.316649740868157
