Model,Spp,Weight
NCC2Suit1,Bl,0.00
NCC2Suit1,Pl,0.66
NCC2Suit1,Sx,0.35
NCC10Suit1,Bl,0.02
NCC10Suit1,Pl,0.53
NCC10Suit1,Sx,0.46
NCC20Suit1,Bl,0.11
NCC20Suit1,Pl,0.48
NCC20Suit1,Sx,0.42
NCC30Suit1,Bl,0.15
NCC30Suit1,Pl,0.45
NCC30Suit1,Sx,0.40
NCC40Suit1,Bl,0.17
NCC40Suit1,Pl,0.44
NCC40Suit1,Sx,0.39
NCC50Suit1,Bl,0.18
NCC50Suit1,Pl,0.43
NCC50Suit1,Sx,0.38
CC2Pl3Fd3,Bl,0.00
CC2Pl3Fd3,Cw,0.00
CC2Pl3Fd3,Fd,0.28
CC2Pl3Fd3,Hw,0.00
CC2Pl3Fd3,Lw,0.00
CC2Pl3Fd3,Pl,0.19
CC2Pl3Fd3,Sx,0.53
CC10Pl3Fd3,Bl,0.00
CC10Pl3Fd3,Cw,0.00
CC10Pl3Fd3,Fd,0.29
CC10Pl3Fd3,Hw,0.04
CC10Pl3Fd3,Lw,0.00
CC10Pl3Fd3,Pl,0.26
CC10Pl3Fd3,Sx,0.40
CC20Pl3Fd3,Bl,0.01
CC20Pl3Fd3,Cw,0.00
CC20Pl3Fd3,Fd,0.29
CC20Pl3Fd3,Hw,0.11
CC20Pl3Fd3,Lw,0.00
CC20Pl3Fd3,Pl,0.26
CC20Pl3Fd3,Sx,0.34
CC30Pl3Fd3,Bl,0.02
CC30Pl3Fd3,Cw,0.01
CC30Pl3Fd3,Fd,0.28
CC30Pl3Fd3,Hw,0.15
CC30Pl3Fd3,Lw,0.00
CC30Pl3Fd3,Pl,0.24
CC30Pl3Fd3,Sx,0.31
CC40Pl3Fd3,Bl,0.02
CC40Pl3Fd3,Cw,0.03
CC40Pl3Fd3,Fd,0.28
CC40Pl3Fd3,Hw,0.17
CC40Pl3Fd3,Lw,0.00
CC40Pl3Fd3,Pl,0.23
CC40Pl3Fd3,Sx,0.29
CC50Pl3Fd3,Bl,0.03
CC50Pl3Fd3,Cw,0.03
CC50Pl3Fd3,Fd,0.27
CC50Pl3Fd3,Hw,0.18
CC50Pl3Fd3,Lw,0.00
CC50Pl3Fd3,Pl,0.22
CC50Pl3Fd3,Sx,0.28
