A,,,,"B, 100-80-40",,,,"B, 100-50-1",,,,"B, 3-2-1",,,
,Spp,Risk,Weight,,Spp,Risk,Weight,,Spp,Risk,Weight,,Spp,Risk,Weight
1,Bl,2,0.00,1,Bl,2,0.00,1,Bl,2,0.00,1,Bl,2,0.00
2,Pl,2,0.80,2,Pl,2,0.50,2,Pl,2,0.19,2,Pl,2,0.49
3,Sx,2,0.21,3,Sx,2,0.51,3,Sx,2,0.81,3,Sx,2,0.52
4,Bl,4,0.00,4,Bl,4,0.00,4,Bl,4,0.00,4,Bl,4,0.00
5,Pl,4,0.66,5,Pl,4,0.50,5,Pl,4,0.28,5,Pl,4,0.50
6,Sx,4,0.35,6,Sx,4,0.51,6,Sx,4,0.73,6,Sx,4,0.51
7,Bl,6,0.00,7,Bl,6,0.00,7,Bl,6,0.01,7,Bl,6,0.00
8,Pl,6,0.61,8,Pl,6,0.50,8,Pl,6,0.33,8,Pl,6,0.50
9,Sx,6,0.40,9,Sx,6,0.51,9,Sx,6,0.67,9,Sx,6,0.51
10,Bl,8,0.00,10,Bl,8,0.00,10,Bl,8,0.01,10,Bl,8,0.00
11,Pl,8,0.58,11,Pl,8,0.50,11,Pl,8,0.37,11,Pl,8,0.50
12,Sx,8,0.43,12,Sx,8,0.50,12,Sx,8,0.63,12,Sx,8,0.51
13,Bl,10,0.00,13,Bl,10,0.01,13,Bl,10,0.02,13,Bl,10,0.01
14,Pl,10,0.57,14,Pl,10,0.50,14,Pl,10,0.39,14,Pl,10,0.50
15,Sx,10,0.44,15,Sx,10,0.50,15,Sx,10,0.60,15,Sx,10,0.50
16,Bl,12,0.01,16,Bl,12,0.02,16,Bl,12,0.03,16,Bl,12,0.02
17,Pl,12,0.55,17,Pl,12,0.50,17,Pl,12,0.40,17,Pl,12,0.50
18,Sx,12,0.45,18,Sx,12,0.50,18,Sx,12,0.58,18,Sx,12,0.50
19,Bl,14,0.02,19,Bl,14,0.03,19,Bl,14,0.04,19,Bl,14,0.03
20,Pl,14,0.54,20,Pl,14,0.49,20,Pl,14,0.41,20,Pl,14,0.49
21,Sx,14,0.45,21,Sx,14,0.49,21,Sx,14,0.56,21,Sx,14,0.49
22,Bl,16,0.03,22,Bl,16,0.04,22,Bl,16,0.05,22,Bl,16,0.04
23,Pl,16,0.53,23,Pl,16,0.49,23,Pl,16,0.42,23,Pl,16,0.49
24,Sx,16,0.45,24,Sx,16,0.48,24,Sx,16,0.54,24,Sx,16,0.48
25,Bl,18,0.05,25,Bl,18,0.06,25,Bl,18,0.06,25,Bl,18,0.05
26,Pl,18,0.52,26,Pl,18,0.48,26,Pl,18,0.42,26,Pl,18,0.48
27,Sx,18,0.44,27,Sx,18,0.47,27,Sx,18,0.53,27,Sx,18,0.47
28,Bl,20,0.07,28,Bl,20,0.07,28,Bl,20,0.07,28,Bl,20,0.07
29,Pl,20,0.51,29,Pl,20,0.48,29,Pl,20,0.42,29,Pl,20,0.48
30,Sx,20,0.43,30,Sx,20,0.46,30,Sx,20,0.52,30,Sx,20,0.47
31,Bl,22,0.08,31,Bl,22,0.08,31,Bl,22,0.08,31,Bl,22,0.08
32,Pl,22,0.50,32,Pl,22,0.47,32,Pl,22,0.42,32,Pl,22,0.47
33,Sx,22,0.43,33,Sx,22,0.46,33,Sx,22,0.51,33,Sx,22,0.46
34,Bl,24,0.09,34,Bl,24,0.09,34,Bl,24,0.09,34,Bl,24,0.09
35,Pl,24,0.49,35,Pl,24,0.47,35,Pl,24,0.42,35,Pl,24,0.47
36,Sx,24,0.42,36,Sx,24,0.45,36,Sx,24,0.50,36,Sx,24,0.45
37,Bl,26,0.11,37,Bl,26,0.10,37,Bl,26,0.10,37,Bl,26,0.10
38,Pl,26,0.49,38,Pl,26,0.46,38,Pl,26,0.42,38,Pl,26,0.46
39,Sx,26,0.42,39,Sx,26,0.45,39,Sx,26,0.49,39,Sx,26,0.45
40,Bl,28,0.11,40,Bl,28,0.11,40,Bl,28,0.11,40,Bl,28,0.11
41,Pl,28,0.48,41,Pl,28,0.46,41,Pl,28,0.42,41,Pl,28,0.46
42,Sx,28,0.41,42,Sx,28,0.44,42,Sx,28,0.48,42,Sx,28,0.44
43,Bl,30,0.12,43,Bl,30,0.11,43,Bl,30,0.11,43,Bl,30,0.11
44,Pl,30,0.48,44,Pl,30,0.46,44,Pl,30,0.42,44,Pl,30,0.46
45,Sx,30,0.41,45,Sx,30,0.44,45,Sx,30,0.47,45,Sx,30,0.44
46,Bl,32,0.13,46,Bl,32,0.12,46,Bl,32,0.12,46,Bl,32,0.12
47,Pl,32,0.47,47,Pl,32,0.46,47,Pl,32,0.42,47,Pl,32,0.46
48,Sx,32,0.41,48,Sx,32,0.43,48,Sx,32,0.47,48,Sx,32,0.43
49,Bl,34,0.13,49,Bl,34,0.13,49,Bl,34,0.12,49,Bl,34,0.12
50,Pl,34,0.47,50,Pl,34,0.45,50,Pl,34,0.42,50,Pl,34,0.45
51,Sx,34,0.41,51,Sx,34,0.43,51,Sx,34,0.46,51,Sx,34,0.43
52,Bl,36,0.14,52,Bl,36,0.13,52,Bl,36,0.13,52,Bl,36,0.13
53,Pl,36,0.47,53,Pl,36,0.45,53,Pl,36,0.42,53,Pl,36,0.45
54,Sx,36,0.40,54,Sx,36,0.43,54,Sx,36,0.46,54,Sx,36,0.43
55,Bl,38,0.15,55,Bl,38,0.14,55,Bl,38,0.13,55,Bl,38,0.13
56,Pl,38,0.46,56,Pl,38,0.45,56,Pl,38,0.42,56,Pl,38,0.45
57,Sx,38,0.40,57,Sx,38,0.42,57,Sx,38,0.45,57,Sx,38,0.42
58,Bl,40,0.15,58,Bl,40,0.14,58,Bl,40,0.14,58,Bl,40,0.14
59,Pl,40,0.46,59,Pl,40,0.45,59,Pl,40,0.42,59,Pl,40,0.45
