"","Spp","Risk","Weight"
"1","Bl",2,1
"2","Pl",2,0.00716196536629955
"3","Sx",2,0.00283803463370337
"4","Bl",4,0.999837666345448
"5","Pl",4,0.008921044368723
"6","Sx",4,0.00124128928582872
"7","Bl",6,0.995378850735013
"8","Pl",6,0.0140285838212104
"9","Sx",6,0.000592565443775988
"10","Bl",8,0.956661146164911
"11","Pl",8,0.0513076156165873
"12","Sx",8,0.00203123821850256
"13","Bl",10,0.874358936210113
"14","Pl",10,0.124084785254728
"15","Sx",10,0.0115562785351597
"16","Bl",12,0.793042106471909
"17","Pl",12,0.180399653739162
"18","Sx",12,0.0365582397889292
"19","Bl",14,0.720774717431411
"20","Pl",14,0.216305201613901
"21","Sx",14,0.0729200809546881
"22","Bl",16,0.660675953731924
"23","Pl",16,0.241250643973578
"24","Sx",16,0.108073402294499
"25","Bl",18,0.613023702138775
"26","Pl",18,0.260347013204357
"27","Sx",18,0.136629284656868
"28","Bl",20,0.574819229273122
"29","Pl",20,0.275596304079276
"30","Sx",20,0.159584466647602
"31","Bl",22,0.543560213852523
"32","Pl",22,0.288072724072903
"33","Sx",22,0.178367062074574
"34","Bl",24,0.517511034335357
"35","Pl",24,0.298469740734258
"36","Sx",24,0.194019224930385
"37","Bl",26,0.495469420897755
"38","Pl",26,0.30726721637079
"39","Sx",26,0.207263362731455
"40","Bl",28,0.47657660937981
"41","Pl",28,0.314807909773531
"42","Sx",28,0.218615480846659
"43","Bl",30,0.460202839397591
"44","Pl",30,0.321343177389241
"45","Sx",30,0.228453983213168
"46","Bl",32,0.44587579066315
"47","Pl",32,0.327061536552986
"48","Sx",32,0.237062672783864
"49","Bl",34,0.433234277073937
"50","Pl",34,0.33210714757982
"51","Sx",34,0.244658575346243
"52","Bl",36,0.421997376105747
"53","Pl",36,0.336592135159229
"54","Sx",36,0.251410488735024
"55","Bl",38,0.41194330681842
"56","Pl",38,0.34060501878291
"57","Sx",38,0.25745167439867
"58","Bl",40,0.402894644459825
"59","Pl",40,0.344216614044223
"60","Sx",40,0.262888741495952
"61","Bl",42,0.394707759468716
"62","Pl",42,0.347484247852077
"63","Sx",42,0.267807992679207
"64","Bl",44,0.387265136749526
"65","Pl",44,0.350454824041036
"66","Sx",44,0.272280039209438
"67","Bl",46,0.380469698614613
"68","Pl",46,0.353167089257042
"69","Sx",46,0.276363212128345
"70","Bl",48,0.374240546990943
"71","Pl",48,0.355653332371714
"72","Sx",48,0.280106120637344
"73","Bl",50,0.368509078376338
"74","Pl",50,0.357939515795723
"75","Sx",50,0.28354856731269
