"","Spp","Risk","Weight"
"1","Bl",2,0.981402318287211
"2","Pl",2,0.0203738435075631
"3","Sx",2,0.00822383820522785
"4","Bl",4,0.875771575453998
"5","Pl",4,0.103983923533112
"6","Sx",4,0.03024450101289
"7","Bl",6,0.721669665968126
"8","Pl",6,0.206920095233707
"9","Sx",6,0.081410238798167
"10","Bl",8,0.609107239244798
"11","Pl",8,0.261622412917312
"12","Sx",8,0.13927034783789
"13","Bl",10,0.534305425845034
"14","Pl",10,0.292142992498026
"15","Sx",10,0.18355158165694
"16","Bl",12,0.483775880040852
"17","Pl",12,0.312267509425875
"18","Sx",12,0.213956610533272
"19","Bl",14,0.447660762841663
"20","Pl",14,0.32663456865206
"21","Sx",14,0.235704668506277
"22","Bl",16,0.420574424942271
"23","Pl",16,0.337409863071699
"24","Sx",16,0.25201571198603
"25","Bl",18,0.399507273242744
"26","Pl",18,0.345790647620307
"27","Sx",18,0.264702079136949
"28","Bl",20,0.382653551883122
"29","Pl",20,0.352495275259193
"30","Sx",20,0.274851172857685
"31","Bl",22,0.368864143497978
"32","Pl",22,0.357980879691009
"33","Sx",22,0.283154976811013
"34","Bl",24,0.35737296984369
"35","Pl",24,0.362552216717522
"36","Sx",24,0.290074813438787
"37","Bl",26,0.347649669059293
"38","Pl",26,0.366420271124572
"39","Sx",26,0.295930059816135
"40","Bl",28,0.339315411244096
"41","Pl",28,0.369735746330615
"42","Sx",28,0.30094884242529
"43","Bl",30,0.332092387804258
"44","Pl",30,0.372609158175852
"45","Sx",30,0.30529845401989
"46","Bl",32,0.3257722422944
"47","Pl",32,0.375123393540434
"48","Sx",32,0.309104364165166
"49","Bl",34,0.320195643315113
"50","Pl",34,0.377341836509183
"51","Sx",34,0.312462520175704
"52","Bl",36,0.315238666444636
"53","Pl",36,0.379313785814738
"54","Sx",36,0.315447547740626
"55","Bl",38,0.310803476613157
"56","Pl",38,0.381078161509182
"57","Sx",38,0.318118361877661
"58","Bl",40,0.306811805764825
"59","Pl",40,0.382666099634181
"60","Sx",40,0.320522094600993
"61","Bl",42,0.303200294044907
"62","Pl",42,0.3841028055568
"63","Sx",42,0.322696900398294
"64","Bl",44,0.299917101572253
"65","Pl",44,0.385408901850089
"66","Sx",44,0.324673996577658
"67","Bl",46,0.296919404097222
"68","Pl",46,0.386601424552658
"69","Sx",46,0.326479171350121
"70","Bl",48,0.294171207085228
"71","Pl",48,0.38769402045069
"72","Sx",48,0.328133427110141
"73","Bl",50,0.291572698821463
"74","Pl",50,0.388573791842562
"75","Sx",50,0.329544095652619
