"","Spp","Risk","Weight"
"1","Bl",2,0.0765078187982783
"2","Pl",2,0.474783718342498
"3","Sx",2,0.458708462859225
"4","Bl",4,0.0930991629980558
"5","Pl",4,0.46900945225948
"6","Sx",4,0.447891384742464
"7","Bl",6,0.11579470257152
"8","Pl",6,0.45957618780892
"9","Sx",6,0.43462910961956
"10","Bl",8,0.137043021797206
"11","Pl",8,0.450902231094087
"12","Sx",8,0.422054747108707
"13","Bl",10,0.153750183758279
"14","Pl",10,0.444118443862094
"15","Sx",10,0.412131372379627
"16","Bl",12,0.166163870796853
"17","Pl",12,0.439086929735242
"18","Sx",12,0.404749199467904
"19","Bl",14,0.175334575406622
"20","Pl",14,0.435371772819163
"21","Sx",14,0.399293651774215
"22","Bl",16,0.182275585889938
"23","Pl",16,0.432560273661574
"24","Sx",16,0.395164140448488
"25","Bl",18,0.187686082974003
"26","Pl",18,0.430368790366862
"27","Sx",18,0.391945126659134
"28","Bl",20,0.192014480641256
"29","Pl",20,0.428615603731093
"30","Sx",20,0.389369915627651
"31","Bl",22,0.195555896914462
"32","Pl",22,0.427181178301827
"33","Sx",22,0.38726292478371
"34","Bl",24,0.198507077142135
"35","Pl",24,0.425985823777439
"36","Sx",24,0.385507099080426
"37","Bl",26,0.201004229642473
"38","Pl",26,0.424974369949111
"39","Sx",26,0.384021400408417
"40","Bl",28,0.203144646071334
"41","Pl",28,0.424107409524829
"42","Sx",28,0.382747944403837
"43","Bl",30,0.204999673643013
"44","Pl",30,0.423356043823785
"45","Sx",30,0.381644282533202
"46","Bl",32,0.206622822768233
"47","Pl",32,0.422698598835372
"48","Sx",32,0.380678578396395
"49","Bl",34,0.208055013172839
"50","Pl",34,0.422118500316183
"51","Sx",34,0.379826486510978
"52","Bl",36,0.209328071310266
"53","Pl",36,0.421602857188016
"54","Sx",36,0.379069071501718
"55","Bl",38,0.210467123327964
"56","Pl",38,0.421141492283866
"57","Sx",38,0.37839138438817
"58","Bl",40,0.211492270143892
"59","Pl",40,0.420726263870131
"60","Sx",40,0.377781465985977
"61","Bl",42,0.212419783929732
"62","Pl",42,0.420350581019609
"63","Sx",42,0.377229635050659
"64","Bl",44,0.213262978280495
"65","Pl",44,0.420009051155498
"66","Sx",44,0.376727970564006
"67","Bl",46,0.214027770198836
"68","Pl",46,0.419688137408345
"69","Sx",46,0.376261873078404
"70","Bl",48,0.214463354724148
"71","Pl",48,0.418919455740718
"72","Sx",48,0.375413718369603
"73","Bl",50,0.212809009552026
"74","Pl",50,0.414539004119598
"75","Sx",50,0.37137517113725
