"","Spp","Risk","Weight"
"1","Bl",2,-1.750704292244e-18
"2","Pl",2,0.798870808085044
"3","Sx",2,0.211129191914958
"4","Bl",4,7.7715611723761e-19
"5","Pl",4,0.657386092240179
"6","Sx",4,0.352613907759821
"7","Bl",6,7.21644966006352e-19
"8","Pl",6,0.606590728160119
"9","Sx",6,0.403409271839881
"10","Bl",8,4.2018714240428e-05
"11","Pl",8,0.581176266579006
"12","Sx",8,0.428781714706754
"13","Bl",10,0.00124221125742445
"14","Pl",10,0.565458378527675
"15","Sx",10,0.4432994102149
"16","Bl",12,0.00571841052745034
"17","Pl",12,0.5535118029071
"18","Sx",12,0.450769786565449
"19","Bl",14,0.0160557226067019
"20","Pl",14,0.542127272338382
"21","Sx",14,0.451817005054916
"22","Bl",16,0.0318585010710543
"23","Pl",16,0.530374310178456
"24","Sx",16,0.44776718875049
"25","Bl",18,0.0504804140535189
"26","Pl",18,0.51870498251166
"27","Sx",18,0.440814603434821
"28","Bl",20,0.0677586891184137
"29","Pl",20,0.508418805824691
"30","Sx",20,0.433822505056895
"31","Bl",22,0.0825085969964326
"32","Pl",22,0.49975799590064
"33","Sx",22,0.427733407102927
"34","Bl",24,0.0948788888169547
"35","Pl",24,0.492509225869234
"36","Sx",24,0.422611885313812
"37","Bl",26,0.105346058818935
"38","Pl",26,0.486375651227274
"39","Sx",26,0.418278289953791
"40","Bl",28,0.114317918820632
"41","Pl",28,0.481118301534166
"42","Sx",28,0.414563779645201
"43","Bl",30,0.122093530822103
"44","Pl",30,0.47656193180014
"45","Sx",30,0.411344537377757
"46","Bl",32,0.128897191323391
"47","Pl",32,0.472575108282866
"48","Sx",32,0.408527700393743
"49","Bl",34,0.134900421177467
"50","Pl",34,0.469057322826448
"51","Sx",34,0.406042255996084
"52","Bl",36,0.140236625492203
"53","Pl",36,0.465930402420744
"54","Sx",36,0.403832972087054
"55","Bl",38,0.145011124089597
"56","Pl",38,0.463132631531429
"57","Sx",38,0.401856244378974
"58","Bl",40,0.149308172827252
"59","Pl",40,0.460614637731045
"60","Sx",40,0.400077189441702
"61","Bl",42,0.153195978827988
"62","Pl",42,0.458336452864032
"63","Sx",42,0.39846756830798
"64","Bl",44,0.156549174093874
"65","Pl",44,0.45594156995493
"66","Sx",44,0.396716946355982
"67","Bl",46,0.157463074340651
"68","Pl",46,0.449916404357673
"69","Sx",46,0.391712418267982
"70","Bl",48,0.15842869579704
"71","Pl",48,0.444621890646087
"72","Sx",48,0.387327742934164
"73","Bl",50,0.161063649142367
"74","Pl",50,0.442872543358425
"75","Sx",50,0.386063807499207
