ID1,ID2,Latitude,Longitude,Elevation
1,ESSFwk1,52.6734298406187,-121.372250580303,1471
2,ESSFwk1,52.7156731007769,-121.367675766134,1489
3,ESSFwk1,52.7712469603026,-121.712956458205,1253
4,ESSFwk1,52.7686641000956,-121.642966223329,1294
5,ESSFwk1,52.7660394648714,-121.572984516027,1447
6,ESSFwk1,52.7633730621036,-121.503011471492,1364
7,ESSFwk1,52.8135003104728,-121.708708312544,1293
8,ESSFwk1,52.8109149652008,-121.63864907081,1404
9,ESSFwk1,52.8082878051096,-121.568598381958,1390
10,ESSFwk1,52.8029080705846,-121.428523205167,1382
11,ESSFwk1,52.8557523559671,-121.704451749677,1416
12,ESSFwk1,52.850534828222,-121.564203559399,1432
13,ESSFwk1,52.8478632897964,-121.494092467687,1371
14,ESSFwk1,52.8927805543475,-121.55980002254,1256
15,ESSFwk1,52.8901064385134,-121.489619703607,1346
16,ESSFwk1,52.9428035090452,-121.766188842763,1237
17,ESSFwk1,52.9376597760998,-121.62564619412,1328
18,ESSFwk1,52.9850542314927,-121.761976455152,1517
19,ESSFwk1,52.9799055189707,-121.621294677145,1342
20,ESSFwk1,52.9772681964532,-121.550966702181,1499
21,ESSFwk1,53.0322893202855,-121.898610490801,1385
22,ESSFwk1,53.0298175471198,-121.828178955183,1397
23,ESSFwk1,53.0273037364729,-121.757755687095,1467
24,ESSFwk1,53.0247478956178,-121.687340824441,1244
25,ESSFwk1,53.0769745600478,-121.965030689047,1263
26,ESSFwk1,53.0745424709041,-121.894521097274,1363
27,ESSFwk1,53.0695520444012,-121.753526513587,1315
28,ESSFwk1,53.0669937215192,-121.683041798393,1448
29,ESSFwk1,53.1143178756634,-121.819852071209,1494
30,ESSFwk1,53.1092383646308,-121.67873420358,1452
31,SBSmh,52.4834280098209,-121.847722660878,694
32,SBSmh,52.536309326261,-121.925202012199,676
33,SBSmh,52.5612964721136,-121.92282888366,768
34,SBSmh,52.5877173488178,-121.961661211424,693
35,SBSmh,52.6141248015046,-122.000541360881,689
36,SBSmh,52.6432885468304,-122.122000575998,750
37,SBSmh,52.6405188119587,-122.039469396925,776
38,SBSmh,52.6682777253948,-122.119736303783,695
39,SBSmh,52.6640989090797,-121.995871586255,644
40,SBSmh,52.6626768225015,-121.954588762952,664
41,SBSmh,52.6612401643538,-121.913308693936,632
42,SBSmh,52.656842774782,-121.789485290504,648
43,SBSmh,52.6553478447151,-121.748216516469,719
44,SBSmh,52.6932664330463,-122.117469388567,756
45,SBSmh,52.6918872885922,-122.076154444772,716
46,SBSmh,52.6904935601953,-122.03484217649,704
47,SBSmh,52.7182546739356,-122.115199825723,642
48,SBSmh,52.7168747473654,-122.073860829537,753
49,SBSmh,52.7446085603139,-122.154293344037,636
50,SBSmh,52.7432424522199,-122.112927610616,682
51,SBSmh,52.769596656336,-122.152042584987,562
52,SBSmh,52.795937341238,-122.191205817956,686
53,SBSmh,52.7945842992256,-122.149789192411,722
54,SBSmh,52.8222644883971,-122.230417374873,703
55,SBSmh,52.8209253053751,-122.188973960969,552
56,SBSmh,52.8472527719568,-122.228207109739,542
57,SBSmh,52.845912825875,-122.186739489356,672
58,SBSmh,52.8735666803636,-122.267488704233,575
59,SBSmh,52.8722406171952,-122.225994253599,745
60,SBSmh,52.8985548484892,-122.265297520049,694
61,SBSmh,52.9248555010707,-122.304649354377,615
62,SBSmh,52.9498435667342,-122.302477350802,714
63,SBSmw,52.667443657525,-121.858551775305,1032
64,SBSmw,52.7210520171891,-122.081328536682,763
65,SBSmw,52.7184905435857,-122.005582062876,983
66,SBSmw,52.7158800825712,-121.92984474391,1089
67,SBSmw,52.7132206428471,-121.854116751469,986
68,SBSmw,52.7105122332759,-121.778398257114,991
69,SBSmw,52.7668355755615,-122.077126566516,1071
70,SBSmw,52.7642714361991,-122.001299212519,998
71,SBSmw,52.7616582588613,-121.925481042779,982
72,SBSmw,52.7589960522826,-121.849672229527,1065
73,SBSmw,52.815135320524,-122.148833031869,810
74,SBSmw,52.8126176055094,-122.072915584432,1109
75,SBSmw,52.8100507932153,-121.997007177885,938
76,SBSmw,52.8074348922468,-121.921107985137,1033
77,SBSmw,52.8047699113713,-121.84521817897,996
78,SBSmw,52.8609184770065,-122.144694263451,948
79,SBSmw,52.858398132727,-122.068695561438,1142
80,SBSmw,52.8558286403012,-121.992705929432,1006
81,SBSmw,52.8532100083668,-121.916725540893,1060
82,SBSmw,52.9091739365963,-122.216635653877,789
83,SBSmw,52.9067001636164,-122.140546598593,950
84,SBSmw,52.9041771829806,-122.064466468417,971
85,SBSmw,52.9016050031959,-121.988395437489,899
86,SBSmw,52.9573838695839,-122.2887401605,709
87,SBSmw,52.9549567715027,-122.212560695005,915
88,SBSmw,52.9524804062195,-122.136390008606,987
89,SBSmw,52.9499547821092,-122.060228276125,840
90,SBSmw,52.9982592307554,-122.132224464681,897
91,SBSmw,52.9957309560252,-122.055980955196,921
