"Unit","SImin","SImean","SImax","MeanPlotSiteIndex","Spp"
"BWBSdk/101",13.1695752106945,13.5007879116819,13.7720522657638,15,"Pl"
"BWBSdk/101",13.1695752106945,13.5007879116819,13.7720522657638,15,"Pl"
"BWBSdk/102",11.2811802013971,11.6197289969409,12.0862893949213,12,"Pl"
"BWBSdk/102",11.2811802013971,11.6197289969409,12.0862893949213,12,"Pl"
"BWBSmw/101",15.2007447859791,16.3017958719171,16.9354722563934,18,"Pl"
"BWBSmw/102",13.0714596068745,13.7268566190903,14.5035472739056,12,"Pl"
"CWHds2/01",18.0498883222353,19.4041113721155,21.0713203371112,NA,"Pl"
"CWHds2/02",16.3039989017459,16.3943622410718,16.5036819349825,12,"Pl"
"CWHds2/03",16.8207244797757,17.5038738887049,18.3487691309388,16,"Pl"
"CWHds2/04",17.7637817363788,19.6582210135982,21.2819711535556,24,"Pl"
"CWHds2/05",19.5640924242922,21.3105155768473,22.6687785297121,NA,"Pl"
"CWHds2/06",18.2412598329385,20.30708607703,22.0835149246324,NA,"Pl"
"CWHds2/07",22.1237436679671,22.5368767872499,23.2072741723637,NA,"Pl"
"CWHds2/11",14.7003892126698,15.3470994279859,15.993809643302,16,"Pl"
"CWHds2/12",18.1622809597751,18.8211103392495,19.2039819465794,NA,"Pl"
"CWHwm/01",16.4507837055559,17.6510852294618,18.5060067478143,NA,"Pl"
"CWHwm/02",15.5135856914084,16.669821748857,18.0769445296314,20,"Pl"
"CWHwm/03",18.4364530566392,18.9145924181589,19.3393951436364,NA,"Pl"
"CWHwm/04",17.0161433240888,17.8223899841902,18.697654314005,NA,"Pl"
"CWHwm/08",13.4390623666345,15.2088554103608,16.4507837055559,16,"Pl"
"CWHwm/09",15.1352341331459,16.2579577536891,17.1393092420276,NA,"Pl"
"CWHwm/10",12.2503243438915,12.7892495233216,13.3281747027516,12,"Pl"
"CWHws1/01",20.1362648712567,20.8682102400882,21.6923334355577,20,"Pl"
"CWHws1/02",17.428612809166,17.9043996959468,18.3487691309388,20.7449998855591,"Pl"
"CWHws1/03",18.0498883222353,18.7159825012335,19.3380630318741,20.7099999019078,"Pl"
"CWHws1/04",21.2765576722153,22.2790630833572,23.0162744823536,24,"Pl"
"CWHws1/05",18.7902589477752,20.4874280461164,22.035283625222,NA,"Pl"
"CWHws1/06",21.430337564222,22.1318933704976,22.9486131901819,NA,"Pl"
"CWHws1/11",18.1622809597751,18.8211103392495,19.2039819465794,NA,"Pl"
"CWHws2/01",16.1326608021002,17.2132812970965,18.4029291038603,20,"Pl"
"CWHws2/01",16.1326608021002,17.2132812970965,18.4029291038603,20,"Pl"
"CWHws2/02",14.5238440076383,14.9203330799557,15.290640942449,12,"Pl"
"CWHws2/02",14.5238440076383,14.9203330799557,15.290640942449,12,"Pl"
"CWHws2/03",15.0415736018628,16.1700928100962,17.5594336142594,16,"Pl"
"CWHws2/03",15.0415736018628,16.1700928100962,17.5594336142594,16,"Pl"
"CWHws2/04",18.2756735194574,18.8611793770685,19.3393951436364,NA,"Pl"
"CWHws2/05",14.4274981545418,16.4120000159074,18.3627363543517,NA,"Pl"
"CWHws2/06",17.8586146368517,18.4432444754147,19.1238443251516,NA,"Pl"
"CWHws2/10",12.2503243438915,12.7892495233216,13.3281747027516,12,"Pl"
"CWHws2/10",12.2503243438915,12.7892495233216,13.3281747027516,12,"Pl"
"CWHws2/11",15.1352341331459,15.6842586160412,16.0033182888161,NA,"Pl"
"ESSFdc1/101",15.4582596106456,16.2603468918853,16.8413863891408,NA,"Pl"
"ESSFdc1/102",13.462208445391,14.1736833990598,15.0182976298266,NA,"Pl"
"ESSFdc1/103",15.3439713094181,15.6603654534271,16.1788654402177,NA,"Pl"
"ESSFdc1/110",16.0720666726254,16.4713595451234,16.8413863891408,NA,"Pl"
"ESSFdc1/111",15.4683606531324,16.1505030014362,16.7344007001918,NA,"Pl"
"ESSFdc1/112",15.4683606531324,15.8653083540654,16.1441042239252,NA,"Pl"
"ESSFdc2/01",14.195304043484,14.8841246056024,15.4603891357309,16.9190909645774,"Pl"
"ESSFdc2/02",12.2865118960283,13.0472261788277,13.79194414025,NA,"Pl"
"ESSFdc2/03",13.2250867229189,13.9275799708443,14.999167277887,15,"Pl"
"ESSFdc2/04",12.7244876010151,13.7583383232005,15.2922734429227,15,"Pl"
"ESSFdc2/05",12.7244876010151,13.7583383232005,15.2922734429227,15,"Pl"
"ESSFdc2/06",14.503131003284,15.5023759159628,16.3527264118355,15,"Pl"
"ESSFdc2/07",13.2464208493906,15.0964662680337,16.3527264118355,15,"Pl"
"ESSFdc2/08",14.6207038865306,15.4856921533073,16.3527264118355,12,"Pl"
"ESSFdc2/09",11.2750300093817,12.5138199505724,13.4627096888919,NA,"Pl"
"ESSFdk1/01",11.3941577993515,13.8943647759421,16.0866774999787,NA,"Pl"
"ESSFdk1/02",12.8589298229113,14.1712020386199,15.4538459387257,NA,"Pl"
"ESSFdk1/03",14.6563657124268,15.4139445428692,16.0866774999787,NA,"Pl"
"ESSFdk1/04",12.8589298229113,13.6878749783616,14.6563657124268,NA,"Pl"
"ESSFdk1/05",14.0636530991304,14.8503429781808,15.4538459387257,NA,"Pl"
"ESSFdk1/06",13.3863776246262,15.2736476178597,15.9844861342878,NA,"Pl"
"ESSFdk1/07",10.4727115138069,13.1661668353923,15.8206480499484,NA,"Pl"
"ESSFmc/01",16.1603534486233,16.7140904780692,17.5073198640719,16.1769999590787,"Pl"
"ESSFmc/02",13.817016914132,14.5159125904246,15.3307866164444,13.4814286913191,"Pl"
"ESSFmc/02",13.817016914132,14.5159125904246,15.3307866164444,13.4814286913191,"Pl"
