"","Spp","Risk","Weight"
"1","Ba",2,-9.42208624225445e-17
"2","Bl",2,4.16666666664767e-06
"3","Cw",2,4.16666666677579e-06
"4","Fd",2,0.354189444919972
"5","Hw",2,0.000179516819164138
"6","Lw",2,2.61539748340863e-16
"7","Pl",2,0.317577415907725
"8","Py",2,3.3623275822217e-17
"9","Ss",2,1.15659122510835e-16
"10","Sx",2,0.338045289019809
"11","Ba",4,5.65476489269321e-17
"12","Bl",4,8.85591925267593e-18
"13","Cw",4,5.72457145767977e-05
"14","Fd",4,0.380117944047703
"15","Hw",4,0.00136118626257074
"16","Lw",4,2.29902075564346e-16
"17","Pl",4,0.292925279075523
"18","Py",4,1.27743771054498e-16
"19","Ss",4,2.39798593699047e-17
"20","Sx",4,0.335538344899629
"21","Ba",6,2.18595657525427e-18
"22","Bl",6,1.6378548941667e-17
"23","Cw",6,0.000511413610430442
"24","Fd",6,0.388692616145777
"25","Hw",6,0.00386407045872026
"26","Lw",6,7.88362025181592e-17
"27","Pl",6,0.283379505918095
"28","Py",6,-1.14211599603072e-16
"29","Ss",6,-5.02051639159377e-18
"30","Sx",6,0.333552393866978
"31","Ba",8,-2.11222208535112e-19
"32","Bl",8,9.43750724771334e-06
"33","Cw",8,0.00115556453608637
"34","Fd",8,0.390512140165125
"35","Hw",8,0.00689764622323695
"36","Lw",8,9.42873980636603e-17
"37","Pl",8,0.279806767529363
"38","Py",8,-2.99203573484781e-16
"39","Ss",8,2.42135249671554e-17
"40","Sx",8,0.331618444038943
"41","Ba",10,-2.00697985060034e-17
"42","Bl",10,3.33403487894024e-05
"43","Cw",10,0.00170357293595053
"44","Fd",10,0.389564243473932
"45","Hw",10,0.0106112271203976
"46","Lw",10,-3.36290482180082e-17
"47","Pl",10,0.277819707839626
"48","Py",10,6.47554417987714e-17
"49","Ss",10,2.04582372110097e-17
"50","Sx",10,0.330267908281306
"51","Ba",12,1.29785628195746e-18
"52","Bl",12,9.64980489882812e-05
"53","Cw",12,0.0021597301903365
"54","Fd",12,0.38687145362216
"55","Hw",12,0.0162725923794222
"56","Lw",12,5.85536978095774e-17
"57","Pl",12,0.27615131468915
"58","Py",12,1.21383590083546e-16
"59","Ss",12,4.28484646298931e-17
"60","Sx",12,0.328448411069943
"61","Ba",14,1.57632972834244e-17
"62","Bl",14,0.000221776967486871
"63","Cw",14,0.00265163558916254
"64","Fd",14,0.382884864345942
"65","Hw",14,0.0245938344011405
"66","Lw",14,1.04745420457697e-16
"67","Pl",14,0.273922505994388
"68","Py",14,-6.43979034747394e-17
"69","Ss",14,-2.17276644296466e-19
"70","Sx",14,0.32572538270188
"71","Ba",16,9.43353249238453e-18
"72","Bl",16,0.000393270354049558
"73","Cw",16,0.00324842531714115
"74","Fd",16,0.377670304463094
"75","Hw",16,0.0356862708883361
"76","Lw",16,1.20847887989775e-16
"77","Pl",16,0.271001523462867
"78","Py",16,6.79101939137527e-17
"79","Ss",16,7.16751726808491e-18
"80","Sx",16,0.322000205514512
"81","Ba",18,-3.26565210124175e-18
"82","Bl",18,0.000611316409998482
"83","Cw",18,0.00402496814818036
"84","Fd",18,0.371468371391124
"85","Hw",18,0.0490285376725001
"86","Lw",18,7.1730529527859e-17
"87","Pl",18,0.267320722940941
"88","Py",18,1.34711483479658e-17
"89","Ss",18,9.23193010342122e-18
"90","Sx",18,0.317546083437256
"91","Ba",20,1.26846515281098e-17
"92","Bl",20,0.000870399896325572
"93","Cw",20,0.0050805347963839
"94","Fd",20,0.364782376745252
"95","Hw",20,0.0632012582809174
"96","Lw",20,8.86941769458604e-18
"97","Pl",20,0.263266454440257
"98","Py",20,1.18665629466597e-17
"99","Ss",20,1.53646006312678e-17
"100","Sx",20,0.312798975840865
"101","Ba",22,1.18302512128456e-05
"102","Bl",22,0.00116903794106316
"103","Cw",22,0.00648109405592284
"104","Fd",22,0.358005430098136
"105","Hw",22,0.0771882910986555
"106","Lw",22,2.279602062592e-17
"107","Pl",22,0.25911285881102
"108","Py",22,1.7544015483166e-17
"109","Ss",22,1.40906196187035e-17
"110","Sx",22,0.30803145774399
"111","Ba",24,5.84505642056116e-05
"112","Bl",24,0.00151471842710881
"113","Cw",24,0.00808439156726614
"114","Fd",24,0.351646901141935
"115","Hw",24,0.0900126940009867
"116","Lw",24,5.89193008001696e-17
"117","Pl",24,0.255149344556725
"118","Py",24,-1.36213621858072e-17
"119","Ss",24,1.58504113487577e-18
"120","Sx",24,0.303533499741772
"121","Ba",26,0.000106119274839577
"122","Bl",26,0.0019253096814091
"123","Cw",26,0.00976816497442719
"124","Fd",26,0.345921877982348
"125","Hw",26,0.101270397728127
"126","Lw",26,6.77139010176672e-17
"127","Pl",26,0.251544126061415
"128","Py",26,-2.6423794570108e-17
"129","Ss",26,3.70935441577421e-06
"130","Sx",26,0.299460294943018
"131","Ba",28,0.00019146468158257
"132","Bl",28,0.00237136783500373
"133","Cw",28,0.0113945299853648
"134","Fd",28,0.340824555432702
"135","Hw",28,0.111037909523169
"136","Lw",28,1.94599775407303e-07
"137","Pl",28,0.248303448373361
"138","Py",28,1.41250558289811e-05
"139","Ss",28,6.01095343080397e-05
"140","Sx",28,0.295802294978905
"141","Ba",30,0.00030953249362865
"142","Bl",30,0.00286879212308331
"143","Cw",30,0.0129047701523366
"144","Fd",30,0.336179153132589
"145","Hw",30,0.119505178660613
"146","Lw",30,6.24421616549604e-07
"147","Pl",30,0.245333302434169
"148","Py",30,5.68777576851391e-05
"149","Ss",30,0.000401387371567836
"150","Sx",30,0.292440381452712
"151","Ba",32,0.000457382622107467
"152","Bl",32,0.0034470391499857
"153","Cw",32,0.0142704436563937
"154","Fd",32,0.3318614446718
"155","Hw",32,0.126780054154001
"156","Lw",32,1.09775686935951e-06
"157","Pl",32,0.242542851522967
"158","Py",32,0.000134251421576781
"159","Ss",32,0.00124254574251229
"160","Sx",32,0.289262889301787
"161","Ba",34,0.000623932676727886
"162","Bl",34,0.0041251140839416
"163","Cw",34,0.0154931700064175
"164","Fd",34,0.327886589818691
"165","Hw",34,0.133019817911532
"166","Lw",34,1.63145913554195e-06
"167","Pl",34,0.239948458252592
"168","Py",34,0.000277800945162503
"169","Ss",34,0.00233823144837127
"170","Sx",34,0.286285253397429
"171","Ba",36,0.000837034678992702
"172","Bl",36,0.00490590402677072
"173","Cw",36,0.0165974726742929
"174","Fd",36,0.324221480808366
"175","Hw",36,0.138311424794009
"176","Lw",36,2.10586114999128e-06
"177","Pl",36,0.237528509240338
"178","Py",36,0.000482115911855478
"179","Ss",36,0.00363345044480872
"180","Sx",36,0.283480501559416
"181","Ba",38,0.0010629264997283
"182","Bl",38,0.00574699304171589
"183","Cw",38,0.0176424635962005
"184","Fd",38,0.320781897184607
"185","Hw",38,0.142668753771857
"186","Lw",38,2.53032611024885e-06
"187","Pl",38,0.235238690644694
"188","Py",38,0.000773605640163356
"189","Ss",38,0.00526149452596077
"190","Sx",38,0.280820644768963
"191","Ba",40,0.00132001365511678
"192","Bl",40,0.00666922078382803
"193","Cw",40,0.0186216814849296
"194","Fd",40,0.317500888645544
"195","Hw",40,0.146060717758347
"196","Lw",40,2.91234457448235e-06
"197","Pl",40,0.233027208211454
"198","Py",40,0.00115618352273329
"199","Ss",40,0.00739956055367012
"200","Sx",40,0.278241613039802
"201","Ba",42,0.00163308685626966
"202","Bl",42,0.00767941799840038
"203","Cw",42,0.0195107065859167
"204","Fd",42,0.314326006777884
"205","Hw",42,0.148378197172174
"206","Lw",42,3.35705654524681e-06
"207","Pl",42,0.230841710483047
"208","Py",42,0.0015946676382367
"209","Ss",42,0.0103575077423034
"210","Sx",42,0.275675341689223
"211","Ba",44,0.00208079536489734
"212","Bl",44,0.00879597941990683
"213","Cw",44,0.0202545741229538
"214","Fd",44,0.311209490450405
"215","Hw",44,0.149474718271487
"216","Lw",44,3.78754344986543e-06
"217","Pl",44,0.228628212472407
"218","Py",44,0.00204415698446518
"219","Ss",44,0.0144674016087224
"220","Sx",44,0.273040883761306
"221","Ba",46,0.00266009776921162
"222","Bl",46,0.0100152391103141
"223","Cw",46,0.0207935940209566
"224","Fd",46,0.308116295138082
"225","Hw",46,0.149325380437219
"226","Lw",46,4.06523871361535e-06
"227","Pl",46,0.226358983771988
"228","Py",46,0.00250681361602948
"229","Ss",46,0.0199169186943943
"230","Sx",46,0.270302612203091
"231","Ba",48,0.0033299682121843
"232","Bl",48,0.0113162335048982
"233","Cw",48,0.0211442314713089
"234","Fd",48,0.305042844653148
"235","Hw",48,0.148157742283712
"236","Lw",48,3.80159955598317e-06
"237","Pl",48,0.224050866232087
"238","Py",48,0.00300977630806801
"239","Ss",48,0.0264541308458105
"240","Sx",48,0.267490404889228
"241","Ba",50,0.00408298943841438
"242","Bl",50,0.0127237057252942
"243","Cw",50,0.0213633026037805
"244","Fd",50,0.302012116079384
"245","Hw",50,0.146344447892012
"246","Lw",50,3.55905153096142e-06
"247","Pl",50,0.221738818251805
"248","Py",50,0.00357210108850523
"249","Ss",50,0.0335157873134308
"250","Sx",50,0.264643172555843
