"","Spp","Risk","Weight"
"1","Ba",2,-3.2613847299978e-17
"2","Bl",2,4.16666666674996e-06
"3","Cw",2,1.79424489546281e-05
"4","Fd",2,0.349409025019843
"5","Lw",2,1.29217835577358e-16
"6","Pl",2,0.31522272099531
"7","Py",2,4.89957652474755e-17
"8","Ss",2,1.7194654018504e-16
"9","Sx",2,0.34534614486922
"10","Ba",4,3.58398558724667e-17
"11","Bl",4,8.72310241500479e-05
"12","Cw",4,0.0001827617992116
"13","Fd",4,0.377270389901857
"14","Lw",4,7.00644533263336e-17
"15","Pl",4,0.291942222548188
"16","Py",4,-2.49104510986891e-16
"17","Ss",4,4.63814293608491e-17
"18","Sx",4,0.340517394726592
"19","Ba",6,7.96646327735871e-18
"20","Bl",6,0.000211991811115869
"21","Cw",6,0.000576472677440867
"22","Fd",6,0.386680821840622
"23","Lw",6,1.01186856662212e-16
"24","Pl",6,0.284670563085053
"25","Py",6,-3.33128679026558e-16
"26","Ss",6,-7.00575553212561e-17
"27","Sx",6,0.337860150585764
"28","Ba",8,4.37172284632899e-17
"29","Bl",8,0.000286107592735324
"30","Cw",8,0.00204413927928844
"31","Fd",8,0.389407292629446
"32","Lw",8,1.22240598300186e-16
"33","Pl",8,0.281578696590557
"34","Py",8,-1.55682633652048e-16
"35","Ss",8,9.75131143687191e-18
"36","Sx",8,0.336683763907972
"37","Ba",10,1.04708454434052e-16
"38","Bl",10,0.000363070790365794
"39","Cw",10,0.00414982045850298
"40","Fd",10,0.38977247724177
"41","Lw",10,-7.81255637813864e-17
"42","Pl",10,0.279989241849929
"43","Py",10,2.38443128117687e-17
"44","Ss",10,1.17122513179118e-17
"45","Sx",10,0.335725389659432
"46","Ba",12,-3.60205370083472e-18
"47","Bl",12,0.000479891400953169
"48","Cw",12,0.00597957439623985
"49","Fd",12,0.389517224971487
"50","Lw",12,3.53792940597639e-18
"51","Pl",12,0.27939360054682
"52","Py",12,-5.28358069477684e-18
"53","Ss",12,-6.20052603109172e-17
"54","Sx",12,0.3346297086845
"55","Ba",14,2.05776979563768e-17
"56","Bl",14,0.000626536011293829
"57","Cw",14,0.00738835927945245
"58","Fd",14,0.389320835907654
"59","Lw",14,-4.22134512593322e-17
"60","Pl",14,0.279036084946216
"61","Py",14,-3.36244645821478e-17
"62","Ss",14,-2.19080480981451e-17
"63","Sx",14,0.333628183855383
"64","Ba",16,2.51082678348073e-05
"65","Bl",16,0.000811010438819666
"66","Cw",16,0.00881798083326725
"67","Fd",16,0.389054339767942
"68","Lw",16,6.5111235805911e-18
"69","Pl",16,0.278629160747105
"70","Py",16,-6.58953981774218e-17
"71","Ss",16,8.23483427174542e-18
"72","Sx",16,0.332662399945031
"73","Ba",18,0.000112277206793075
"74","Bl",18,0.00107570064708652
"75","Cw",18,0.0109480155925848
"76","Fd",18,0.388424752841073
"77","Lw",18,-3.68008258781369e-17
"78","Pl",18,0.277934890267153
"79","Py",18,-8.58135733652595e-18
"80","Ss",18,-2.02699498131447e-17
"81","Sx",18,0.331504363445311
"82","Ba",20,0.00024845627523809
"83","Bl",20,0.00148436030260888
"84","Cw",20,0.0143223100597975
"85","Fd",20,0.387179381947205
"86","Lw",20,4.1658966073787e-18
"87","Pl",20,0.276740350963846
"88","Py",20,-3.39422669587651e-17
"89","Ss",20,-1.83175614497181e-18
"90","Sx",20,0.330025140451304
"91","Ba",22,0.000432392402531403
"92","Bl",22,0.00202579821665915
"93","Cw",22,0.0194771393410183
"94","Fd",22,0.384997180840492
